,tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits.1,tr_status,tr_duration
1921,4615320,6,0,0,0,0,1,1,27,1,passed,1041
1922,4615352,0,0,0,0,0,1,1,73,1,passed,901
1923,4615961,2020,0,57,4,0,31,5,595,5,failed,1003
1924,4616736,39,0,0,1,0,1,2,81,2,failed,946
1925,4617116,183,0,0,1,0,1,2,10,2,failed,957
1926,4617155,0,0,0,1,0,0,1,0,1,passed,895
1927,4617437,0,0,0,0,0,1,1,75,1,passed,1058
1928,4620378,2,0,0,0,0,2,1,2852,1,passed,1242
1929,4635391,40,0,51,6,0,1,2,3,2,passed,1184
1930,4639169,2,0,0,0,0,2,1,2853,1,passed,1406
1931,4707441,2,0,0,0,0,2,1,2854,1,passed,1221
1932,4728729,2,0,0,0,0,2,1,2855,1,passed,1257
1933,4752504,2,0,0,0,0,2,1,2856,1,passed,1016
1934,4755138,2,0,0,0,0,2,1,2857,1,passed,1253
1935,4758343,2,0,0,0,0,2,1,2858,1,passed,1250
1936,4768662,2493,0,0,4,2,27,16,751,16,passed,1451
1937,4770716,4,0,0,0,0,2,1,304,1,passed,1266
1938,4777907,2,0,0,0,0,2,1,2859,1,passed,1300
1939,4782164,2,0,0,0,0,2,1,2860,1,passed,1096
1940,4795422,7488,0,201,16,2,84,76,1663,76,passed,1338
1941,4800047,2,0,0,0,0,2,1,2862,1,passed,1048
1942,4803324,143,0,0,1,0,5,2,141,2,passed,1100
1943,4806271,2,0,0,0,0,2,1,2863,1,passed,1075
1944,4822494,2,0,0,0,0,2,1,2864,1,passed,1061
1945,4828662,2,0,0,0,0,2,1,2865,1,passed,1028
1946,4841100,2,0,0,0,0,2,1,2866,1,passed,1004
1947,4850025,2,0,0,0,0,2,1,2867,1,passed,978
1948,4852039,6,0,0,0,0,1,1,291,1,passed,981
1949,4852914,0,0,0,1,0,0,1,0,1,passed,984
1950,4856617,20528,0,592,0,0,30,1,1560,1,passed,1007
