Index,Duration,Build_Result
1,32098,1
2,32136,1
3,32136,1
4,32160,1
5,32160,1
6,32160,1
7,32160,1
8,32160,1
9,32383,1
10,32386,1
11,32379,1
12,32379,1
13,32430,1
14,32430,1
15,32414,1
16,32429,1
17,32641,1
18,32365,1
19,32363,1
20,32440,1
21,32458,1
22,32458,1
23,32458,1
24,32458,1
25,32458,1
26,32458,1
27,32458,1
28,32857,1
29,32908,0
30,32900,1
31,32900,1
32,32900,1
33,32900,1
34,33145,1
35,33145,1
36,33233,1
37,33233,1
38,33233,1
39,33254,1
40,33251,1
41,33272,1
42,33316,1
43,33317,1
44,33321,1
45,33322,1
46,33369,1
47,33370,1
48,33382,1
49,33418,1
50,33427,1
51,33427,1
52,33427,1
53,33595,1
54,33595,1
55,33595,1
56,33595,1
57,33712,1
58,33712,0
59,33729,0
60,33831,1
61,33852,1
62,33943,1
63,33984,1
64,34012,1
65,34012,1
66,34018,1
67,34029,1
68,34033,1
69,34097,1
70,34221,1
71,34241,1
72,34245,1
73,34245,1
74,34270,0
75,34338,1
76,34345,1
77,34345,1
78,34354,0
79,34375,1
80,34362,1
81,34362,1
82,34362,1
83,34378,1
84,34393,1
85,34369,1
86,34369,1
87,34369,1
88,34369,1
89,34386,1
90,34425,1
91,34490,1
92,34490,1
93,34490,1
94,34502,1
95,34502,1
96,34515,0
97,34437,1
98,34437,1
99,34438,1
100,34437,1
101,34437,1
102,34447,0
103,34449,1
104,34452,1
105,34452,1
106,34452,1
107,34452,1
108,34462,1
109,34460,1
110,34460,1
111,34460,1
112,34461,1
113,34410,1
114,34410,0
115,34410,1
116,34659,1
117,34663,1
118,34663,1
119,34818,1
120,34818,1
121,34840,1
122,34840,1
123,34766,1
124,34809,1
125,34809,1
126,34817,1
127,34817,1
128,34817,1
129,34808,1
130,34817,1
131,34817,1
132,34902,1
133,34902,1
134,34898,1
135,35046,1
136,35224,1
137,35238,1
138,35229,1
139,35454,1
140,35469,1
141,35499,1
142,35457,1
143,35411,1
144,35746,1
145,35749,1
146,35787,1
147,36047,1
148,36046,1
149,36046,1
150,36046,1
151,36097,1
152,36097,1
153,36105,1
154,36081,1
155,36081,1
156,36074,1
157,36111,1
158,36112,1
159,36287,1
160,36287,1
161,36287,1
162,36288,1
163,36420,1
164,36420,1
165,36425,1
166,36423,1
