Index,Duration,Build_Result
1,628456,1
2,628692,1
3,628692,1
4,628546,1
5,628561,1
6,628674,1
7,628561,1
8,628561,1
9,628692,1
10,628806,1
11,628563,1
12,628562,1
13,628561,1
14,628561,1
15,628561,1
16,628579,1
17,628844,1
18,628562,1
19,628667,1
20,628984,1
21,629055,1
22,628984,1
23,628515,1
24,629306,1
25,628180,1
26,628180,1
27,629055,1
28,628250,1
29,629047,1
30,629065,1
31,629055,1
32,625123,1
33,629047,1
34,628188,1
35,628268,1
36,629120,1
37,629124,1
38,629121,1
39,628523,1
40,629048,1
41,629010,1
42,629063,1
43,624443,1
44,629894,1
45,630279,1
46,630279,1
47,630285,1
48,629963,1
49,630352,1
50,629060,1
51,628241,1
52,629981,1
53,630133,1
54,630051,1
55,629065,1
56,630052,1
57,630046,1
58,630052,1
59,629122,1
60,630351,1
61,630150,1
62,630053,1
63,630188,1
64,628274,1
65,630126,1
66,630101,1
67,630101,1
68,629981,1
69,630186,1
70,630284,1
71,630285,1
72,630288,1
73,630053,1
74,630290,1
75,630288,1
76,630104,1
77,630240,1
78,630243,1
79,630243,1
80,630622,1
81,629068,1
82,629068,1
83,630243,1
84,630243,1
85,630253,1
86,630249,1
87,630327,1
88,630330,1
89,629068,1
90,630043,1
91,630424,1
92,630416,1
93,630553,1
94,630623,1
95,630631,1
96,630556,1
97,630544,1
98,629122,1
99,629174,1
100,629122,1
101,630544,1
102,629068,1
103,630628,1
104,630647,1
105,630647,1
106,630784,1
107,630767,1
108,630790,1
109,630790,1
110,630790,1
111,630793,1
112,629294,1
113,629296,1
114,630794,1
115,630910,1
116,630910,1
117,630642,1
118,630910,1
119,630910,1
120,631419,1
121,630800,1
122,630793,1
123,630133,1
124,630792,1
125,630642,1
126,631419,1
127,630640,1
128,630628,1
129,631406,1
130,631406,1
131,630628,1
132,630637,1
133,630793,1
134,630868,1
135,630868,1
136,631034,1
137,631029,1
138,631104,1
139,629981,1
140,631122,1
141,630674,1
142,630634,1
143,631115,1
144,631104,1
145,630747,1
146,630751,1
147,631125,1
148,631083,1
149,631476,1
150,631546,1
151,631804,1
152,631583,1
153,630391,1
154,631546,1
155,632319,1
156,631546,1
157,631546,1
158,631549,1
159,631555,1
160,631562,1
161,631562,1
162,631582,1
163,631581,1
164,631586,1
165,631579,1
166,631807,1
167,631583,1
168,631583,1
169,631620,1
170,631620,1
171,631619,1
172,630868,1
173,631619,1
174,630392,1
175,631619,1
176,631636,1
177,632409,1
178,632409,1
179,631077,1
180,633115,1
181,631546,1
182,631589,1
183,630838,1
184,631636,1
