,project,delay_list,median_delay
0,heroku,"[54, 41, 18, 4]",29.5
1,cloud_controller_ng,"[6, 35, 23, 12, 19, 12, 8, 1, 6, 3, 1, 19, 12, 9, 7, 4, 1, 42, 15, 63, 54, 48, 43, 39, 31, 27, 24, 18, 16, 12, 6]",15.0
2,cloudify,"[392, 387, 370, 341, 337, 314, 305, 140, 80, 78, 45, 35, 52, 43, 38, 36, 13]",80.0
3,concerto,"[96, 93, 91, 65, 62, 51, 44, 41, 32, 30, 65, 48, 28, 1, 6]",48.0
4,fog,"[49, 45, 17, 12, 10, 8, 5, 3, 1, 67, 62, 58, 55, 53, 50, 48, 45, 33, 8, 2, 5, 56, 53, 48, 38, 24, 22, 19, 16, 12, 54, 38, 36, 29, 13, 7, 1, 16, 10, 4, 12, 9, 7, 5, 2, 3, 1]",16.0
5,geoserver,"[6, 4, 11, 9, 1, 19, 15, 8, 4, 5, 3, 20, 10, 8, 16, 13, 9, 7, 5, 10, 8, 6, 4, 2, 6, 4, 2, 1, 38, 35, 28, 26, 24, 20, 7, 3]",8.0
6,gradle,"[65, 27, 18, 14, 67, 56, 35, 28, 19, 12, 9, 201, 171, 134, 87, 72, 34, 21, 23]",34.0
7,graylog2-server,"[12, 48, 285, 266, 226, 182, 21]",182.0
8,jruby,"[9, 4, 2, 6, 5, 3, 7, 3, 31, 22, 18, 3, 3, 12, 9, 3, 1, 26, 24, 22, 15, 8, 2, 14, 12, 9, 6, 3, 1, 37, 32, 26, 22, 20, 17, 14, 10, 3, 23, 20, 18, 15, 10, 8, 6, 4, 1, 16, 10, 8, 6, 4, 2, 20, 18, 15, 12, 7, 8, 2, 32, 28, 23, 14, 8, 5]",9.5
9,loomio,"[38, 95, 93, 82, 71, 63, 61, 56, 49, 43, 41, 36, 32, 24, 15, 13, 9, 2, 2, 14, 12, 11]",37.0
10,metasploit-framework,"[131, 113, 164, 162, 139, 54, 39, 36, 7, 55, 39, 29, 40, 18, 10, 21, 7, 182, 127, 121, 94, 88, 15]",54.0
11,opal,"[71, 53, 51, 22, 4, 33, 62, 49, 15]",49.0
12,open-build-service,"[13, 10, 3, 28, 3, 3, 1, 12, 8, 4, 2, 70, 56, 51, 44, 28, 15, 5, 54, 29, 22, 11, 5, 10, 5, 3, 19, 1, 19, 15, 11, 8, 119, 117, 112, 109, 85, 59, 54, 50, 43, 21, 19, 4, 2]",15.0
13,orbeon-forms,"[69, 60, 57, 52, 44, 29, 20, 24, 3, 99, 77, 63, 60, 50, 47, 37, 35, 29, 27, 12]",45.5
14,puppet,"[37, 35]",36.0
15,rails,"[24, 21, 14, 8, 3, 17, 5, 7, 18, 14, 9, 7, 2, 9, 1, 70, 65, 63, 60, 54, 50, 48, 42, 32, 30, 25, 15, 27, 25, 17, 15, 7, 4, 36, 31, 17, 38, 35, 33, 29, 26, 3, 3, 43, 34, 23, 9, 6, 17, 15, 3, 75, 57, 15, 74, 58, 28, 13, 6, 2, 15, 2, 4, 2, 123, 109, 106, 104, 100, 98, 94, 92, 88, 81, 77, 71, 68, 46, 40, 38, 19, 2, 136, 127, 123, 120, 114, 102, 96, 73, 71, 68, 61, 44, 34, 22, 35, 31, 29, 34, 32, 28, 16, 12, 7, 72, 68, 60, 45, 26, 24, 16, 19, 13, 30, 12, 199, 185, 174, 170, 168, 166, 121, 109, 107, 95, 93, 91, 86, 84, 81, 78, 69, 39, 36, 33, 31, 6, 38, 36, 30, 12, 4, 15, 11, 9, 1]",33.0
16,rubinius,"[4, 13, 11, 8, 6, 2, 11, 9, 4, 1, 5, 1, 11, 8, 6, 1, 17, 14, 5, 22, 6, 3, 2, 32, 30, 22, 18, 16, 4, 8, 6, 4, 3]",6.0
17,sonarqube,"[3, 34, 17, 11, 6, 26, 130, 126, 118, 115, 109, 86, 75, 67, 52, 42, 30, 22, 14, 9, 5]",34.0
18,sufia,[5],5.0
19,vagrant,"[235, 186, 149, 122, 116, 52, 36, 25, 11]",116.0
