project,method,batch,reqd_builds,delay
rails.csv,sbs,1,7.5829383886255926,1800
rails.csv,sbs,2,7.5829383886255926,1800
rails.csv,sbs,4,7.5829383886255926,1800
rails.csv,sbs,8,7.5829383886255926,1800
rails.csv,sbs,16,7.5829383886255926,1800
rails.csv,sbs,32,7.5829383886255926,1800
jruby.csv,sbs,1,4.358353510895884,2691
jruby.csv,sbs,2,4.358353510895884,2691
jruby.csv,sbs,4,4.358353510895884,2691
jruby.csv,sbs,8,4.358353510895884,2691
jruby.csv,sbs,16,4.358353510895884,2691
jruby.csv,sbs,32,4.358353510895884,2691
metasploit-framework.csv,sbs,1,0.38910505836575876,3925
metasploit-framework.csv,sbs,2,0.38910505836575876,3925
metasploit-framework.csv,sbs,4,0.38910505836575876,3925
metasploit-framework.csv,sbs,8,0.38910505836575876,3925
metasploit-framework.csv,sbs,16,0.38910505836575876,3925
metasploit-framework.csv,sbs,32,0.38910505836575876,3925
vagrant.csv,sbs,1,0.0,932
vagrant.csv,sbs,2,0.0,932
vagrant.csv,sbs,4,0.0,932
vagrant.csv,sbs,8,0.0,932
vagrant.csv,sbs,16,0.0,932
vagrant.csv,sbs,32,0.0,932
opal.csv,sbs,1,0.44642857142857145,570
opal.csv,sbs,2,0.44642857142857145,570
opal.csv,sbs,4,0.44642857142857145,570
opal.csv,sbs,8,0.44642857142857145,570
opal.csv,sbs,16,0.44642857142857145,570
opal.csv,sbs,32,0.44642857142857145,570
cloudify.csv,sbs,1,0.819672131147541,1060
cloudify.csv,sbs,2,0.819672131147541,1060
cloudify.csv,sbs,4,0.819672131147541,1060
cloudify.csv,sbs,8,0.819672131147541,1060
cloudify.csv,sbs,16,0.819672131147541,1060
cloudify.csv,sbs,32,0.819672131147541,1060
cloud_controller_ng.csv,sbs,1,3.1620553359683794,765
cloud_controller_ng.csv,sbs,2,3.1620553359683794,765
cloud_controller_ng.csv,sbs,4,3.1620553359683794,765
cloud_controller_ng.csv,sbs,8,3.1620553359683794,765
cloud_controller_ng.csv,sbs,16,3.1620553359683794,765
cloud_controller_ng.csv,sbs,32,3.1620553359683794,765
rubinius.csv,sbs,1,9.090909090909092,676
rubinius.csv,sbs,2,9.090909090909092,676
rubinius.csv,sbs,4,9.090909090909092,676
rubinius.csv,sbs,8,9.090909090909092,676
rubinius.csv,sbs,16,9.090909090909092,676
rubinius.csv,sbs,32,9.090909090909092,676
open-build-service.csv,sbs,1,6.223175965665236,635
open-build-service.csv,sbs,2,6.223175965665236,635
open-build-service.csv,sbs,4,6.223175965665236,635
open-build-service.csv,sbs,8,6.223175965665236,635
open-build-service.csv,sbs,16,6.223175965665236,635
open-build-service.csv,sbs,32,6.223175965665236,635
gradle.csv,sbs,1,0.17953321364452424,3001
gradle.csv,sbs,2,0.17953321364452424,3001
gradle.csv,sbs,4,0.17953321364452424,3001
gradle.csv,sbs,8,0.17953321364452424,3001
gradle.csv,sbs,16,0.17953321364452424,3001
gradle.csv,sbs,32,0.17953321364452424,3001
sonarqube.csv,sbs,1,5.666666666666667,375
sonarqube.csv,sbs,2,5.666666666666667,375
sonarqube.csv,sbs,4,5.666666666666667,375
sonarqube.csv,sbs,8,5.666666666666667,375
sonarqube.csv,sbs,16,5.666666666666667,375
sonarqube.csv,sbs,32,5.666666666666667,375
loomio.csv,sbs,1,11.707317073170731,309
loomio.csv,sbs,2,11.707317073170731,309
loomio.csv,sbs,4,11.707317073170731,309
loomio.csv,sbs,8,11.707317073170731,309
loomio.csv,sbs,16,11.707317073170731,309
loomio.csv,sbs,32,11.707317073170731,309
fog.csv,sbs,1,11.11111111111111,409
fog.csv,sbs,2,11.11111111111111,409
fog.csv,sbs,4,11.11111111111111,409
fog.csv,sbs,8,11.11111111111111,409
fog.csv,sbs,16,11.11111111111111,409
fog.csv,sbs,32,11.11111111111111,409
puppet.csv,sbs,1,0.0,72
puppet.csv,sbs,2,0.0,72
puppet.csv,sbs,4,0.0,72
puppet.csv,sbs,8,0.0,72
puppet.csv,sbs,16,0.0,72
puppet.csv,sbs,32,0.0,72
concerto.csv,sbs,1,0.0,2069
concerto.csv,sbs,2,0.0,2069
concerto.csv,sbs,4,0.0,2069
concerto.csv,sbs,8,0.0,2069
concerto.csv,sbs,16,0.0,2069
concerto.csv,sbs,32,0.0,2069
sufia.csv,sbs,1,0.0,5
sufia.csv,sbs,2,0.0,5
sufia.csv,sbs,4,0.0,5
sufia.csv,sbs,8,0.0,5
sufia.csv,sbs,16,0.0,5
sufia.csv,sbs,32,0.0,5
geoserver.csv,sbs,1,77.38095238095238,19
geoserver.csv,sbs,2,77.38095238095238,19
geoserver.csv,sbs,4,77.38095238095238,19
geoserver.csv,sbs,8,77.38095238095238,19
geoserver.csv,sbs,16,77.38095238095238,19
geoserver.csv,sbs,32,77.38095238095238,19
orbeon-forms.csv,sbs,1,7.725321888412017,361
orbeon-forms.csv,sbs,2,7.725321888412017,361
orbeon-forms.csv,sbs,4,7.725321888412017,361
orbeon-forms.csv,sbs,8,7.725321888412017,361
orbeon-forms.csv,sbs,16,7.725321888412017,361
orbeon-forms.csv,sbs,32,7.725321888412017,361
graylog2-server.csv,sbs,1,99.00249376558604,0
graylog2-server.csv,sbs,2,99.00249376558604,0
graylog2-server.csv,sbs,4,99.00249376558604,0
graylog2-server.csv,sbs,8,99.00249376558604,0
graylog2-server.csv,sbs,16,99.00249376558604,0
graylog2-server.csv,sbs,32,99.00249376558604,0
