Build_ID,Index,Duration,Build_Result,Actual_Result
39216835,1,2080,1,1
39219681,2,1972,1,1
39301103,3,2790,1,0
39302985,4,2358,1,0
39305719,5,2663,1,1
39336087,6,2102,1,0
39336692,7,1967,1,0
39412786,8,2534,1,1
39426471,9,2529,1,1
39429614,10,2779,1,1
39443279,11,2310,1,1
39522554,12,2392,1,1
39537840,13,2253,1,1
39643886,14,2375,1,1
39863623,15,2235,1,1
39982605,16,2087,1,1
39995369,17,1948,1,1
40007146,18,2112,1,1
40015178,19,2416,1,1
40124907,20,2182,1,1
40129561,21,2336,1,1
40222907,22,2281,1,1
40232652,23,2384,1,1
40239441,24,2256,0,1
40242287,25,2665,1,1
40350369,26,1758,1,1
40607892,27,2036,1,1
40725171,28,1941,1,1
40844018,29,2546,0,1
40919397,30,2181,1,1
40926529,31,2075,1,1
40938020,32,2229,1,1
40944557,33,1889,1,1
40945705,34,2498,1,1
41230643,35,2343,1,1
41293763,36,2389,1,1
41302044,37,2137,1,1
41306704,38,2406,1,1
41395218,39,2526,1,1
41397913,40,2050,1,1
41432710,41,2187,1,1
41511192,42,2222,1,1
41511290,43,2370,1,1
41550242,44,2818,1,1
41551676,45,2063,1,1
41556524,46,1885,1,0
41635476,47,2517,1,0
41640090,48,2558,1,1
41653240,49,2160,1,1
41667355,50,2049,1,1
41671596,51,1830,1,1
41997426,52,2510,1,1
42226409,53,2345,1,1
42231022,54,1854,1,0
42232639,55,2213,1,0
42235520,56,2093,1,1
42247502,57,2113,1,1
42659784,58,2625,0,1
42684476,59,1745,0,1
42765980,60,2228,1,1
42805436,61,2376,1,1
42812635,62,2035,1,1
42814321,63,1791,1,1
42936499,64,1968,1,1
42937455,65,2792,1,1
43013937,66,2442,1,1
43017866,67,2531,1,0
43019412,68,2710,1,1
43032377,69,1994,1,1
43050471,70,2080,1,1
43133580,71,2967,1,1
43376882,72,2380,1,1
43381183,73,2232,1,1
43417532,74,1849,0,1
43504308,75,2299,1,0
43509220,76,2076,1,0
43511520,77,2053,1,1
43519863,78,2051,0,1
43524933,79,2452,1,1
43531962,80,2216,1,1
43535859,81,2364,1,0
43538117,82,2002,1,1
43539133,83,2255,1,1
43542488,84,2209,1,1
43543532,85,2145,1,1
43545781,86,2194,1,0
43546842,87,1944,1,1
43626726,88,2471,1,1
43651635,89,2312,1,1
43658997,90,2165,1,1
43660351,91,2020,1,1
43661341,92,2133,1,1
43664281,93,1801,1,1
43669473,94,1798,1,1
43752274,95,2465,1,1
43754935,96,2189,0,1
43780779,97,2140,1,0
43782266,98,2656,1,1
43784689,99,2031,1,1
43785828,100,2104,1,0
43786861,101,1911,1,1
43863812,102,2546,1,1
43884101,103,2397,1,1
43891345,104,2245,1,1
44116859,105,2362,1,1
44121581,106,2546,1,0
44123882,107,2316,1,1
44141056,108,3046,1,1
44150204,109,2584,1,1
44157649,110,2361,1,1
44239398,111,2343,1,1
44250872,112,2594,1,1
44280604,113,2571,1,1
44489182,114,1931,0,1
44489448,115,2532,1,1
44497740,116,2706,1,1
44497887,117,2832,1,1
44523039,118,2627,1,1
44533255,119,2390,1,0
44534451,120,1738,1,1
44606854,121,1969,1,0
