,tr_build_id,tr_duration,Build_Result,Actual_Result,Index
366,42065827,1176,0,1,367
367,42096319,1158,0,1,368
368,42236170,1097,0,1,369
369,42288372,1244,0,1,370
370,42295188,1096,0,1,371
371,42299228,1073,0,1,372
372,42299796,1201,0,1,373
373,42300797,1486,0,1,374
374,42303076,1471,0,1,375
375,42328459,1464,0,1,376
376,42331647,1494,0,1,377
377,42332927,1376,0,1,378
378,42381490,1351,0,1,379
379,42383353,1308,0,1,380
380,42390901,986,0,0,381
381,42391298,1330,0,1,382
382,42391767,1319,0,1,383
383,42395667,1385,0,1,384
384,42402852,1160,0,1,385
385,42404430,1035,0,1,386
386,42406734,1355,0,1,387
387,42548565,1225,0,1,388
388,42577719,1108,0,1,389
389,42620084,1172,0,1,390
390,42728907,1150,0,1,391
391,42735271,1149,0,1,392
392,42746353,1413,0,1,393
393,42749954,1309,0,1,394
394,42751469,1189,0,1,395
395,42756140,1206,0,1,396
396,42758913,1419,0,1,397
397,42762749,1618,0,1,398
398,42790348,1282,0,1,399
399,42790602,1325,0,1,400
400,42796239,1492,0,1,401
