Build_ID,Index,Duration,Build_Result,Actual_Result
53698563,1,572,1,1
53763852,2,362,1,1
53767115,3,456,1,1
53898290,4,513,1,1
53915672,5,349,1,1
53915752,6,610,1,1
53916660,7,406,1,1
53938880,8,393,1,1
54058063,9,334,1,1
54066218,10,398,1,1
54076024,11,422,1,1
54160049,12,582,1,1
54180992,13,551,1,1
54192228,14,357,1,1
54207728,15,333,1,1
54277491,16,594,1,1
54375013,17,405,1,1
54437585,18,603,1,1
54568410,19,1380,1,1
54594867,20,519,1,1
54601254,21,471,1,1
54610846,22,619,1,1
54748411,23,668,1,1
54829527,24,355,1,1
54857169,25,377,1,1
54965908,26,424,1,1
55013040,27,379,1,1
55062906,28,401,1,1
55119527,29,633,1,1
55283961,30,386,1,1
55353620,31,341,1,1
55384536,32,654,1,1
55392892,33,637,1,1
55460306,34,584,1,1
55614207,35,800,1,1
55786185,36,686,1,1
56199536,37,428,1,1
56284850,38,644,1,1
56396013,39,358,1,1
56402159,40,379,1,1
56402623,41,644,1,0
56405550,42,378,1,1
56405568,43,414,1,1
56533510,44,395,1,1
56694349,45,373,1,1
56846479,46,482,1,1
56894686,47,482,1,1
57029158,48,355,1,1
57171399,49,347,1,1
57256631,50,386,1,1
57860235,51,432,1,1
57968084,52,845,1,1
57968135,53,619,1,1
58135878,54,445,1,1
58260341,55,509,1,1
58285165,56,1015,1,1
58288229,57,889,1,1
58290479,58,1896,1,1
58293657,59,1297,1,1
58586193,60,812,1,1
58593760,61,610,1,1
58602002,62,786,1,1
58712603,63,614,1,1
58814456,64,1563,1,1
58988233,65,713,1,1
59041284,66,106,1,0
59044485,67,731,1,1
59353396,68,873,1,1
59787760,69,1004,1,1
59812052,70,689,1,1
60094083,71,678,1,1
60116045,72,876,1,1
60153362,73,721,1,1
60193945,74,727,1,1
60199855,75,736,1,1
60213454,76,827,1,1
60498551,77,642,1,0
60507860,78,822,1,1
60509727,79,894,1,1
60510464,80,711,1,1
60510526,81,1273,1,1
60511195,82,784,1,1
60512398,83,767,1,1
60729833,84,856,1,1
60793029,85,827,1,1
60830308,86,854,1,1
60834016,87,737,1,1
60851676,88,710,1,1
60852204,89,750,1,1
60934361,90,899,1,1
60952503,91,745,1,1
61028473,92,630,1,1
61088643,93,737,1,1
61122137,94,740,1,1
61227295,95,679,1,1
61227365,96,1093,1,1
61234155,97,803,1,1
61279108,98,681,1,1
61282350,99,728,1,1
61288354,100,719,1,1
61295698,101,831,1,1
61296946,102,756,1,1
61586320,103,723,1,1
61598455,104,937,1,1
61601577,105,978,1,1
61648554,106,822,1,1
61652634,107,881,1,1
61749535,108,347,1,0
61750129,109,841,1,1
62134174,110,909,1,1
62190640,111,862,1,1
62211037,112,1033,1,1
62289636,113,773,1,1
62482279,114,742,1,1
62484806,115,850,1,1
62488589,116,691,1,1
62557947,117,765,1,1
62559927,118,757,1,1
62595749,119,785,1,1
62602108,120,813,1,1
62610416,121,650,1,1
62612501,122,960,1,1
62618614,123,726,1,1
62625583,124,585,1,1
62631836,125,534,1,1
62636746,126,526,1,1
62639685,127,504,1,1
62669864,128,585,1,1
62674945,129,653,1,1
62675916,130,678,1,1
62686034,131,528,1,1
62717754,132,593,1,1
62731131,133,623,1,1
62750601,134,1252,1,0
62803146,135,935,1,1
62892007,136,1058,1,1
62912390,137,1079,1,1
62960182,138,1033,1,1
62993174,139,858,1,1
62995378,140,1200,1,1
62999274,141,1189,1,1
63030795,142,882,1,1
63130141,143,913,1,1
63131621,144,997,1,1
63183823,145,1144,1,1
63361016,146,990,1,1
63413545,147,1124,1,1
63446546,148,1091,1,1
63601427,149,999,1,1
63658824,150,998,0,1
63753451,151,1249,1,1
63760478,152,1183,1,1
63773094,153,909,1,1
63775832,154,1047,1,1
63781597,155,906,1,1
63788341,156,913,1,1
63817319,157,981,0,1
63828029,158,944,1,1
63832907,159,804,1,1
63848775,160,750,1,1
64507407,161,846,1,1
64605771,162,962,1,1
64672998,163,1071,1,1
64673420,164,892,1,1
64673450,165,875,1,1
64673482,166,868,1,1
64681902,167,980,1,1
64691422,168,763,1,1
64703435,169,1047,1,1
64995353,170,1121,1,1
64997398,171,1163,1,1
65145795,172,1041,1,1
65164821,173,1358,1,1
65174160,174,1439,1,1
65185758,175,1043,1,1
65241262,176,1105,1,1
65257846,177,1146,1,1
65315810,178,1158,1,1
65323805,179,1491,1,1
65331118,180,912,1,0
65331201,181,1316,1,0
65331987,182,1283,1,0
65362096,183,1296,1,1
65459073,184,1062,1,1
65690711,185,1380,1,1
65690887,186,1144,1,1
65692643,187,1385,1,1
65712139,188,1154,1,1
65721321,189,970,1,1
65722486,190,1330,1,1
65744437,191,1513,1,1
65744462,192,1278,1,1
65744835,193,816,1,0
65745033,194,1470,1,1
65788892,195,1176,1,1
65794800,196,1196,1,1
65827165,197,954,1,1
65828867,198,930,0,1
65844358,199,816,1,1
65849953,200,876,1,1
65850459,201,927,1,1
65862467,202,877,1,1
65905337,203,876,1,1
65995936,204,812,1,1
