Build_ID,Index,Duration,Build_Result,Actual_Result
86582276,1,12743,1,1
86647186,2,6729,1,1
86772465,3,1237,0,0
86786589,4,7648,1,1
86830928,5,10006,1,1
86848113,6,7874,1,1
86860097,7,9569,1,1
86867245,8,8769,1,1
87059773,9,10123,1,0
87180961,10,7180,0,1
87188172,11,6788,1,1
87285781,12,6553,0,1
87310263,13,7353,1,1
87369292,14,9847,0,1
87444328,15,9868,0,1
87467464,16,7907,1,1
87491997,17,9554,1,1
87512419,18,7347,0,1
87652492,19,9876,0,1
87670587,20,8069,1,1
87706515,21,9407,1,1
87715326,22,5985,0,0
87793368,23,9307,1,1
87801745,24,9026,1,1
87845047,25,9727,1,1
87850026,26,7575,1,1
87865822,27,9605,0,1
87994872,28,7270,1,1
88014417,29,7727,1,0
88073827,30,6289,1,0
88086622,31,9577,1,1
88087486,32,5476,1,0
88108478,33,7892,1,1
88132702,34,7496,1,1
88159623,35,9756,1,1
88290769,36,7454,1,1
88311881,37,8195,1,1
88470251,38,8551,1,1
88496609,39,9142,1,0
88610670,40,10297,1,1
88631543,41,7558,0,1
88752665,42,8123,1,1
88766040,43,5258,1,0
88878105,44,4390,1,0
88999708,45,14191,0,1
89086986,46,7709,1,1
89147375,47,8411,1,0
89188409,48,9761,0,1
89193064,49,7741,1,1
89334677,50,7341,1,0
89757849,51,7174,1,1
89832760,52,7337,1,1
89832808,53,7092,1,1
89837073,54,7553,1,1
89846471,55,7024,1,1
89847008,56,6889,1,1
90077917,57,7549,1,1
90261264,58,5878,1,0
90283086,59,9350,0,1
90307292,60,10023,1,1
90327344,61,12036,1,1
90344332,62,7802,1,1
90537255,63,13325,1,1
90558706,64,10662,1,1
90563113,65,7665,1,1
90581380,66,6800,1,1
90909406,67,8363,0,1
91110720,68,6956,1,1
91112777,69,8773,1,0
91139088,70,7273,1,1
91202298,71,6960,1,1
91208702,72,8867,1,1
91246396,73,7039,0,1
91331035,74,11122,1,1
91352130,75,7725,1,1
91353344,76,10318,1,1
91386774,77,9819,1,0
91694368,78,9981,1,1
91871912,79,7112,1,1
91974693,80,6490,1,1
91981033,81,7074,1,0
92112872,82,7285,1,1
92227212,83,10866,0,1
92419129,84,7452,1,1
92420406,85,6919,1,1
92420613,86,7537,1,0
92436039,87,7334,1,1
92464827,88,6845,1,1
92525005,89,7189,1,1
92573854,90,7452,1,1
92685011,91,6550,1,0
93279595,92,4904,1,0
93284302,93,6442,1,1
93338136,94,7254,0,1
93339215,95,7004,1,1
93391170,96,6676,1,0
93400385,97,7496,1,1
93439338,98,8831,1,1
93984587,99,8154,1,1
93992764,100,7038,1,1
94213617,101,8184,1,1
94251731,102,7615,1,1
94495238,103,7056,1,0
94500552,104,7548,1,1
94599084,105,7760,1,1
94601502,106,7735,1,1
94688784,107,9685,1,1
94779253,108,8754,1,1
94779588,109,8958,1,1
94880965,110,7729,0,0
94918295,111,8953,1,1
94932216,112,7851,1,1
95001163,113,7126,1,1
95086182,114,7141,1,1
95285258,115,8169,1,1
95414259,116,7583,1,1
95550649,117,7624,1,1
95553423,118,7509,1,1
95691448,119,7148,1,1
96163073,120,6688,1,1
96221590,121,7124,1,1
96259971,122,9305,1,1
96496142,123,7425,1,1
96518451,124,7084,1,1
96518924,125,8655,1,0
96521133,126,9040,1,1
96692398,127,7414,1,1
97110558,128,9398,1,1
97176292,129,7401,1,1
