project,algorithm,batch_size,confidence,project_reqd_builds,project_missed_builds,project_build_duration,project_saved_builds,project_delays,testall_size,batch_delays
jruby,BATCH4,4,10,46.48910411622276,6.295399515738499,697251,41.16222760290557,"[7, 2, 4, 10, 4, 8, 6, 6, 9, 5, 7, 4, 2, 3, 3, 8, 3, 5, 3, 4, 8, 10, 6, 10, 2, 8]",413,366.0
jruby,BATCH4,4,20,45.0363196125908,6.5375302663438255,672880,46.973365617433416,"[2, 15, 7, 11, 20, 4, 12, 12, 14, 4, 2, 3, 3, 9, 14, 5, 4, 7, 9, 3, 3, 10, 14, 18, 20, 2, 8]",413,330.0
metasploit-framework,BATCH4,4,10,10.765239948119326,2.4643320363164722,132475,67.31517509727627,"[7, 2, 3, 5, 6, 4, 2, 8, 5, 8, 6, 2, 5, 8, 2, 9, 2, 8, 7]",771,378.0
metasploit-framework,BATCH4,4,20,7.652399481193256,2.4643320363164722,98739,79.76653696498055,"[11, 16, 17, 19, 17, 8, 13, 16, 7, 9, 10, 3, 11, 6, 20, 12, 18, 2, 8]",771,234.0
cloudify,BATCH4,4,10,14.344262295081966,2.2540983606557377,46425,65.57377049180327,"[4, 9, 8, 7, 5, 6, 9, 3, 5, 10, 6]",488,252.0
cloudify,BATCH4,4,20,9.221311475409836,2.459016393442623,30203,79.50819672131148,"[3, 8, 2, 2, 16, 12, 7, 17, 6, 15, 18, 3]",488,150.0
vagrant,BATCH4,4,10,10.915492957746478,2.464788732394366,5338,67.6056338028169,"[8, 10, 3, 9, 4, 7, 6]",284,138.0
vagrant,BATCH4,4,20,9.154929577464788,2.112676056338028,4106,80.28169014084507,"[18, 15, 8, 4, 15, 12]",284,84.0
rubinius,BATCH4,4,10,45.0,5.909090909090909,180761,43.63636363636363,"[3, 8, 10, 4, 9, 3, 5, 8, 2, 4, 8, 10, 5]",220,186.0
rubinius,BATCH4,4,20,39.54545454545455,6.363636363636363,158753,50.90909090909091,"[3, 17, 19, 2, 6, 15, 3, 5, 8, 6, 8, 12, 7, 5]",220,162.0
open-build-service,BATCH4,4,10,29.613733905579398,5.150214592274678,346467,53.648068669527895,"[2, 7, 5, 4, 9, 6, 6, 7, 9, 3, 10, 5, 3, 8, 10, 6, 8, 10, 4, 2, 4, 10, 5, 7]",466,324.0
open-build-service,BATCH4,4,20,20.386266094420602,6.866952789699571,242026,66.52360515021459,"[5, 8, 2, 3, 17, 2, 18, 7, 7, 6, 4, 3, 9, 20, 8, 13, 18, 10, 16, 5, 15, 5, 8, 13, 15, 17, 4, 2, 4, 20, 5, 7]",466,234.0
gradle,BATCH4,4,10,11.131059245960502,2.872531418312388,99580,66.96588868940754,"[4, 5, 5, 9, 10, 8, 2, 9, 2, 10, 6, 8, 2, 3, 3, 4]",557,276.0
gradle,BATCH4,4,20,7.001795332136445,3.0520646319569122,60299,80.61041292639138,"[15, 14, 18, 3, 15, 4, 11, 8, 11, 18, 17, 19, 5, 4, 12, 7, 20]",557,162.0
