version,project,method,algorithm,batch_size,builds_reqd,batch_delays,sbs_delays,confidence
1,heroku.csv,ssr,BATCHSTOP4,4,27.346939086914062,138.0,60,14
1,heroku.csv,ssr,BATCHSTOP4,8,33.06122589111328,454.0,75,19
1,heroku.csv,ssr,BATCHSTOP4,16,44.081634521484375,1348.0,64,16
1,heroku.csv,ssr,BATCH4,4,27.346939086914062,138.0,60,14
1,heroku.csv,ssr,BATCHBISECT,1,34.693878173828125,0.0,41,3
1,heroku.csv,ssr,BATCHBISECT,2,28.979591369628906,49.0,40,5
1,heroku.csv,ssr,BATCHBISECT,4,28.163265228271484,138.0,60,14
1,heroku.csv,ssr,BATCHBISECT,8,34.693878173828125,454.0,75,19
1,heroku.csv,ssr,BATCHBISECT,16,44.8979606628418,1348.0,64,16
1,cloudify.csv,ssr,BATCHSTOP4,4,29.88505744934082,288.0,105,10
1,cloudify.csv,ssr,BATCHSTOP4,8,35.63218307495117,812.0,168,18
1,cloudify.csv,ssr,BATCHSTOP4,16,51.72413635253906,2556.0,47,16
1,cloudify.csv,ssr,BATCH4,4,29.88505744934082,288.0,105,10
1,cloudify.csv,ssr,BATCHBISECT,1,51.95402145385742,0.0,54,2
1,cloudify.csv,ssr,BATCHBISECT,2,32.41379165649414,91.0,63,5
1,cloudify.csv,ssr,BATCHBISECT,4,31.724138259887695,288.0,105,10
1,cloudify.csv,ssr,BATCHBISECT,8,37.47126388549805,812.0,168,18
1,cloudify.csv,ssr,BATCHBISECT,16,54.942527770996094,2556.0,47,16
1,vagrant.csv,ssr,BATCHSTOP4,4,0,0,0,0
1,vagrant.csv,ssr,BATCHSTOP4,8,0,0,0,0
1,vagrant.csv,ssr,BATCHSTOP4,16,0,0,0,0
1,vagrant.csv,ssr,BATCH4,4,0,0,0,0
1,vagrant.csv,ssr,BATCHBISECT,1,0,0,0,0
1,vagrant.csv,ssr,BATCHBISECT,2,0,0,0,0
1,vagrant.csv,ssr,BATCHBISECT,4,0,0,0,0
1,vagrant.csv,ssr,BATCHBISECT,8,0,0,0,0
1,vagrant.csv,ssr,BATCHBISECT,16,0,0,0,0
2,heroku.csv,ssr,BATCHSTOP4,4,33.40757369995117,300.0,109,11
2,heroku.csv,ssr,BATCHSTOP4,8,24.721603393554688,729.0,300,18
2,heroku.csv,ssr,BATCHSTOP4,16,47.884185791015625,2625.0,87,15
2,heroku.csv,ssr,BATCH4,4,33.40757369995117,300.0,109,11
2,heroku.csv,ssr,BATCHBISECT,1,52.115814208984375,0.0,56,2
2,heroku.csv,ssr,BATCHBISECT,2,40.534523010253906,126.0,50,3
2,heroku.csv,ssr,BATCHBISECT,4,34.29844284057617,300.0,109,11
2,heroku.csv,ssr,BATCHBISECT,8,25.612472534179688,729.0,300,18
2,heroku.csv,ssr,BATCHBISECT,16,49.665924072265625,2625.0,87,15
2,cloudify.csv,ssr,BATCHSTOP4,4,19.847328186035156,288.0,191,11
2,cloudify.csv,ssr,BATCHSTOP4,8,33.39694595336914,924.0,208,19
2,cloudify.csv,ssr,BATCHSTOP4,16,48.28244400024414,2886.0,134,19
2,cloudify.csv,ssr,BATCH4,4,19.847328186035156,288.0,191,11
2,cloudify.csv,ssr,BATCHBISECT,1,52.09923553466797,0.0,52,2
2,cloudify.csv,ssr,BATCHBISECT,2,29.96183204650879,117.0,82,4
2,cloudify.csv,ssr,BATCHBISECT,4,20.610687255859375,288.0,191,11
2,cloudify.csv,ssr,BATCHBISECT,8,33.77862548828125,924.0,208,19
2,cloudify.csv,ssr,BATCHBISECT,16,49.42748260498047,2886.0,134,19
2,vagrant.csv,ssr,BATCHSTOP4,4,0,0,0,0
2,vagrant.csv,ssr,BATCHSTOP4,8,0,0,0,0
2,vagrant.csv,ssr,BATCHSTOP4,16,0,0,0,0
2,vagrant.csv,ssr,BATCH4,4,0,0,0,0
2,vagrant.csv,ssr,BATCHBISECT,1,0,0,0,0
2,vagrant.csv,ssr,BATCHBISECT,2,0,0,0,0
2,vagrant.csv,ssr,BATCHBISECT,4,0,0,0,0
2,vagrant.csv,ssr,BATCHBISECT,8,0,0,0,0
2,vagrant.csv,ssr,BATCHBISECT,16,0,0,0,0
3,heroku.csv,ssr,BATCHSTOP4,4,10.344827651977539,30.0,32,15
3,heroku.csv,ssr,BATCHSTOP4,8,4.597701072692871,112.0,36,13
3,heroku.csv,ssr,BATCHSTOP4,16,31.034482955932617,363.0,17,19
3,heroku.csv,ssr,BATCH4,4,10.344827651977539,30.0,32,15
3,heroku.csv,ssr,BATCHBISECT,1,20.689655303955078,0.0,12,5
3,heroku.csv,ssr,BATCHBISECT,2,13.793103218078613,10.0,15,8
3,heroku.csv,ssr,BATCHBISECT,4,12.643677711486816,30.0,32,15
3,heroku.csv,ssr,BATCHBISECT,8,4.597701072692871,112.0,36,13
3,heroku.csv,ssr,BATCHBISECT,16,33.33333206176758,363.0,17,19
3,cloudify.csv,ssr,BATCHSTOP4,4,10.978043556213379,186.0,97,16
3,cloudify.csv,ssr,BATCHSTOP4,8,12.574850082397461,644.0,131,19
3,cloudify.csv,ssr,BATCHSTOP4,16,14.570858001708984,2040.0,90,19
3,cloudify.csv,ssr,BATCH4,4,10.978043556213379,186.0,97,16
3,cloudify.csv,ssr,BATCHBISECT,1,34.131736755371094,0.0,34,3
3,cloudify.csv,ssr,BATCHBISECT,2,16.76646614074707,68.0,51,7
3,cloudify.csv,ssr,BATCHBISECT,4,11.377245903015137,186.0,97,16
3,cloudify.csv,ssr,BATCHBISECT,8,12.574850082397461,644.0,131,19
3,cloudify.csv,ssr,BATCHBISECT,16,14.970060348510742,2040.0,90,19
3,vagrant.csv,ssr,BATCHSTOP4,4,8.659217834472656,109.0,20,20
3,vagrant.csv,ssr,BATCHSTOP4,8,7.54189920425415,420.0,32,20
3,vagrant.csv,ssr,BATCHSTOP4,16,14.804469108581543,1485.0,21,20
3,vagrant.csv,ssr,BATCH4,4,8.659217834472656,109.0,20,20
