project,algorithm,batch_size,confidence,project_reqd_builds,project_missed_builds,project_build_duration,project_saved_builds,project_delays,testall_size,batch_delays
jruby,BATCH4,4,2,72.88135593220339,1.4527845036319613,1032916,9.927360774818402,"[2, 2, 2, 2, 2, 2]",413,558.0
jruby,BATCH4,4,3,66.10169491525424,2.9055690072639226,969855,16.949152542372882,"[2, 2, 2, 2, 2, 3, 3, 2, 3, 2, 3, 2]",413,516.0
jruby,BATCH4,4,4,62.71186440677966,3.389830508474576,871352,22.760290556900728,"[3, 3, 2, 2, 3, 2, 4, 2, 2, 4, 2, 4, 2, 2]",413,480.0
jruby,BATCH4,4,5,56.65859564164649,4.600484261501211,828714,27.84503631961259,"[2, 2, 5, 4, 4, 4, 3, 5, 2, 3, 3, 3, 4, 2, 5, 2, 2, 4, 3]",413,447.0
jruby,BATCH4,4,6,57.142857142857146,4.600484261501211,856333,30.024213075060533,"[3, 6, 2, 6, 2, 3, 2, 4, 6, 4, 2, 3, 4, 3, 5, 2, 4, 6, 6]",413,433.0
jruby,BATCH4,4,7,54.479418886198545,4.600484261501211,807622,32.445520581113804,"[4, 5, 7, 3, 4, 2, 4, 2, 3, 5, 5, 4, 6, 7, 3, 5, 7, 7, 2]",413,420.0
jruby,BATCH4,4,8,53.26876513317191,5.326876513317191,756604,33.41404358353511,"[5, 2, 8, 4, 4, 3, 4, 2, 3, 6, 5, 3, 6, 8, 3, 2, 6, 8, 2, 6, 8, 2]",413,414.0
jruby,BATCH4,4,9,47.94188861985472,6.053268765133172,719650,39.46731234866828,"[6, 2, 2, 8, 5, 5, 4, 5, 8, 3, 5, 4, 2, 3, 2, 7, 3, 5, 9, 2, 6, 8, 3, 7, 5]",413,375.0
jruby,BATCH4,4,10,46.48910411622276,6.295399515738499,697251,41.16222760290557,"[7, 2, 4, 10, 4, 8, 6, 6, 9, 5, 7, 4, 2, 3, 3, 8, 3, 5, 3, 4, 8, 10, 6, 10, 2, 8]",413,366.0
jruby,BATCH4,4,11,54.23728813559322,4.600484261501211,775263,37.28813559322034,"[8, 2, 10, 7, 4, 6, 4, 2, 3, 4, 9, 5, 3, 5, 9, 11, 2, 11, 2]",413,390.0
