project,method,algorithm,batch_size,builds_reqd,total_delay
cloud_controller_ng.csv,ml,NOBATCH,1,81.02766798418970,0
cloud_controller_ng.csv,ml,NOBATCH,2,43.47826086956520,1
cloud_controller_ng.csv,ml,NOBATCH,4,23.3201581027668,4
cloud_controller_ng.csv,ml,NOBATCH,8,12.25296442687750,1
cloud_controller_ng.csv,ml,NOBATCH,16,6.324110671936760,1
cloud_controller_ng.csv,ml,NOBATCH,32,3.1620553359683800,1
cloud_controller_ng.csv,ml,BATCH4,4,67.58893280632410,4
cloud_controller_ng.csv,ml,BATCHSTOP4,4,67.58893280632410,4
cloud_controller_ng.csv,ml,BATCHSTOP4,8,76.28458498023720,3
cloud_controller_ng.csv,ml,BATCHSTOP4,16,79.05138339920950,3
cloud_controller_ng.csv,ml,BATCHSTOP4,32,87.74703557312250,0
cloud_controller_ng.csv,ml,BATCHBISECT,1,68.3794466403162,22
cloud_controller_ng.csv,ml,BATCHBISECT,2,63.24110671936760,7
cloud_controller_ng.csv,ml,BATCHBISECT,4,69.1699604743083,4
cloud_controller_ng.csv,ml,BATCHBISECT,8,77.07509881422930,3
cloud_controller_ng.csv,ml,BATCHBISECT,16,80.63241106719370,3
cloud_controller_ng.csv,ml,BATCHBISECT,32,88.53754940711460,0
cloudify.csv,ml,NOBATCH,1,51.4344262295082,0
cloudify.csv,ml,NOBATCH,2,34.01639344262300,0
cloudify.csv,ml,NOBATCH,4,19.4672131147541,9
cloudify.csv,ml,NOBATCH,8,10.86065573770490,1
cloudify.csv,ml,NOBATCH,16,5.737704918032790,2
cloudify.csv,ml,NOBATCH,32,3.0737704918032800,0
cloudify.csv,ml,BATCH4,4,31.762295081967200,9
cloudify.csv,ml,BATCHSTOP4,4,31.762295081967200,9
cloudify.csv,ml,BATCHSTOP4,8,31.557377049180300,0
cloudify.csv,ml,BATCHSTOP4,16,28.483606557377000,0
cloudify.csv,ml,BATCHSTOP4,32,30.942622950819700,0
cloudify.csv,ml,BATCHBISECT,1,47.950819672131100,15
cloudify.csv,ml,BATCHBISECT,2,39.34426229508200,5
cloudify.csv,ml,BATCHBISECT,4,31.762295081967200,9
cloudify.csv,ml,BATCHBISECT,8,31.9672131147541,0
cloudify.csv,ml,BATCHBISECT,16,29.71311475409840,0
cloudify.csv,ml,BATCHBISECT,32,30.942622950819700,0
concerto.csv,ml,NOBATCH,1,63.793103448275900,1
concerto.csv,ml,NOBATCH,2,36.89655172413790,1
concerto.csv,ml,NOBATCH,4,21.724137931034500,2
concerto.csv,ml,NOBATCH,8,11.03448275862070,0
concerto.csv,ml,NOBATCH,16,6.206896551724140,1
concerto.csv,ml,NOBATCH,32,3.103448275862070,1
concerto.csv,ml,BATCH4,4,38.27586206896550,2
concerto.csv,ml,BATCHSTOP4,4,38.27586206896550,2
concerto.csv,ml,BATCHSTOP4,8,39.6551724137931,0
concerto.csv,ml,BATCHSTOP4,16,37.93103448275860,0
concerto.csv,ml,BATCHSTOP4,32,39.6551724137931,1
concerto.csv,ml,BATCHBISECT,1,59.310344827586200,9
concerto.csv,ml,BATCHBISECT,2,42.75862068965520,5
concerto.csv,ml,BATCHBISECT,4,38.96551724137930,2
concerto.csv,ml,BATCHBISECT,8,40.3448275862069,0
concerto.csv,ml,BATCHBISECT,16,40.0,0
concerto.csv,ml,BATCHBISECT,32,40.3448275862069,1
fog.csv,ml,NOBATCH,1,90.31339031339030,0
fog.csv,ml,NOBATCH,2,45.86894586894590,1
fog.csv,ml,NOBATCH,4,23.93162393162390,3
fog.csv,ml,NOBATCH,8,12.250712250712300,0
fog.csv,ml,NOBATCH,16,6.267806267806270,0
fog.csv,ml,NOBATCH,32,3.133903133903130,0
fog.csv,ml,BATCH4,4,66.0968660968661,3
fog.csv,ml,BATCHSTOP4,4,66.0968660968661,3
fog.csv,ml,BATCHSTOP4,8,72.64957264957270,0
fog.csv,ml,BATCHSTOP4,16,79.2022792022792,0
fog.csv,ml,BATCHSTOP4,32,79.48717948717950,0
fog.csv,ml,BATCHBISECT,1,82.33618233618230,11
fog.csv,ml,BATCHBISECT,2,70.94017094017090,4
fog.csv,ml,BATCHBISECT,4,70.65527065527070,3
fog.csv,ml,BATCHBISECT,8,78.34757834757840,0
fog.csv,ml,BATCHBISECT,16,82.62108262108260,0
fog.csv,ml,BATCHBISECT,32,85.18518518518520,0
geoserver.csv,ml,NOBATCH,1,89.88095238095240,0
geoserver.csv,ml,NOBATCH,2,48.80952380952380,0
geoserver.csv,ml,NOBATCH,4,23.80952380952380,7
