batch_num,total_builds,batch_builds
,,
4,5,5
8,6,1
12,11,5
16,12,1
20,13,1
24,18,5
28,19,1
32,24,5
36,25,1
40,30,5
44,35,5
48,40,5
52,45,5
56,46,1
60,51,5
64,52,1
68,53,1
72,58,5
76,59,1
80,64,5
84,69,5
88,74,5
92,79,5
96,84,5
100,85,1
104,90,5
108,91,1
112,96,5
116,97,1
120,98,1
124,99,1
128,104,5
132,109,5
136,110,1
140,111,1
144,116,5
148,117,1
152,122,5
156,123,1
160,128,5
164,129,1
168,130,1
172,131,1
176,132,1
180,133,1
184,134,1
188,139,5
192,140,1
196,141,1
200,142,1
204,143,1
208,144,1
212,149,5
216,150,1
220,151,1
224,156,5
228,157,1
232,158,1
236,163,5
240,164,1
244,165,1
248,166,1
252,171,5
256,172,1
260,173,1
264,174,1
268,175,1
272,180,5
276,185,5
280,190,5
284,195,5
288,200,5
292,205,5
296,210,5
300,215,5
304,220,5
308,225,5
312,230,5
316,235,5
320,240,5
324,245,5
328,250,5
332,255,5
336,260,5
340,265,5
344,270,5
348,275,5
352,280,5
356,281,1
360,282,1
364,283,1
368,288,5
372,293,5
376,294,1
380,295,1
384,300,5
388,301,1
392,302,1
396,303,1
400,308,5
404,309,1
408,310,1
412,315,5
416,320,5
420,325,5
424,330,5
428,331,1
432,332,1
436,333,1
440,334,1
444,335,1
448,336,1
452,337,1
456,342,5
460,347,5
464,348,1
468,349,1
472,354,5
476,355,1
480,356,1
484,361,5
488,362,1
492,367,5
496,372,5
500,373,1
504,374,1
508,375,1
512,376,1
516,377,1
520,378,1
524,379,1
528,384,5
532,385,1
536,390,5
540,391,1
544,396,5
548,401,5
552,406,5
556,411,5
560,416,5
564,421,5
568,426,5
572,427,1
576,428,1
580,429,1
584,430,1
588,435,5
592,436,1
596,441,5
600,446,5
604,447,1
608,452,5
612,453,1
616,458,5
620,459,1
624,460,1
628,461,1
632,466,5
636,471,5
640,476,5
644,477,1
648,478,1
652,483,5
656,484,1
4,5,5
8,6,1
12,11,5
16,12,1
20,13,1
24,18,5
28,19,1
32,24,5
36,25,1
40,30,5
44,35,5
48,40,5
52,45,5
56,46,1
60,51,5
64,52,1
68,53,1
72,58,5
76,59,1
80,64,5
84,69,5
88,74,5
92,79,5
96,84,5
100,85,1
104,90,5
108,91,1
112,96,5
116,97,1
120,98,1
124,99,1
128,104,5
132,109,5
136,110,1
140,111,1
144,116,5
148,117,1
152,122,5
156,123,1
160,128,5
164,129,1
168,130,1
172,131,1
176,132,1
180,133,1
184,134,1
188,139,5
192,140,1
196,141,1
200,142,1
204,143,1
208,144,1
212,149,5
216,150,1
220,151,1
224,156,5
228,157,1
232,158,1
236,163,5
240,164,1
244,165,1
248,166,1
252,171,5
256,172,1
260,173,1
264,174,1
268,175,1
272,180,5
276,185,5
280,190,5
284,195,5
288,200,5
292,205,5
296,210,5
300,215,5
304,220,5
308,225,5
312,230,5
316,235,5
320,240,5
324,245,5
328,250,5
332,255,5
336,260,5
340,265,5
344,270,5
348,275,5
352,280,5
356,281,1
360,282,1
364,283,1
368,288,5
372,293,5
376,294,1
380,295,1
384,300,5
388,301,1
392,302,1
396,303,1
400,308,5
404,309,1
408,310,1
412,315,5
416,320,5
420,325,5
424,330,5
428,331,1
432,332,1
436,333,1
440,334,1
444,335,1
448,336,1
452,337,1
456,342,5
460,347,5
464,348,1
468,349,1
472,354,5
476,355,1
480,356,1
484,361,5
488,362,1
492,367,5
496,372,5
500,373,1
504,374,1
508,375,1
512,376,1
516,377,1
520,378,1
524,379,1
528,384,5
532,385,1
536,390,5
540,391,1
544,396,5
548,401,5
552,406,5
556,411,5
560,416,5
564,421,5
568,426,5
572,427,1
576,428,1
580,429,1
584,430,1
588,435,5
592,436,1
596,441,5
600,446,5
604,447,1
608,452,5
612,453,1
616,458,5
620,459,1
624,460,1
628,461,1
632,466,5
636,471,5
640,476,5
644,477,1
648,478,1
652,483,5
656,484,1
