batch_num,total_builds,batch_builds
,,
4,5,5
8,10,5
12,15,5
16,20,5
20,25,5
24,30,5
28,35,5
32,40,5
36,45,5
40,50,5
44,55,5
48,60,5
52,65,5
56,70,5
60,75,5
64,80,5
68,85,5
72,90,5
76,95,5
80,100,5
84,105,5
88,110,5
92,115,5
96,120,5
100,125,5
104,126,1
108,131,5
112,136,5
116,141,5
120,146,5
124,151,5
128,156,5
132,161,5
136,166,5
140,171,5
144,176,5
148,181,5
152,186,5
156,191,5
160,196,5
164,201,5
168,206,5
172,211,5
176,216,5
180,221,5
184,226,5
188,231,5
192,236,5
196,241,5
200,246,5
204,251,5
208,256,5
212,261,5
216,266,5
220,271,5
224,272,1
228,277,5
232,282,5
236,287,5
240,292,5
244,293,1
248,294,1
252,295,1
256,296,1
260,301,5
264,306,5
268,311,5
272,316,5
276,321,5
280,322,1
284,327,5
288,332,5
292,337,5
296,342,5
300,347,5
304,352,5
308,357,5
312,362,5
316,367,5
320,372,5
324,377,5
328,382,5
332,387,5
336,392,5
340,397,5
344,402,5
348,407,5
352,412,5
356,417,5
360,422,5
364,423,1
368,424,1
372,425,1
376,430,5
380,431,1
384,432,1
388,437,5
392,442,5
396,443,1
400,444,1
404,449,5
408,454,5
412,459,5
416,464,5
420,465,1
424,466,1
428,471,5
432,472,1
436,477,5
440,482,5
444,483,1
448,488,5
452,493,5
456,498,5
460,503,5
464,508,5
468,513,5
472,518,5
476,523,5
480,528,5
484,533,5
488,538,5
492,543,5
496,548,5
500,553,5
504,558,5
508,563,5
512,568,5
516,573,5
520,578,5
524,583,5
528,588,5
532,593,5
536,598,5
540,603,5
544,608,5
548,613,5
552,618,5
556,623,5
560,628,5
564,629,1
568,634,5
572,639,5
576,644,5
580,649,5
584,654,5
588,659,5
592,664,5
596,669,5
600,674,5
604,679,5
608,680,1
612,685,5
616,690,5
620,695,5
624,700,5
628,705,5
632,710,5
636,715,5
640,720,5
644,725,5
648,730,5
652,735,5
656,740,5
660,745,5
664,750,5
668,755,5
672,760,5
676,765,5
680,770,5
684,771,1
688,772,1
692,777,5
696,782,5
700,783,1
704,788,5
708,793,5
712,798,5
716,803,5
720,808,5
724,813,5
728,818,5
732,823,5
736,828,5
740,833,5
744,838,5
748,839,1
752,840,1
756,845,5
760,846,1
764,851,5
768,856,5
772,861,5
776,866,5
780,871,5
784,876,5
788,877,1
792,882,5
796,887,5
800,892,5
804,897,5
808,898,1
812,903,5
816,904,1
820,909,5
824,914,5
828,919,5
832,924,5
836,929,5
840,934,5
844,935,1
848,940,5
852,941,1
856,946,5
860,951,5
864,956,5
868,961,5
872,966,5
876,971,5
880,976,5
884,981,5
888,986,5
892,991,5
896,996,5
900,997,1
904,1002,5
908,1007,5
912,1012,5
916,1017,5
920,1022,5
924,1027,5
928,1032,5
932,1033,1
936,1034,1
940,1039,5
944,1044,5
948,1049,5
952,1054,5
956,1059,5
960,1064,5
964,1065,1
968,1070,5
972,1075,5
976,1076,1
980,1081,5
984,1086,5
988,1091,5
992,1096,5
996,1101,5
1000,1106,5
1004,1111,5
1008,1112,1
1012,1113,1
1016,1114,1
1020,1115,1
1024,1120,5
1028,1125,5
1032,1130,5
1036,1131,1
1040,1132,1
1044,1137,5
1048,1142,5
1052,1143,1
1056,1144,1
1060,1149,5
1064,1150,1
1068,1151,1
1072,1156,5
1076,1157,1
1080,1162,5
1084,1167,5
1088,1172,5
1092,1173,1
1096,1178,5
1100,1183,5
1104,1188,5
1108,1193,5
1112,1198,5
1116,1203,5
1120,1204,1
1124,1209,5
1128,1214,5
1132,1219,5
1136,1224,5
1140,1229,5
1144,1230,1
1148,1235,5
1152,1240,5
1156,1245,5
1160,1250,5
1164,1251,1
1168,1256,5
1172,1261,5
1176,1266,5
1180,1267,1
1184,1272,5
1188,1277,5
1192,1282,5
1196,1287,5
1200,1292,5
1204,1297,5
1208,1302,5
1212,1307,5
1216,1312,5
1220,1313,1
1224,1318,5
1228,1323,5
1232,1324,1
1236,1329,5
1240,1334,5
1244,1339,5
1248,1344,5
1252,1349,5
1256,1354,5
1260,1359,5
1264,1364,5
1268,1369,5
1272,1374,5
1276,1379,5
1280,1384,5
1284,1389,5
1288,1394,5
1292,1399,5
1296,1404,5
1300,1409,5
1304,1414,5
1308,1419,5
1312,1424,5
1316,1429,5
1320,1434,5
1324,1439,5
1328,1440,1
1332,1445,5
1336,1450,5
1340,1455,5
1344,1460,5
1348,1465,5
1352,1470,5
1356,1475,5
1360,1480,5
1364,1485,5
1368,1490,5
1372,1495,5
1376,1500,5
1380,1501,1
1384,1506,5
1388,1511,5
1392,1516,5
1396,1521,5
1400,1526,5
1404,1531,5
1408,1536,5
1412,1541,5
1416,1546,5
1420,1551,5
1424,1552,1
1428,1557,5
1432,1562,5
1436,1563,1
1440,1568,5
1444,1573,5
1448,1578,5
1452,1583,5
1456,1588,5
1460,1589,1
1464,1594,5
1468,1599,5
1472,1604,5
1476,1609,5
1480,1614,5
1484,1619,5
1488,1624,5
1492,1629,5
1496,1630,1
1500,1635,5
1504,1640,5
1508,1645,5
1512,1650,5
1516,1655,5
1520,1660,5
1524,1665,5
1528,1670,5
1532,1675,5
1536,1680,5
1540,1685,5
1544,1690,5
1548,1695,5
1552,1700,5
1556,1705,5
1560,1710,5
1564,1715,5
1568,1720,5
1572,1721,1
1576,1726,5
1580,1731,5
1584,1736,5
1588,1741,5
1592,1746,5
1596,1751,5
1600,1756,5
1604,1761,5
1608,1766,5
1612,1771,5
1616,1776,5
1620,1781,5
1624,1786,5
1628,1791,5
1632,1796,5
1636,1801,5
1640,1806,5
1644,1811,5
1648,1816,5
1652,1821,5
1656,1822,1
1660,1827,5
1664,1828,1
1668,1829,1
1672,1834,5
1676,1839,5
1680,1840,1
1684,1845,5
1688,1850,5
1692,1855,5
1696,1860,5
1700,1865,5
1704,1870,5
1708,1875,5
1712,1880,5
1716,1881,1
1720,1886,5
1724,1891,5
1728,1896,5
1732,1901,5
1736,1906,5
1740,1911,5
1744,1916,5
1748,1921,5
1752,1926,5
1756,1931,5
1760,1936,5
1764,1941,5
1768,1946,5
1772,1951,5
1776,1956,5
1780,1961,5
1784,1966,5
1788,1971,5
1792,1976,5
1796,1981,5
1800,1986,5
1804,1991,5
1808,1996,5
1812,2001,5
1816,2006,5
1820,2011,5
1824,2012,1
1828,2017,5
1832,2022,5
1836,2027,5
1840,2032,5
1844,2037,5
1848,2042,5
1852,2047,5
1856,2052,5
1860,2057,5
1864,2062,5
1868,2063,1
1872,2068,5
1876,2073,5
1880,2078,5
1884,2083,5
1888,2088,5
1892,2093,5
1896,2098,5
1900,2103,5
1904,2108,5
1908,2113,5
1912,2118,5
1916,2119,1
1920,2124,5
1924,2129,5
1928,2134,5
1932,2139,5
1936,2144,5
1940,2149,5
1944,2154,5
1948,2159,5
1952,2164,5
1956,2165,1
1960,2170,5
1964,2171,1
1968,2176,5
1972,2181,5
1976,2186,5
1980,2191,5
1984,2196,5
1988,2201,5
1992,2206,5
1996,2211,5
2000,2216,5
2004,2221,5
2008,2222,1
2012,2227,5
2016,2232,5
2020,2237,5
2024,2242,5
2028,2243,1
2032,2248,5
2036,2253,5
2040,2258,5
2044,2263,5
2048,2268,5
2052,2273,5
2056,2274,1
2060,2275,1
2064,2280,5
2068,2285,5
2072,2290,5
2076,2295,5
2080,2296,1
2084,2301,5
2088,2306,5
2092,2311,5
2096,2316,5
2100,2321,5
2104,2326,5
2108,2331,5
2112,2336,5
2116,2341,5
2120,2346,5
2124,2351,5
2128,2356,5
2132,2361,5
2136,2366,5
2140,2371,5
2144,2376,5
2148,2381,5
2152,2386,5
2156,2391,5
2160,2396,5
2164,2401,5
2168,2406,5
2172,2411,5
2176,2412,1
2180,2417,5
2184,2418,1
2188,2423,5
2192,2428,5
2196,2433,5
2200,2438,5
2204,2443,5
2208,2448,5
2212,2453,5
2216,2458,5
2220,2463,5
2224,2468,5
2228,2473,5
2232,2474,1
2236,2475,1
2240,2480,5
2244,2485,5
2248,2486,1
2252,2491,5
2256,2492,1
2260,2497,5
2264,2498,1
2268,2499,1
2272,2500,1
2276,2505,5
2280,2510,5
2284,2511,1
2288,2516,5
2292,2521,5
2296,2526,5
2300,2531,5
2304,2536,5
2308,2541,5
2312,2546,5
2316,2551,5
2320,2552,1
