batch_num,num_of_exec,difference
16,23,23
32,46,23
48,65,19
64,66,1
80,89,23
96,98,9
112,117,19
128,140,23
144,149,9
160,172,23
176,191,19
192,214,23
208,233,19
224,252,19
240,275,23
256,294,19
272,307,13
288,322,15
304,341,19
320,354,13
336,369,15
352,392,23
368,405,13
384,428,23
400,447,19
416,470,23
432,493,23
448,512,19
464,531,19
480,554,23
496,573,19
512,596,23
528,611,15
544,624,13
560,643,19
576,666,23
592,685,19
608,704,19
624,723,19
640,746,23
656,755,9
672,774,19
688,793,19
704,812,19
720,825,13
736,844,19
752,853,9
768,872,19
784,881,9
800,900,19
816,909,9
832,924,15
848,925,1
864,934,9
880,935,1
896,948,13
912,971,23
928,986,15
944,995,9
960,1004,9
976,1019,15
992,1028,9
1008,1047,19
1024,1066,19
1040,1075,9
1056,1084,9
1072,1103,19
1088,1118,15
1104,1141,23
1120,1156,15
1136,1171,15
1152,1190,19
1168,1209,19
1184,1224,15
1200,1233,9
1216,1248,15
1232,1267,19
1248,1276,9
1264,1277,1
1280,1292,15
1296,1301,9
1312,1310,9
1328,1329,19
1344,1338,9
1360,1357,19
1376,1372,15
1392,1381,9
1408,1404,23
1424,1427,23
1440,1436,9
1456,1455,19
1472,1464,9
1488,1473,9
1504,1482,9
1520,1483,1
1536,1492,9
1552,1507,15
1568,1526,19
1584,1545,19
1600,1560,15
1616,1569,9
1632,1578,9
1648,1597,19
1664,1616,19
1680,1617,1
1696,1626,9
1712,1635,9
1728,1658,23
1744,1667,9
1760,1676,9
1776,1695,19
1792,1708,13
1808,1721,13
1824,1730,9
1840,1739,9
1856,1752,13
1872,1761,9
1888,1774,13
1904,1787,13
1920,1788,1
1936,1807,19
1952,1820,13
1968,1835,15
1984,1850,15
2000,1859,9
2016,1872,13
2032,1891,19
2048,1900,9
2064,1901,1
2080,1914,13
2096,1915,1
2112,1924,9
2128,1933,9
2144,1942,9
2160,1943,1
2176,1958,15
2192,1959,1
2208,1968,9
2224,1977,9
2240,1986,9
2256,2001,15
2272,2010,9
2288,2019,9
2304,2032,13
2320,2041,9
2336,2056,15
2352,2065,9
2368,2066,1
2384,2067,1
2400,2068,1
2416,2069,1
2432,2084,15
2448,2103,19
2464,2126,23
2480,2127,1
2496,2146,19
2512,2155,9
2528,2164,9
2544,2179,15
2560,2188,9
2576,2197,9
2592,2206,9
2608,2221,15
2624,2230,9
2640,2231,1
2656,2232,1
2672,2241,9
2688,2242,1
2704,2243,1
2720,2244,1
2736,2259,15
2752,2260,1
2768,2273,13
2784,2282,9
2800,2297,15
2816,2298,1
2832,2299,1
2848,2308,9
2864,2327,19
2880,2328,1
2896,2343,15
2912,2352,9
2928,2367,15
2944,2380,13
2960,2389,9
2976,2398,9
2992,2407,9
3008,2422,15
3024,2423,1
3040,2438,15
3056,2457,19
3072,2480,23
3088,2489,9
3104,2504,15
3120,2519,15
3136,2534,15
3152,2535,1
3168,2536,1
3184,2545,9
3200,2554,9
3216,2555,1
3232,2574,19
3248,2589,15
3264,2590,1
3280,2591,1
3296,2600,9
3312,2619,19
3328,2638,19
3344,2647,9
3360,2666,19
3376,2675,9
3392,2684,9
3408,2693,9
3424,2702,9
3440,2703,1
3456,2718,15
3472,2731,13
3488,2750,19
3504,2763,13
3520,2778,15
3536,2787,9
3552,2800,13
3568,2819,19
3584,2842,23
3600,2843,1
3616,2852,9
3632,2853,1
3648,2872,19
3664,2881,9
3680,2896,15
3696,2905,9
3712,2906,1
3728,2907,1
