4,1,1
8,6,5
12,7,1
16,8,1
20,9,1
24,14,5
28,15,1
32,16,1
36,17,1
40,18,1
44,23,5
48,24,1
52,25,1
56,26,1
60,31,5
64,32,1
4,1,1
8,6,5
12,7,1
16,8,1
20,9,1
24,14,5
28,15,1
32,16,1
36,17,1
40,18,1
44,23,5
48,24,1
52,25,1
56,26,1
60,31,5
64,32,1
4,1,1
8,6,5
12,7,1
16,8,1
20,9,1
24,14,5
28,15,1
32,16,1
36,17,1
40,18,1
44,23,5
48,24,1
52,25,1
56,26,1
60,31,5
64,32,1
5,1,1
10,7,6
15,8,1
20,9,1
25,14,5
30,15,1
35,16,1
40,17,1
45,23,6
50,24,1
55,25,1
60,31,6
65,32,1
6,1,1
12,7,6
18,8,1
24,14,6
30,15,1
36,16,1
42,17,1
48,23,6
54,24,1
60,30,6
66,31,1
7,1,1
14,7,6
21,14,7
28,15,1
35,16,1
42,17,1
49,23,6
56,24,1
63,29,5
8,7,7
16,8,1
24,15,7
32,16,1
40,17,1
48,24,7
56,25,1
64,30,5
4,1,1
8,6,5
12,7,1
16,8,1
20,9,1
24,14,5
28,15,1
32,16,1
36,17,1
40,18,1
44,23,5
48,24,1
52,25,1
56,26,1
60,31,5
64,32,1
4,1,1
8,6,5
12,7,1
16,8,1
20,9,1
24,14,5
28,15,1
32,16,1
36,17,1
40,18,1
44,23,5
48,24,1
52,25,1
56,26,1
60,31,5
64,32,1
5,1,1
10,6,5
15,7,1
20,8,1
25,13,5
30,14,1
35,15,1
40,16,1
45,23,7
50,24,1
55,25,1
60,30,5
65,31,1
6,1,1
12,8,7
18,9,1
24,16,7
30,17,1
36,18,1
42,19,1
48,26,7
54,27,1
60,32,5
66,33,1
7,1,1
14,6,5
21,13,7
28,14,1
35,15,1
42,16,1
49,23,7
56,24,1
63,29,5
8,7,7
16,8,1
24,15,7
32,16,1
40,17,1
48,24,7
56,25,1
64,30,5
9,9,9
18,10,1
27,17,7
36,18,1
45,27,9
54,28,1
63,35,7
10,7,7
20,8,1
30,15,7
40,16,1
50,25,9
60,32,7
70,33,1
11,9,9
22,18,9
33,19,1
44,28,9
55,29,1
66,36,7
12,9,9
24,18,9
36,19,1
48,28,9
60,35,7
72,36,1
13,9,9
26,18,9
39,19,1
52,28,9
65,35,7
14,7,7
28,16,9
42,17,1
56,26,9
70,31,5
15,9,9
30,18,9
45,27,9
60,36,9
75,37,1
16,9,9
32,18,9
48,27,9
64,36,9
4,1,1
8,6,5
12,7,1
16,8,1
20,9,1
24,14,5
28,15,1
32,16,1
36,17,1
40,18,1
44,23,5
48,24,1
52,25,1
56,26,1
60,31,5
64,32,1
5,1,1
10,6,5
15,7,1
20,8,1
25,13,5
30,14,1
35,15,1
40,16,1
45,23,7
50,24,1
55,25,1
60,30,5
65,31,1
6,1,1
12,8,7
18,9,1
24,16,7
30,17,1
36,18,1
42,19,1
48,26,7
54,27,1
60,32,5
66,33,1
7,1,1
14,6,5
21,13,7
28,14,1
35,15,1
42,16,1
49,23,7
56,24,1
63,29,5
8,7,7
16,8,1
24,15,7
32,16,1
40,17,1
48,24,7
56,25,1
64,30,5
9,9,9
18,10,1
27,17,7
36,18,1
45,27,9
54,28,1
63,35,7
10,7,7
20,8,1
30,15,7
40,16,1
50,25,9
60,32,7
70,33,1
11,9,9
22,18,9
33,19,1
44,28,9
55,29,1
66,36,7
12,9,9
24,18,9
36,19,1
48,28,9
60,35,7
72,36,1
13,9,9
26,18,9
39,19,1
52,28,9
65,35,7
14,7,7
28,16,9
42,17,1
56,26,9
70,31,5
15,9,9
30,18,9
45,27,9
60,36,9
75,37,1
16,9,9
32,18,9
48,27,9
64,36,9
4,1,1
8,6,5
12,7,1
16,8,1
20,9,1
24,14,5
28,15,1
32,16,1
36,17,1
40,18,1
44,23,5
48,24,1
52,25,1
56,26,1
60,31,5
64,32,1
5,1,1
10,7,6
15,8,1
20,9,1
25,14,5
30,15,1
35,16,1
40,17,1
45,23,6
50,24,1
55,25,1
60,31,6
65,32,1
6,1,1
12,7,6
18,8,1
24,14,6
30,15,1
36,16,1
42,17,1
48,23,6
54,24,1
60,30,6
66,31,1
7,1,1
14,7,6
21,14,7
28,15,1
35,16,1
42,17,1
49,23,6
56,24,1
63,29,5
8,7,7
16,8,1
24,15,7
32,16,1
40,17,1
48,24,7
56,25,1
64,30,5
9,8,8
18,9,1
27,16,7
36,17,1
45,25,8
54,26,1
63,33,7
10,8,8
20,9,1
30,16,7
40,17,1
50,25,8
60,33,8
70,34,1
11,8,8
22,16,8
33,17,1
44,25,8
55,26,1
66,32,6
12,8,8
24,16,8
36,17,1
48,25,8
60,33,8
72,34,1
13,8,8
26,16,8
39,17,1
52,25,8
65,32,7
14,8,8
28,17,9
42,18,1
56,26,8
70,31,5
15,9,9
30,18,9
45,27,9
60,36,9
75,37,1
16,9,9
32,18,9
48,27,9
64,36,9
4,1,1
8,6,5
12,7,1
16,8,1
20,9,1
24,14,5
28,15,1
32,16,1
36,17,1
40,18,1
44,23,5
48,24,1
52,25,1
56,26,1
60,31,5
64,32,1
5,1,1
10,6,5
15,7,1
20,8,1
25,13,5
30,14,1
35,15,1
40,16,1
45,23,7
50,24,1
55,25,1
60,30,5
65,31,1
6,1,1
12,8,7
18,9,1
24,16,7
30,17,1
36,18,1
42,19,1
48,26,7
54,27,1
60,32,5
66,33,1
7,1,1
14,6,5
21,13,7
28,14,1
35,15,1
42,16,1
49,23,7
56,24,1
