batch_num,num_of_exec,difference
16,23,23
32,46,23
48,69,23
64,92,23
80,115,23
96,138,23
112,151,13
128,152,1
144,167,15
160,168,1
176,177,9
192,200,23
208,219,19
224,220,1
240,233,13
256,242,9
272,251,9
288,264,13
304,279,15
320,280,1
336,281,1
352,282,1
368,291,9
384,304,13
400,323,19
416,332,9
432,333,1
448,334,1
464,335,1
480,344,9
496,345,1
512,358,13
528,377,19
544,396,19
560,397,1
576,398,1
592,399,1
608,408,9
624,421,13
640,436,15
656,445,9
672,446,1
688,447,1
704,448,1
720,467,19
736,480,13
752,493,13
768,512,19
784,527,15
800,546,19
816,555,9
832,564,9
848,573,9
864,582,9
880,583,1
896,592,9
912,615,23
928,634,19
944,653,19
960,668,15
976,687,19
992,706,19
1008,721,15
1024,730,9
1040,745,15
1056,760,15
1072,779,19
1088,792,13
1104,811,19
1120,826,15
1136,841,15
1152,850,9
1168,865,15
1184,880,15
1200,895,15
1216,896,1
1232,905,9
1248,918,13
1264,937,19
1280,946,9
1296,947,1
1312,948,1
1328,957,9
1344,966,9
1360,979,13
1376,988,9
1392,997,9
1408,998,1
1424,999,1
1440,1012,13
1456,1021,9
1472,1030,9
1488,1039,9
1504,1040,1
1520,1053,13
1536,1062,9
1552,1077,15
1568,1086,9
1584,1087,1
1600,1096,9
1616,1097,1
1632,1098,1
1648,1099,1
1664,1114,15
1680,1133,19
1696,1142,9
1712,1151,9
1728,1170,19
1744,1179,9
1760,1188,9
1776,1207,19
1792,1226,19
1808,1235,9
1824,1244,9
1840,1259,15
1856,1278,19
1872,1279,1
1888,1302,23
1904,1303,1
1920,1318,15
1936,1337,19
1952,1352,15
1968,1353,1
1984,1366,13
2000,1381,15
2016,1382,1
2032,1391,9
2048,1414,23
2064,1433,19
2080,1448,15
2096,1467,19
2112,1486,19
2128,1487,1
2144,1502,15
2160,1511,9
2176,1512,1
2192,1521,9
2208,1530,9
2224,1539,9
2240,1548,9
2256,1563,15
2272,1572,9
2288,1573,1
2304,1582,9
2320,1583,1
2336,1584,1
2352,1599,15
2368,1608,9
2384,1623,15
2400,1632,9
2416,1633,1
2432,1634,1
2448,1643,9
2464,1644,1
2480,1653,9
2496,1662,9
2512,1677,15
2528,1678,1
2544,1679,1
2560,1680,1
2576,1693,13
2592,1702,9
2608,1711,9
2624,1726,15
2640,1727,1
2656,1736,9
2672,1745,9
2688,1746,1
2704,1747,1
2720,1748,1
2736,1767,19
2752,1768,1
2768,1769,1
2784,1778,9
2800,1793,15
2816,1802,9
2832,1803,1
2848,1804,1
2864,1805,1
2880,1806,1
2896,1815,9
2912,1824,9
2928,1825,1
2944,1838,13
2960,1847,9
2976,1848,1
2992,1857,9
3008,1858,1
3024,1867,9
3040,1886,19
3056,1895,9
3072,1896,1
3088,1897,1
3104,1898,1
3120,1907,9
3136,1908,1
3152,1909,1
3168,1910,1
