batch_num,num_of_exec,difference
16,9,9
32,10,1
48,25,15
64,26,1
80,27,1
96,36,9
112,37,1
128,38,1
144,39,1
160,40,1
176,41,1
192,42,1
208,51,9
224,52,1
240,61,9
256,62,1
272,71,9
288,72,1
304,73,1
320,74,1
336,75,1
352,76,1
368,77,1
384,78,1
400,79,1
416,80,1
432,89,9
448,90,1
464,91,1
480,92,1
496,93,1
512,102,9
528,103,1
544,112,9
560,113,1
576,114,1
592,115,1
608,116,1
624,125,9
640,126,1
656,127,1
672,128,1
688,129,1
704,130,1
720,131,1
736,132,1
752,133,1
768,134,1
784,135,1
800,136,1
816,137,1
832,146,9
848,155,9
864,156,1
880,157,1
896,166,9
912,167,1
928,168,1
944,177,9
960,186,9
976,187,1
992,188,1
1008,189,1
1024,198,9
1040,199,1
1056,200,1
1072,201,1
1088,202,1
1104,203,1
1120,204,1
1136,205,1
1152,206,1
1168,207,1
1184,208,1
1200,209,1
1216,218,9
1232,219,1
1248,228,9
1264,229,1
1280,230,1
1296,231,1
1312,240,9
1328,241,1
1344,250,9
1360,259,9
1376,274,15
1392,275,1
1408,276,1
1424,277,1
1440,286,9
1456,287,1
1472,288,1
1488,297,9
1504,306,9
1520,315,9
1536,316,1
1552,317,1
1568,318,1
1584,319,1
1600,320,1
1616,321,1
1632,322,1
1648,323,1
1664,324,1
1680,333,9
1696,334,1
1712,343,9
1728,352,9
1744,361,9
1760,362,1
1776,363,1
1792,364,1
1808,365,1
1824,384,19
1840,393,9
1856,408,15
1872,409,1
1888,432,23
1904,451,19
1920,466,15
1936,485,19
1952,486,1
1968,501,15
1984,510,9
2000,511,1
2016,512,1
2032,521,9
2048,522,1
2064,523,1
2080,524,1
2096,525,1
2112,526,1
2128,527,1
2144,528,1
2160,529,1
2176,530,1
2192,531,1
2208,532,1
2224,533,1
2240,534,1
2256,535,1
2272,536,1
2288,537,1
2304,546,9
2320,547,1
2336,556,9
2352,565,9
2368,566,1
2384,567,1
2400,586,19
2416,609,23
2432,628,19
2448,643,15
2464,658,15
2480,677,19
2496,692,15
2512,707,15
2528,730,23
2544,745,15
2560,758,13
2576,771,13
2592,784,13
2608,803,19
2624,816,13
2640,817,1
2656,818,1
2672,831,13
2688,840,9
2704,849,9
2720,850,1
2736,851,1
2752,852,1
2768,853,1
2784,862,9
2800,871,9
2816,872,1
2832,873,1
2848,874,1
2864,875,1
2880,876,1
2896,877,1
2912,878,1
2928,879,1
2944,880,1
2960,881,1
2976,882,1
2992,883,1
3008,884,1
3024,885,1
3040,886,1
3056,887,1
3072,888,1
3088,897,9
3104,898,1
3120,899,1
3136,922,23
3152,931,9
3168,940,9
3184,941,1
3200,942,1
3216,943,1
3232,944,1
3248,945,1
3264,946,1
3280,955,9
3296,956,1
3312,957,1
3328,966,9
3344,967,1
3360,976,9
3376,977,1
3392,996,19
3408,1019,23
3424,1042,23
3440,1065,23
3456,1088,23
3472,1089,1
3488,1090,1
3504,1091,1
3520,1100,9
3536,1109,9
3552,1124,15
3568,1133,9
3584,1142,9
3600,1143,1
3616,1144,1
3632,1145,1
3648,1146,1
3664,1147,1
3680,1148,1
3696,1149,1
3712,1150,1
3728,1151,1
3744,1152,1
3760,1153,1
3776,1154,1
3792,1155,1
3808,1156,1
3824,1165,9
3840,1166,1
3856,1175,9
3872,1176,1
3888,1177,1
3904,1178,1
3920,1187,9
3936,1188,1
3952,1189,1
3968,1190,1
3984,1191,1
4000,1192,1
4016,1205,13
4032,1206,1
4048,1207,1
4064,1208,1
