batch_num,num_of_exec,difference
16,1,1
32,16,15
48,29,13
64,48,19
80,63,15
96,76,13
112,99,23
128,112,13
144,125,13
160,126,1
176,139,13
192,140,1
208,141,1
224,142,1
240,151,9
256,152,1
272,153,1
288,154,1
304,155,1
320,156,1
336,157,1
352,166,9
368,167,1
384,186,19
400,187,1
416,196,9
432,205,9
448,206,1
464,215,9
480,238,23
496,253,15
512,254,1
528,263,9
544,272,9
560,281,9
576,282,1
592,283,1
608,298,15
624,307,9
640,330,23
656,353,23
672,376,23
688,399,23
704,422,23
720,445,23
736,468,23
752,491,23
768,514,23
784,527,13
800,528,1
816,529,1
832,542,13
848,551,9
864,560,9
880,561,1
896,562,1
912,571,9
928,572,1
944,587,15
960,606,19
976,625,19
992,634,9
1008,643,9
1024,652,9
1040,671,19
1056,672,1
1072,681,9
1088,700,19
1104,709,9
1120,718,9
1136,719,1
1152,728,9
1168,737,9
1184,738,1
1200,747,9
1216,748,1
1232,757,9
1248,758,1
1264,759,1
1280,768,9
1296,783,15
1312,802,19
1328,821,19
1344,844,23
1360,867,23
1376,890,23
1392,899,9
1408,914,15
1424,933,19
1440,946,13
1456,965,19
1472,984,19
1488,1003,19
1504,1018,15
1520,1037,19
1536,1046,9
1552,1069,23
1568,1084,15
1584,1093,9
1600,1102,9
1616,1103,1
1632,1104,1
1648,1119,15
1664,1128,9
1680,1141,13
1696,1156,15
1712,1165,9
1728,1174,9
1744,1183,9
1760,1184,1
1776,1185,1
1792,1186,1
1808,1195,9
1824,1204,9
1840,1223,19
1856,1242,19
1872,1265,23
1888,1280,15
1904,1299,19
1920,1322,23
1936,1335,13
1952,1350,15
1968,1359,9
1984,1360,1
2000,1369,9
2016,1388,19
2032,1401,13
2048,1420,19
2064,1429,9
2080,1444,15
2096,1459,15
2112,1460,1
2128,1475,15
2144,1484,9
2160,1497,13
2176,1512,15
2192,1531,19
2208,1540,9
2224,1559,19
2240,1568,9
2256,1581,13
2272,1590,9
2288,1605,15
2304,1624,19
2320,1633,9
2336,1648,15
2352,1671,23
2368,1694,23
2384,1709,15
2400,1732,23
2416,1755,23
2432,1778,23
2448,1801,23
2464,1824,23
2480,1843,19
2496,1862,19
2512,1885,23
2528,1908,23
2544,1931,23
2560,1950,19
2576,1959,9
2592,1982,23
2608,1991,9
2624,2000,9
2640,2009,9
2656,2032,23
2672,2055,23
2688,2078,23
2704,2097,19
2720,2120,23
2736,2139,19
2752,2162,23
2768,2177,15
2784,2192,15
2800,2211,19
2816,2234,23
2832,2253,19
2848,2268,15
2864,2291,23
2880,2300,9
2896,2309,9
2912,2324,15
2928,2332,8
