batch_num,total_builds,batch_builds
,,
4,1,1
8,2,1
12,3,1
16,4,1
20,5,1
24,6,1
28,7,1
32,8,1
36,9,1
40,10,1
44,15,5
48,16,1
52,17,1
56,18,1
60,19,1
64,20,1
68,25,5
72,26,1
76,27,1
80,32,5
84,33,1
88,34,1
92,35,1
96,36,1
100,37,1
104,38,1
108,43,5
112,44,1
116,45,1
120,46,1
124,47,1
128,48,1
132,49,1
136,54,5
140,55,1
144,56,1
148,57,1
152,58,1
156,59,1
160,60,1
164,61,1
168,62,1
172,63,1
176,64,1
180,69,5
184,74,5
188,75,1
192,76,1
196,81,5
200,82,1
204,83,1
208,84,1
212,85,1
216,86,1
220,87,1
224,88,1
228,89,1
232,90,1
236,91,1
240,92,1
244,93,1
248,94,1
252,95,1
256,96,1
260,97,1
264,98,1
268,99,1
272,104,5
276,105,1
280,106,1
284,107,1
288,108,1
292,109,1
296,110,1
300,111,1
304,116,5
308,121,5
312,126,5
316,131,5
320,136,5
324,137,1
328,142,5
332,147,5
336,148,1
340,149,1
344,154,5
348,155,1
352,160,5
356,165,5
360,166,1
364,167,1
368,168,1
372,169,1
376,170,1
380,175,5
384,180,5
388,181,1
392,186,5
396,191,5
400,192,1
404,193,1
408,194,1
412,195,1
416,196,1
420,197,1
424,198,1
428,199,1
432,200,1
436,201,1
440,202,1
444,207,5
448,208,1
452,209,1
456,210,1
460,211,1
464,212,1
468,213,1
472,214,1
476,215,1
480,216,1
484,217,1
488,222,5
492,223,1
496,224,1
500,225,1
504,226,1
508,227,1
512,228,1
516,229,1
520,230,1
524,231,1
528,232,1
532,237,5
536,238,1
540,239,1
544,240,1
548,241,1
552,242,1
556,243,1
560,244,1
564,245,1
568,246,1
572,247,1
576,252,5
580,253,1
584,254,1
588,255,1
592,256,1
596,257,1
600,258,1
604,259,1
608,260,1
612,265,5
616,266,1
620,267,1
624,268,1
628,269,1
632,270,1
636,271,1
640,272,1
644,273,1
648,274,1
652,275,1
656,280,5
660,281,1
664,282,1
668,287,5
672,288,1
676,289,1
680,290,1
684,291,1
688,296,5
692,297,1
696,298,1
700,299,1
704,300,1
708,305,5
712,306,1
716,307,1
720,308,1
724,309,1
728,310,1
732,311,1
736,312,1
740,313,1
744,314,1
748,315,1
752,316,1
756,317,1
760,318,1
764,319,1
768,320,1
772,325,5
776,330,5
780,331,1
