batch_num,num_of_exec,difference
16,23,23
32,42,19
48,61,19
64,62,1
80,63,1
96,86,23
112,87,1
128,88,1
144,89,1
160,98,9
176,117,19
192,118,1
208,119,1
224,120,1
240,135,15
256,136,1
272,151,15
288,166,15
304,181,15
320,182,1
336,197,15
352,198,1
368,211,13
384,226,15
400,245,19
416,260,15
432,283,23
448,284,1
464,285,1
480,298,13
496,299,1
512,300,1
528,301,1
544,302,1
560,303,1
576,316,13
592,331,15
608,340,9
624,341,1
640,342,1
656,343,1
672,344,1
688,345,1
704,360,15
720,361,1
736,362,1
752,371,9
768,372,1
784,391,19
800,410,19
816,429,19
832,444,15
848,445,1
864,446,1
880,447,1
896,448,1
912,449,1
928,450,1
944,451,1
960,466,15
976,467,1
992,486,19
1008,509,23
1024,528,19
1040,551,23
1056,566,15
1072,567,1
1088,582,15
1104,583,1
1120,584,1
1136,599,15
1152,600,1
1168,609,9
1184,632,23
1200,651,19
1216,660,9
1232,683,23
1248,692,9
1264,705,13
1280,714,9
1296,733,19
1312,752,19
1328,775,23
1344,798,23
1360,821,23
1376,844,23
1392,867,23
1408,882,15
1424,901,19
1440,916,15
1456,931,15
1472,950,19
1488,969,19
1504,992,23
1520,1015,23
1536,1034,19
1552,1053,19
1568,1062,9
1584,1081,19
1600,1096,15
1616,1115,19
1632,1124,9
1648,1139,15
1664,1152,13
1680,1165,13
1696,1166,1
1712,1185,19
1728,1198,13
1744,1217,19
1760,1240,23
1776,1263,23
1792,1282,19
1808,1305,23
1824,1328,23
1840,1341,13
1856,1360,19
1872,1383,23
1888,1406,23
1904,1425,19
1920,1448,23
1936,1471,23
1952,1480,9
1968,1499,19
1984,1512,13
2000,1535,23
2016,1558,23
2032,1581,23
2048,1604,23
2064,1627,23
2080,1650,23
2096,1673,23
2112,1692,19
2128,1715,23
2144,1738,23
2160,1761,23
2176,1784,23
2192,1803,19
2208,1826,23
2224,1827,1
2240,1842,15
2256,1843,1
2272,1862,19
2288,1885,23
2304,1904,19
2320,1923,19
2336,1936,13
2352,1955,19
2368,1970,15
2384,1989,19
2400,2008,19
2416,2027,19
2432,2050,23
2448,2065,15
2464,2074,9
2480,2087,13
2496,2106,19
2512,2129,23
2528,2142,13
2544,2157,15
2560,2176,19
2576,2195,19
2592,2214,19
2608,2229,15
2624,2244,15
2640,2257,13
2656,2276,19
2672,2285,9
2688,2294,9
2704,2313,19
2720,2332,19
2736,2355,23
2752,2374,19
2768,2397,23
2784,2420,23
2800,2421,1
