batch_num,num_of_exec,difference
16,19,19
32,20,1
48,21,1
64,30,9
80,43,13
96,52,9
112,61,9
128,70,9
144,83,13
160,92,9
176,101,9
192,102,1
208,115,13
224,130,15
240,131,1
256,140,9
272,141,1
288,150,9
304,151,1
320,160,9
336,179,19
352,198,19
368,213,15
384,228,15
400,237,9
416,260,23
432,279,19
448,302,23
464,321,19
480,344,23
496,363,19
512,382,19
528,401,19
544,414,13
560,433,19
576,446,13
592,461,15
608,462,1
624,463,1
640,482,19
656,497,15
672,516,19
688,529,13
704,548,19
720,561,13
736,576,15
752,599,23
768,612,13
784,621,9
800,636,15
816,649,13
832,664,15
848,687,23
864,706,19
880,725,19
896,744,19
912,763,19
928,776,13
944,789,13
960,802,13
976,821,19
992,840,19
1008,863,23
1024,886,23
1040,901,15
1056,920,19
1072,929,9
1088,944,15
1104,945,1
1120,964,19
1136,987,23
1152,1006,19
1168,1029,23
1184,1038,9
1200,1047,9
1216,1056,9
1232,1057,1
1248,1070,13
1264,1093,23
1280,1112,19
1296,1125,13
1312,1144,19
1328,1167,23
1344,1190,23
1360,1213,23
1376,1228,15
1392,1251,23
1408,1270,19
1424,1289,19
1440,1312,23
1456,1335,23
1472,1358,23
1488,1381,23
1504,1404,23
1520,1427,23
1536,1446,19
1552,1469,23
1568,1478,9
1584,1497,19
1600,1516,19
1616,1539,23
1632,1562,23
1648,1581,19
1664,1604,23
1680,1627,23
1696,1646,19
1712,1669,23
1728,1684,15
1744,1703,19
1760,1722,19
1776,1731,9
1792,1744,13
1808,1753,9
1824,1762,9
1840,1763,1
1856,1782,19
1872,1797,15
1888,1812,15
1904,1831,19
1920,1854,23
1936,1873,19
1952,1892,19
1968,1911,19
1984,1934,23
2000,1957,23
2016,1976,19
2032,1999,23
2048,2022,23
2064,2045,23
2080,2068,23
2096,2091,23
2112,2110,19
2128,2133,23
2144,2146,13
2160,2165,19
2176,2184,19
2192,2199,15
2208,2218,19
2224,2241,23
2240,2264,23
2256,2283,19
2272,2298,15
2288,2317,19
2304,2340,23
2320,2359,19
2336,2382,23
2352,2401,19
2368,2416,15
2384,2439,23
2400,2462,23
2416,2485,23
2432,2504,19
2448,2527,23
2464,2550,23
2480,2573,23
2496,2596,23
2512,2619,23
2528,2642,23
2544,2665,23
2560,2688,23
2576,2711,23
2592,2734,23
2608,2757,23
2624,2780,23
2640,2803,23
2656,2826,23
2672,2849,23
2688,2872,23
2704,2895,23
2720,2918,23
2736,2941,23
2752,2964,23
2768,2987,23
2784,3010,23
2800,3033,23
2816,3056,23
2832,3079,23
2848,3102,23
2864,3125,23
2880,3148,23
2896,3171,23
2912,3194,23
2928,3217,23
2944,3240,23
2960,3263,23
2976,3286,23
2992,3309,23
3008,3332,23
3024,3355,23
3040,3378,23
3056,3401,23
3072,3424,23
3088,3447,23
3104,3470,23
3120,3493,23
3136,3516,23
3152,3535,19
3168,3558,23
3184,3581,23
3200,3604,23
3216,3627,23
3232,3650,23
3248,3673,23
3264,3696,23
3280,3719,23
3296,3742,23
3312,3765,23
3328,3780,15
3344,3803,23
3360,3826,23
3376,3849,23
3392,3872,23
3408,3895,23
3424,3918,23
3440,3941,23
3456,3964,23
3472,3987,23
3488,4010,23
3504,4033,23
3520,4056,23
3536,4079,23
3552,4102,23
3568,4125,23
3584,4138,13
3600,4161,23
3616,4180,19
3632,4203,23
3648,4222,19
3664,4245,23
3680,4268,23
3696,4291,23
3712,4310,19
3728,4329,19
3744,4352,23
3760,4367,15
3776,4382,15
3792,4401,19
3808,4420,19
3824,4435,15
3840,4454,19
3856,4473,19
3872,4482,9
3888,4495,13
3904,4508,13
3920,4531,23
3936,4546,15
3952,4561,15
3968,4574,13
3984,4587,13
4000,4606,19
4016,4619,13
4032,4634,15
4048,4643,9
4064,4662,19
4080,4685,23
4096,4694,9
4112,4703,9
4128,4726,23
4144,4749,23
4160,4768,19
4176,4783,15
4192,4792,9
4208,4811,19
4224,4820,9
4240,4843,23
4256,4862,19
4272,4871,9
4288,4886,15
4304,4901,15
4320,4902,1
4336,4911,9
4352,4930,19
4368,4953,23
4384,4972,19
4400,4973,1
4416,4974,1
4432,4975,1
4448,4984,9
4464,5003,19
4480,5004,1
4496,5017,13
4512,5036,19
4528,5059,23
4544,5082,23
4560,5101,19
4576,5116,15
4592,5139,23
4608,5162,23
4624,5171,9
4640,5194,23
4656,5209,15
4672,5232,23
4688,5247,15
4704,5266,19
4720,5289,23
4736,5312,23
4752,5335,23
4768,5344,9
4784,5363,19
4800,5386,23
4816,5409,23
4832,5422,13
4848,5431,9
4864,5440,9
4880,5459,19
4896,5482,23
4912,5505,23
4928,5524,19
4944,5547,23
4960,5570,23
4976,5589,19
4992,5608,19
5008,5631,23
5024,5650,19
5040,5659,9
5056,5660,1
5072,5673,13
5088,5682,9
5104,5705,23
5120,5724,19
5136,5747,23
5152,5762,15
5168,5785,23
5184,5808,23
5200,5823,15
5216,5836,13
5232,5849,13
5248,5868,19
5264,5881,13
5280,5904,23
5296,5927,23
5312,5950,23
5328,5973,23
5344,5996,23
5360,6019,23
5376,6042,23
5392,6065,23
5408,6088,23
5424,6111,23
5440,6134,23
5456,6153,19
5472,6166,13
5488,6179,13
5504,6202,23
5520,6225,23
5536,6234,9
5552,6257,23
5568,6266,9
5584,6289,23
5600,6304,15
5616,6327,23
5632,6350,23
5648,6373,23
5664,6396,23
5680,6415,19
5696,6434,19
5712,6457,23
5728,6480,23
5744,6503,23
5760,6526,23
5776,6545,19
5792,6568,23
5808,6591,23
5824,6614,23
5840,6637,23
5856,6660,23
5872,6683,23
5888,6706,23
5904,6725,19
5920,6748,23
5936,6771,23
5952,6794,23
5968,6817,23
5984,6840,23
6000,6863,23
6016,6882,19
6032,6905,23
6048,6906,1
6064,6929,23
6080,6948,19
6096,6971,23
6112,6994,23
6128,7017,23
6144,7040,23
6160,7053,13
6176,7062,9
6192,7075,13
6208,7098,23
6224,7107,9
6240,7126,19
6256,7149,23
6272,7172,23
6288,7195,23
6304,7218,23
6320,7241,23
6336,7264,23
6352,7287,23
6368,7306,19
6384,7329,23
6400,7348,19
6416,7371,23
6432,7394,23
6448,7417,23
6464,7440,23
6480,7453,13
6496,7472,19
6512,7495,23
6528,7518,23
6544,7531,13
6560,7550,19
6576,7573,23
6592,7592,19
6608,7607,15
6624,7630,23
6640,7649,19
6656,7668,19
6672,7691,23
6688,7714,23
6704,7733,19
6720,7756,23
6736,7769,13
6752,7792,23
6768,7807,15
6784,7830,23
6800,7849,19
6816,7858,9
6832,7871,13
6848,7884,13
6864,7899,15
6880,7918,19
6896,7937,19
6912,7956,19
6928,7979,23
6944,7998,19
6960,8017,19
6976,8036,19
6992,8059,23
7008,8082,23
7024,8097,15
7040,8120,23
7056,8143,23
7072,8166,23
7088,8189,23
7104,8212,23
7120,8231,19
7136,8254,23
7152,8277,23
7168,8300,23
7184,8319,19
7200,8342,23
7216,8361,19
7232,8380,19
7248,8403,23
7264,8422,19
7280,8445,23
7296,8464,19
7312,8487,23
7328,8510,23
7344,8533,23
7360,8556,23
7376,8575,19
7392,8598,23
7408,8621,23
7424,8644,23
7440,8667,23
7456,8682,15
7472,8697,15
7488,8720,23
7504,8743,23
7520,8762,19
7536,8785,23
7552,8808,23
7568,8831,23
7584,8854,23
7600,8877,23
7616,8896,19
7632,8919,23
7648,8942,23
7664,8961,19
7680,8984,23
7696,9007,23
7712,9026,19
7728,9049,23
7744,9072,23
7760,9087,15
7776,9110,23
7792,9133,23
7808,9152,19
7824,9171,19
7840,9194,23
7856,9209,15
7872,9228,19
7888,9251,23
7904,9274,23
7920,9297,23
7936,9320,23
7952,9343,23
7968,9362,19
7984,9381,19
8000,9404,23
8016,9427,23
8032,9442,15
8048,9457,15
8064,9466,9
8080,9485,19
8096,9508,23
8112,9527,19
8128,9536,9
8144,9545,9
8160,9564,19
8176,9577,13
8192,9600,23
8208,9623,23
8224,9642,19
8240,9665,23
8256,9688,23
8272,9703,15
8288,9707,4
