version,project,method,algorithm,batch_size,builds_reqd,batch_delays,sbs_delays,confidence
1,gradle.csv,ssr,BATCH4,4,10.526315689086914,132.0,87,20
1,gradle.csv,ssr,BATCHBISECT,1,21.052631378173828,0.0,29,5
1,gradle.csv,ssr,BATCHBISECT,2,11.27819538116455,37.0,46,11
1,gradle.csv,ssr,BATCHBISECT,4,10.526315689086914,132.0,87,20
1,gradle.csv,ssr,BATCHBISECT,8,15.037593841552734,560.0,47,20
1,gradle.csv,ssr,BATCHBISECT,16,12.781954765319824,1581.0,78,20
1,gradle.csv,ssr,BATCHSTOP4,4,10.526315689086914,132.0,87,20
1,gradle.csv,ssr,BATCHSTOP4,8,15.037593841552734,560.0,47,20
1,gradle.csv,ssr,BATCHSTOP4,16,12.781954765319824,1581.0,78,20
2,gradle.csv,ssr,BATCH4,4,5.319149017333984,90.0,33,15
2,gradle.csv,ssr,BATCHBISECT,1,15.602836608886719,0.0,14,7
2,gradle.csv,ssr,BATCHBISECT,2,14.184396743774414,34.0,13,8
2,gradle.csv,ssr,BATCHBISECT,4,5.319149017333984,90.0,33,15
2,gradle.csv,ssr,BATCHBISECT,8,10.992907524108887,364.0,29,20
2,gradle.csv,ssr,BATCHBISECT,16,15.957447052001953,1320.0,5,18
2,gradle.csv,ssr,BATCHSTOP4,4,5.319149017333984,90.0,33,15
2,gradle.csv,ssr,BATCHSTOP4,8,10.992907524108887,364.0,29,20
2,gradle.csv,ssr,BATCHSTOP4,16,15.2482271194458,1320.0,5,18
3,gradle.csv,ssr,BATCH4,4,7.59717321395874,186.0,71,17
3,gradle.csv,ssr,BATCHBISECT,1,25.61837387084961,0.0,25,4
3,gradle.csv,ssr,BATCHBISECT,2,12.544169425964355,61.0,42,9
3,gradle.csv,ssr,BATCHBISECT,4,7.59717321395874,186.0,71,17
3,gradle.csv,ssr,BATCHBISECT,8,8.480565071105957,672.0,112,20
3,gradle.csv,ssr,BATCHBISECT,16,10.600707054138184,2400.0,71,17
3,gradle.csv,ssr,BATCHSTOP4,4,7.59717321395874,186.0,71,17
3,gradle.csv,ssr,BATCHSTOP4,8,8.480565071105957,672.0,112,20
3,gradle.csv,ssr,BATCHSTOP4,16,10.600707054138184,2400.0,71,17
4,gradle.csv,ssr,BATCH4,4,11.160058975219727,288.0,159,14
4,gradle.csv,ssr,BATCHBISECT,1,51.101322174072266,0.0,26,2
4,gradle.csv,ssr,BATCHBISECT,2,14.390602111816406,84.0,93,8
4,gradle.csv,ssr,BATCHBISECT,4,11.160058975219727,288.0,159,14
4,gradle.csv,ssr,BATCHBISECT,8,15.712187767028809,980.0,131,19
4,gradle.csv,ssr,BATCHBISECT,16,25.110132217407227,3318.0,75,20
4,gradle.csv,ssr,BATCHSTOP4,4,11.160058975219727,288.0,159,14
4,gradle.csv,ssr,BATCHSTOP4,8,15.712187767028809,980.0,131,19
4,gradle.csv,ssr,BATCHSTOP4,16,25.110132217407227,3318.0,75,20
5,gradle.csv,ssr,BATCH4,4,14.781296730041504,300.0,89,14
5,gradle.csv,ssr,BATCHBISECT,1,34.53997039794922,0.0,37,3
5,gradle.csv,ssr,BATCHBISECT,2,15.233785629272461,83.0,77,8
5,gradle.csv,ssr,BATCHBISECT,4,14.781296730041504,300.0,89,14
5,gradle.csv,ssr,BATCHBISECT,8,13.42383098602295,868.0,184,20
5,gradle.csv,ssr,BATCHBISECT,16,23.227752685546875,3141.0,85,19
5,gradle.csv,ssr,BATCHSTOP4,4,14.781296730041504,300.0,89,14
5,gradle.csv,ssr,BATCHSTOP4,8,13.42383098602295,868.0,184,20
5,gradle.csv,ssr,BATCHSTOP4,16,22.92609405517578,3141.0,85,19
