tr_build_id,patch_size,num_of_comments,test_file_changes,files_added,files_deleted,num_commits,frequency_file_change,num_of_reviewers,developer_experience,reviewer_experience
20099094,1055,0,429,6,4,10,591,0,1004,1004
20104585,0,0,26,0,0,2,67,0,2037,2037
20149300,102,0,0,0,0,4,48,0,1170,1170
20158414,9,0,0,0,0,1,48,0,952,952
20169913,38,0,0,0,0,1,7,0,1170,1170
20183468,287,0,4,0,0,2,171,0,2038,2038
20184337,0,0,0,0,0,1,132,0,953,953
20204174,110,0,0,1,0,2,37,0,97,97
20208652,18,0,0,0,0,1,14,0,97,97
20210871,934,0,0,5,0,1,60,0,0,0
20231928,51,0,0,0,0,1,178,0,953,953
20245520,129,0,0,0,0,1,0,0,953,953
20251515,272,0,0,1,0,6,265,0,1172,1172
20252565,25,0,0,0,0,1,8,0,1172,1172
20287233,2,0,0,0,0,1,5,0,98,98
20288217,648,0,0,0,0,1,689,0,0,0
20394113,593,0,0,9,0,5,79,0,1100,1100
20408052,137,0,0,0,0,2,26,0,956,956
20424036,0,0,0,0,0,1,133,0,957,957
20430264,1100,0,0,4,0,7,800,0,2042,2042
20431494,13,0,0,0,0,2,38,0,2042,2042
20432936,1,0,0,0,0,1,23,0,2042,2042
20444373,562,0,0,8,0,1,48,0,1102,1102
20444466,6,0,0,0,0,1,38,0,101,101
20446880,30,0,0,0,0,1,1,0,101,101
20457628,19,0,0,0,0,1,20,0,101,101
20461398,0,0,0,0,0,1,125,0,957,957
20484304,10,0,0,0,0,1,19,0,2043,2043
20507582,3,0,0,0,0,1,20,0,2043,2043
20515008,76,0,0,0,0,1,74,0,102,102
20538101,1097,0,4,0,0,5,876,0,958,958
20543905,1045,0,4,0,0,1,881,0,0,0
20556698,117,0,0,0,0,1,144,0,958,958
20557101,2,0,0,0,0,1,145,0,958,958
20625867,301,0,0,3,0,4,221,0,1177,1177
20641280,8,0,0,0,0,1,2,0,1177,1177
20651103,564,0,0,6,0,1,70,0,959,959
20669107,6,0,0,0,0,1,46,0,1157,1157
20676711,9,0,0,0,0,1,14,0,1157,1157
20687829,175,0,0,0,0,5,358,0,960,960
20704966,166,0,4,0,0,3,721,0,960,960
20708968,0,0,0,0,0,1,149,0,1157,1157
20710918,9,0,0,0,0,1,45,0,960,960
20713084,0,0,0,0,0,1,13,0,1157,1157
20713670,256,0,0,0,0,1,662,0,1157,1157
20715021,18,0,0,0,0,1,46,0,960,960
20725137,16,0,0,0,0,2,874,0,2046,2046
20734841,124,0,0,0,0,1,8,0,1158,1158
20829299,810,0,0,7,0,1,316,0,1107,1107
20868602,688,0,0,4,2,1,53,0,1108,1108
20899046,1037,0,148,8,0,1,574,0,2049,2049
20899640,103,0,0,1,0,1,34,0,2049,2049
20899783,42,0,0,0,0,1,35,0,2049,2049
20945794,5,0,0,0,0,1,11,0,1109,1109
21002466,49,0,0,0,0,1,704,0,1110,1110
21031571,1381,0,0,7,4,2,169,0,1162,1162
21039387,903,0,0,3,0,7,121,0,1183,1183
21043491,10,0,0,0,0,1,33,0,1183,1183
21046853,169,0,0,2,0,1,30,0,1183,1183
21054799,114,0,0,0,0,3,104,0,2051,2051
21054919,720,0,6,3,5,1,264,0,2051,2051
21063920,3143,0,2,16,3,1,750,0,966,966
21071862,1,0,0,0,0,1,2,0,966,966
21072770,2,0,0,0,0,1,1,0,966,966
21085871,6,0,0,0,0,1,23,0,110,110
21108685,123,0,18,0,0,1,882,0,966,966
21116712,3,0,0,0,0,1,15,0,966,966
21127561,66,0,0,0,0,3,187,0,966,966
21134177,64,0,0,0,0,3,4,0,1184,1184
21145966,262,0,0,2,0,1,39,0,1185,1185
21180479,2,0,0,0,0,1,10,0,111,111
21183597,18,0,0,0,0,1,673,0,967,967
21208714,1117,0,20,4,0,1,584,0,967,967
21213809,1,0,0,0,0,1,1,0,967,967
21223079,1,0,0,0,0,1,8,0,968,968
21233821,110,0,0,0,0,1,30,0,1020,1020
21258293,478,0,0,1,4,1,338,0,1113,1113
21287244,0,0,0,0,0,1,1,0,2185,2185
21288050,6,0,0,0,0,1,28,0,1021,1021
21288278,6,0,0,0,0,1,27,0,1021,1021
21310154,1423,0,0,8,7,11,165,0,1114,1114
21337891,791,0,0,1,1,1,591,0,2055,2055
21368488,952,0,0,3,3,16,71,0,1115,1115
21384365,49,0,0,0,0,1,3,0,2056,2056
21389388,56,0,0,0,0,1,4,0,2056,2056
21393785,5,0,0,0,0,1,4,0,1023,1023
21441936,746,0,0,0,1,1,127,0,1165,1165
21447004,10,0,0,0,0,1,19,0,1168,1168
21513588,85,0,0,0,0,1,29,0,1169,1169
21518843,57,0,0,0,0,1,64,0,1169,1169
21547405,16,0,0,0,0,1,91,0,2058,2058
21571491,95,0,0,0,0,2,37,0,2058,2058
21579972,1390,0,0,1,0,1,142,0,1118,1118
21617825,1962,0,117,7,3,1,859,0,973,973
21641382,1663,0,0,3,1,9,82,0,100,100
21644784,8,0,0,0,0,1,6,0,100,100
21645740,14,0,0,0,0,1,7,0,100,100
21646594,47,0,0,0,0,1,693,0,1026,1026
21748898,1615,0,0,17,0,2,271,0,0,0
21755407,31,0,0,0,0,1,36,0,0,0
21772251,18,0,0,0,0,1,28,0,0,0
21794429,4,0,0,0,0,1,694,0,0,0
21839194,2118,0,2,5,1,1,900,0,2062,2062
21870780,116,0,0,0,0,1,31,0,0,0
21874760,4,0,0,0,0,1,4,0,0,0
21898016,479,0,0,0,0,6,370,0,977,977
21904117,344,0,0,0,0,2,294,0,2063,2063
21916899,57,0,0,0,0,2,71,0,2063,2063
21917100,46,0,0,0,0,1,53,0,2063,2063
21937773,223,0,0,2,0,1,5,0,0,0
21946790,43,0,0,0,0,1,110,0,978,978
21979926,2,0,0,0,0,1,9,0,1031,1031
21987269,1061,0,5,1,3,2,452,0,979,979
22020158,94,0,0,1,0,1,5,0,1124,1124
22023940,18,0,0,0,0,1,697,0,1124,1124
22024562,96,0,0,0,0,1,798,0,0,0
22044676,270,0,0,0,0,4,192,0,979,979
22052261,178,0,4,0,0,1,290,0,0,0
22074939,28,0,0,0,0,1,57,0,2065,2065
22082850,360,0,0,0,0,1,21,0,1032,1032
22102972,1124,0,0,10,2,4,439,0,980,980
22123172,393,0,0,5,0,1,89,0,0,0
22136578,40,0,0,0,0,1,164,0,0,0
22140293,10,0,2,0,0,1,44,0,0,0
22151542,489,0,0,4,0,1,938,0,2066,2066
22152151,117,0,0,0,0,2,55,0,981,981
22159179,288,0,0,0,0,1,22,0,1033,1033
22162032,251,0,0,1,0,2,57,0,2066,2066
22173639,600,0,0,4,0,4,29,0,1126,1126
22182894,0,0,0,0,0,1,36,0,0,0
22206164,353,0,0,2,0,3,487,0,981,981
22211020,158,0,0,2,0,1,74,0,1199,1199
22244951,73,0,0,0,0,1,23,0,1034,1034
22263165,488,0,0,3,0,1,251,0,0,0
22278178,30,0,0,0,0,1,90,0,0,0
22290581,2475,0,0,8,5,7,402,0,982,982
22296071,192,0,0,2,0,2,206,0,1200,1200
22296590,589,0,0,1,1,3,361,0,982,982
22330506,15,0,0,0,0,1,2,0,1201,1201
22358264,236,0,0,1,0,1,62,0,2069,2069
22362851,146,0,0,0,0,2,211,0,2069,2069
22402267,305,0,13,0,0,7,297,0,2070,2070
22443465,549,0,0,1,2,1,225,0,0,0
22443681,2,0,0,0,0,1,34,0,0,0
22453695,680,0,0,1,0,4,468,0,985,985
22464990,537,0,2,6,0,1,199,0,985,985
22494757,1459,0,0,9,1,6,438,0,986,986
22509472,226,0,0,0,0,8,24,0,1038,1038
22529197,223,3,0,2,0,1,71,0,0,0
22531874,213,0,0,1,0,2,86,0,130,130
22535927,26,0,0,0,0,1,702,0,0,0
22545315,64,0,0,0,0,2,712,0,1204,1204
22551617,62,0,0,0,0,1,11,0,1204,1204
22551807,2,0,0,0,0,1,12,0,1204,1204
22553013,10,0,0,0,0,1,7,0,1204,1204
22568130,518,0,6,0,4,1,453,0,2072,2072
22596101,221,0,0,0,0,3,7,0,1205,1205
22605473,376,0,0,2,0,1,9,0,0,0
22610823,3,0,0,0,0,1,1,0,0,0
22618789,350,0,0,1,2,8,201,0,986,986
22648774,0,0,0,0,0,1,10,0,0,0
22650459,0,0,0,0,0,1,11,0,1040,1040
22650573,1,0,0,0,0,1,707,0,1040,1040
22693147,2,0,0,0,0,1,4,0,0,0
22698079,2040,0,0,1,10,9,420,0,988,988
22706207,2,0,0,0,0,1,5,0,0,0
22707737,94,0,0,0,1,3,371,0,988,988
22708587,154,0,0,1,0,3,812,0,988,988
22716132,150,0,0,0,1,4,563,0,988,988
22735005,218,0,0,0,0,2,82,0,2074,2074
22752203,154,0,0,0,0,1,2,0,2074,2074
22765951,55,0,0,0,0,1,13,0,0,0
22779663,60,0,0,1,0,2,143,0,1098,0
22854378,646,0,93,1,0,10,957,0,1098,0
22855543,0,0,2,0,0,1,39,0,1098,0
22890674,0,0,0,0,0,1,27,0,0,0
22914191,1070,0,0,4,1,5,104,0,1098,0
22920898,1,0,0,0,0,1,12,0,1098,0
22922101,89,0,0,1,0,1,2,0,1098,0
22931611,8,0,0,0,0,1,18,0,0,0
22953677,992,0,0,4,0,1,54,0,1098,0
22961020,1,0,0,0,0,1,13,0,1098,0
22974494,293,0,0,2,0,1,0,0,1098,0
22978909,72,0,0,0,0,1,245,0,1098,0
22979509,1777,0,282,0,0,8,1440,0,1098,0
22984217,11,0,0,0,0,1,4,0,1098,0
22993145,75,0,3,0,0,2,867,0,1098,0
23038976,12,0,0,0,0,1,9,0,1098,0
23039090,9,0,0,0,0,3,47,0,1098,0
23062106,177,0,0,0,0,1,64,0,1098,0
23064052,71,0,0,1,0,1,5,0,1098,0
23079843,846,0,0,2,5,5,1000,0,1098,0
23094910,1251,0,0,6,3,6,107,0,1098,0
23103928,308,0,0,2,0,3,93,0,1098,0
23111688,2,0,0,0,0,2,299,0,1098,0
23163038,1333,0,0,1,12,8,1057,0,1098,0
23174109,336,0,2,2,0,10,182,0,1098,0
23179688,0,0,4,0,0,2,54,0,1098,0
23181555,1979,0,168,0,17,13,819,0,1098,0
23200739,594,0,62,4,0,4,184,0,1098,0
23207629,0,0,0,0,0,1,2,0,1098,0
23213288,2199,0,0,0,0,1,770,0,1098,0
23213995,107,0,20,0,0,2,38,0,1098,0
23218538,306,0,0,1,0,1,40,0,1098,0
