,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
0,2144837,fog/fog,0.0,,,ruby,,master,2.0,83e0142c61cd7680680f1127148532485e6216b2#026862a7b4c40ed3c90d23db1b4bf12b32860cb6,merge_found,,,2012-08-08 19:15:40,94,026862a7b4c40ed3c90d23db1b4bf12b32860cb6,1,026862a7b4c40ed3c90d23db1b4bf12b32860cb6,,026862a7b4c40ed3c90d23db1b4bf12b32860cb6,,0,,0,0,1,0,0,0,0,0,0,1,1,85075,234.863355862474,0.211578019394652,2.12753452835733,1.0,,2012-08-16 19:22:43,2012-08-16 19:25:55,failed,173,[2144838],1,2144838,ruby,unknown,,ruby,,1.0,,,0.0,,,,,,0
25,2214963,fog/fog,0.0,,,ruby,,master,1.0,fa9dcdc2c5c53966bc1633ebd3d2d1f5c73532ff,build_found,3b66fd928b13c802b11c2c043120e8fed1e66bef,2214944.0,2012-08-23 16:28:12,94,fa9dcdc2c5c53966bc1633ebd3d2d1f5c73532ff,1,fa9dcdc2c5c53966bc1633ebd3d2d1f5c73532ff,,fa9dcdc2c5c53966bc1633ebd3d2d1f5c73532ff,,0,,0,0,0,0,1,0,0,0,0,1,8,85174,234.62558996877,0.211332096649212,2.12506163852819,1.0,,2012-08-23 16:28:29,2012-08-23 16:31:08,passed,3077,"[2214964, 2214966, 2214965]",29,2214965,ruby,unknown,,ruby,,1.0,,,0.0,,,,,,0
26,2218037,fog/fog,1.0,2012-08-23 18:55:34,1113.0,ruby,merge_button,master,2.0,3d6727a0b1dba6780c365c7420d5c056dc60becc#d1fbbe65b404e7d606f40070b7fc474bfa8ff406,build_found,fa9dcdc2c5c53966bc1633ebd3d2d1f5c73532ff,2214963.0,2012-08-23 20:39:04,94,3d6727a0b1dba6780c365c7420d5c056dc60becc,1,3d6727a0b1dba6780c365c7420d5c056dc60becc,fa9dcdc2c5c53966bc1633ebd3d2d1f5c73532ff,8b0c549cedc70878c43fec220c1f116f0166cf5c,5.0,0,0.0,9,0,0,0,1,0,0,1,0,0,26,85175,234.622835339008,0.211329615497505,2.12503668916936,1.0,10.0,2012-08-23 21:24:08,2012-08-23 20:55:38,passed,3046,"[2218038, 2218040, 2218039]",30,2218038,ruby,unknown,,ruby,,1.0,,,0.0,,,,,,0
27,2218411,fog/fog,0.0,,,ruby,,master,2.0,3d6727a0b1dba6780c365c7420d5c056dc60becc#d1fbbe65b404e7d606f40070b7fc474bfa8ff406,merge_found,,,2012-08-23 20:39:04,94,d1fbbe65b404e7d606f40070b7fc474bfa8ff406,1,d1fbbe65b404e7d606f40070b7fc474bfa8ff406,,d1fbbe65b404e7d606f40070b7fc474bfa8ff406,,0,,9,0,0,0,1,0,0,1,0,0,27,85175,234.622835339008,0.211329615497505,2.12503668916936,1.0,,2012-08-23 21:24:08,2012-08-23 21:24:06,passed,3038,"[2218412, 2218413, 2218414]",31,2218413,ruby,unknown,,ruby,,1.0,,,0.0,,,,,,0
28,2222532,fog/fog,1.0,2012-08-24 05:34:04,1115.0,ruby,merge_button,master,2.0,a0acfecaa246e222900ddcebc0d9bfd8b4d00d9e#646f754ca864efa6edeb0bf82d09fd2e0d31debf,build_found,d1fbbe65b404e7d606f40070b7fc474bfa8ff406,2218411.0,2012-08-24 07:31:32,94,a0acfecaa246e222900ddcebc0d9bfd8b4d00d9e,1,a0acfecaa246e222900ddcebc0d9bfd8b4d00d9e,d1fbbe65b404e7d606f40070b7fc474bfa8ff406,eccfb65f689054f6cf8693688ea86acfdc098e38,1.0,0,0.0,17,3,0,0,5,0,0,5,0,0,19,85182,234.615294311005,0.211312249066704,2.12486206005964,1.0,25.0,2012-08-27 22:47:16,2012-08-24 07:34:07,passed,3060,"[2222533, 2222534, 2222535]",33,2222535,ruby,unknown,,ruby,,1.0,,,0.0,,,,,,0
29,2256009,fog/fog,0.0,,,ruby,,master,2.0,a0acfecaa246e222900ddcebc0d9bfd8b4d00d9e#646f754ca864efa6edeb0bf82d09fd2e0d31debf,merge_found,,,2012-08-24 07:31:32,94,646f754ca864efa6edeb0bf82d09fd2e0d31debf,1,646f754ca864efa6edeb0bf82d09fd2e0d31debf,,646f754ca864efa6edeb0bf82d09fd2e0d31debf,,0,,17,3,0,0,5,0,0,5,0,0,20,85182,234.615294311005,0.211312249066704,2.12486206005964,1.0,,2012-08-27 22:47:16,2012-08-27 22:47:15,passed,2995,"[2256010, 2256012, 2256011]",38,2256011,ruby,unknown,,ruby,,1.0,,,0.0,,,,,,0
30,2257207,fog/fog,1.0,2012-08-28 00:33:07,1119.0,ruby,merge_button,master,2.0,4101c0ea10522bf58bd3df6699b2494539ff6200#e753d101c6308ce3aef209354fd9e93612310a52,build_found,646f754ca864efa6edeb0bf82d09fd2e0d31debf,2256009.0,2012-08-28 02:33:00,94,4101c0ea10522bf58bd3df6699b2494539ff6200,1,4101c0ea10522bf58bd3df6699b2494539ff6200,646f754ca864efa6edeb0bf82d09fd2e0d31debf,51901628b2a8147f839e7db57ff0ecc5af9e85b2,1.0,0,0.0,2,0,0,0,1,0,0,1,0,0,6,85182,234.615294311005,0.211312249066704,2.12486206005964,0.0,16.0,2012-08-28 15:56:07,2012-08-28 02:33:13,passed,3002,"[2257208, 2257210, 2257209]",40,2257209,ruby,unknown,,ruby,,1.0,,,0.0,,,,,,0
31,2262943,fog/fog,0.0,,,ruby,,master,2.0,4101c0ea10522bf58bd3df6699b2494539ff6200#e753d101c6308ce3aef209354fd9e93612310a52,merge_found,,,2012-08-28 02:33:00,94,e753d101c6308ce3aef209354fd9e93612310a52,1,e753d101c6308ce3aef209354fd9e93612310a52,,e753d101c6308ce3aef209354fd9e93612310a52,,0,,2,0,0,0,1,0,0,1,0,0,7,85182,234.615294311005,0.211312249066704,2.12486206005964,1.0,,2012-08-28 15:56:07,2012-08-28 15:56:06,passed,3015,"[2262944, 2262946, 2262945]",41,2262944,ruby,unknown,,ruby,,1.0,,,0.0,,,,,,0
32,2276607,fog/fog,1.0,2012-08-10 16:55:20,1082.0,ruby,merge_button,master,5.0,d1354869e81294391e4d27308f5caec58b582868#49cf6ac35a571e716c52765bc80b9325d3dfa738#b777f8215fc327de9142e6e287ad5f56362cf629#a07acc4c0286f65ea451c63310d96ba704d6033e#aa7f5a8509b3b8ce40d754f5811fe28b2dbc72ca,merge_found,,,2012-08-10 17:03:56,94,a07acc4c0286f65ea451c63310d96ba704d6033e,1,a07acc4c0286f65ea451c63310d96ba704d6033e,e753d101c6308ce3aef209354fd9e93612310a52,b0e0d5972f96be239d1a82f8ed93458674cd411f,10.0,0,0.0,87,11,0,0,12,0,0,11,0,1,104,85185,234.618770910372,0.211304807184363,2.12478722779832,0.0,94.0,2012-08-30 15:53:05,2012-08-29 19:53:28,passed,3026,"[2276608, 2276610, 2276609]",42,2276610,ruby,unknown,,ruby,,1.0,,,0.0,,,,,,0
33,2285099,fog/fog,0.0,,,ruby,,master,5.0,d1354869e81294391e4d27308f5caec58b582868#49cf6ac35a571e716c52765bc80b9325d3dfa738#b777f8215fc327de9142e6e287ad5f56362cf629#a07acc4c0286f65ea451c63310d96ba704d6033e#aa7f5a8509b3b8ce40d754f5811fe28b2dbc72ca,merge_found,,,2012-08-10 17:03:56,93,aa7f5a8509b3b8ce40d754f5811fe28b2dbc72ca,1,aa7f5a8509b3b8ce40d754f5811fe28b2dbc72ca,,aa7f5a8509b3b8ce40d754f5811fe28b2dbc72ca,,0,,11,1,0,0,5,0,0,5,0,0,76,85185,234.618770910372,0.211304807184363,2.12478722779832,1.0,,2012-08-30 15:53:05,2012-08-30 15:53:14,failed,3036,"[2285102, 2285100, 2285101]",43,2285102,ruby,unknown,,ruby,,1.0,,,0.0,,,,,,0
