project,SBS_builds,SBS_delay,B4_builds,B4_delay,B4_Batch,BB_builds,BB_delay,BB_Batch,BS4_builds,BS4_delay,BS4_Batch
cloud_controller_ng,11.265432098765400,7.0,74.69135802469140,1.5,4,80.40123456790120,1.5,4,74.69135802469140,1.5,4
cloudify,16.955017301038100,16.0,45.25182622068440,2.0,4,42.86812764321420,8.0,16,38.63898500576700,8.0,16
concerto,3.864734299516910,30.0,45.97423510466990,2.0,4,44.12238325281800,4.0,8,42.190016103059600,4.0,8
fog,26.58730158730160,7.0,83.73015873015870,1.5,4,93.91534391534390,0.5,2,83.73015873015870,1.5,4
geoserver,62.00169635284140,4.0,99.4910941475827,2.0,4,108.2273112807460,1.0,2,99.4910941475827,2.0,4
gradle,0.8826583592938730,53.0,44.54828660436140,2.0,4,40.965732087227400,4.0,8,39.51194184839050,4.0,8
graylog2-server,1.2248468941382300,12.0,34.99562554680670,2.0,4,23.79702537182850,8.0,16,22.747156605424300,8.0,16
heroku,14.577777777777800,11.0,53.333333333333300,2.0,4,55.644444444444400,4.0,8,51.37777777777780,4.0,8
jruby,79.32036664431030,3.0,108.40599150458300,2.0,4,121.37268052761000,1.0,2,108.40599150458300,2.0,4
loomio,17.2979797979798,10.0,73.4848484848485,1.5,4,82.82828282828280,1.5,4,73.4848484848485,1.5,4
metasploit-framework,1.023391812865500,80.0,37.4756335282651,1.5,4,28.971734892787500,8.0,16,28.435672514619900,8.0,16
opal,3.490028490028490,19.0,43.51851851851850,1.5,4,40.883190883190900,4.0,8,39.458689458689500,4.0,8
open-build-service,16.542102640757300,7.0,69.3572496263079,2.0,4,76.3328350772297,2.0,4,69.3572496263079,2.0,4
orbeon-forms,64.44444444444440,2.0,80.08547008547010,2.0,4,96.83760683760680,0.5,2,80.08547008547010,2.0,4
puppet,1.7336485421591800,22.0,35.30338849487790,2.0,4,25.13790386130810,8.0,16,24.50748620961390,8.0,16
rails,24.10901467505240,6.0,72.79874213836480,1.5,4,82.9664570230608,1.5,4,72.79874213836480,1.5,4
rubinius,30.751498386353200,5.0,84.87782388197330,2.0,4,92.07007837713230,1.0,2,84.87782388197330,2.0,4
sonarqube,8.187134502923980,17.0,56.60818713450290,2.0,4,60.23391812865500,2.0,4,56.60818713450290,2.0,4
sufia,4.411764705882350,23.5,51.79738562091500,1.5,4,53.51307189542480,3.5,8,49.75490196078430,3.5,8
vagrant,2.377686328303610,27.0,39.551897576588900,2.0,4,33.83630544124370,8.0,16,30.818472793781400,8.0,16
