project,B4_builds,B4_delay,B4_Batch,BB_builds,BB_delay,BB_Batch,BS4_builds,BS4_delay,BS4_Batch
puppet,31.20567375886525,2.0,4,23.48305752561072,4.0,8,23.01024428684003,4.0,8
metasploit-framework,34.039961013645225,2.0,4,28.53313840155945,8.0,16,27.997076023391813,8.0,16
rails,44.4706498951782,2.0,4,36.29454926624738,1.0,2,44.4706498951782,2.0,4
geoserver,87.02290076335878,2.0,4,71.2468193384224,1.0,2,87.02290076335878,2.0,4
rubinius,73.99723374827109,2.0,4,63.11664361456893,1.0,2,73.99723374827109,2.0,4
heroku,36.266666666666666,2.0,4,38.13333333333333,1.0,2,36.266666666666666,2.0,4
concerto,39.45249597423511,2.0,4,40.41867954911433,4.0,8,38.486312399355874,4.0,8
cloud_controller_ng,62.26851851851852,2.0,4,55.55555555555556,1.0,2,62.26851851851852,2.0,4
sonarqube,48.36257309941521,2.0,4,51.16959064327485,1.0,2,48.36257309941521,2.0,4
sufia,47.22222222222222,2.0,4,49.83660130718954,2.0,4,47.22222222222222,2.0,4
gradle,37.59086188992731,2.0,4,38.62928348909657,2.0,4,37.59086188992731,2.0,4
fog,69.77513227513228,2.0,4,64.08730158730158,1.0,2,69.77513227513228,2.0,4
jruby,73.06058573664207,2.0,4,62.620165437066845,1.0,2,73.06058573664207,2.0,4
open-build-service,51.96811160936721,2.0,4,45.889387144992526,1.0,2,51.96811160936721,2.0,4
graylog2-server,30.70866141732283,2.0,4,23.009623797025373,8.0,16,21.95975503062117,8.0,16
cloudify,21.10726643598616,2.0,4,23.9523260284506,2.0,4,21.10726643598616,2.0,4
vagrant,26.428898033836305,2.0,4,28.440786465477824,4.0,8,25.51440329218107,4.0,8
opal,35.3988603988604,2.0,4,36.68091168091168,2.0,4,35.3988603988604,2.0,4
orbeon-forms,63.333333333333336,2.0,4,67.26495726495726,1.0,2,63.333333333333336,2.0,4
loomio,54.10353535353536,2.0,4,57.26010101010101,1.0,2,54.10353535353536,2.0,4
