index,duration,total_builds
32,10381,1
64,20958,3
96,25172,3
128,0,0
160,0,0
192,10543,1
224,11067,1
256,10279,1
288,15644,2
320,0,0
352,16456,3
384,3659,1
416,0,0
448,0,0
480,12699,1
512,0,0
544,18396,2
576,15841,2
608,18626,2
640,43470,4
672,5984,1
704,0,0
736,0,0
768,11178,1
800,0,0
832,0,0
864,0,0
896,0,0
928,10400,1
960,11504,1
992,30185,2
1024,31143,2
1056,31133,2
1088,0,0
1120,10187,1
1152,15782,1
1184,23224,2
1216,0,0
1248,0,0
1280,0,0
1312,0,0
1344,0,0
1376,0,0
1408,11618,1
1440,18946,1
1472,30553,2
