index,duration,total_builds
4,57488,4
8,51087,4
12,49808,4
16,49523,3
20,34613,3
24,24320,4
28,52260,4
32,36091,2
36,63345,4
40,36515,2
44,54069,4
48,0,0
52,33681,2
56,47362,4
60,46897,4
64,27835,4
68,23445,4
72,21721,4
76,8867,4
80,20617,4
84,21928,4
88,6493,4
92,23391,4
96,38397,2
100,48204,3
104,57754,3
108,63832,4
112,69700,4
116,96957,4
120,129925,3
124,118896,4
128,44853,4
132,44536,4
136,53576,4
140,33797,4
144,9945,4
148,45675,3
152,30087,2
156,26480,3
160,42187,4
164,31414,4
168,44984,4
172,42472,4
176,39651,4
180,5286,4
184,4862,4
188,11329,4
192,39140,4
196,27720,4
200,39139,4
204,39529,4
208,46138,4
212,46272,4
216,40219,4
220,69873,4
224,36965,2
228,25322,3
232,24749,4
236,40528,4
240,49483,4
244,72063,4
248,53921,3
252,75885,4
256,56968,3
260,37947,4
264,14669,4
268,5262,4
272,46324,3
276,43752,4
280,38566,2
284,35254,2
288,53334,3
292,37178,4
296,27531,2
300,40177,3
304,33478,4
308,35750,4
312,30108,4
316,16600,4
320,15904,4
324,16585,4
328,16166,4
332,20764,4
336,14899,4
340,28046,4
344,25828,4
348,30932,4
352,18515,4
356,31358,4
360,36070,2
364,53409,3
368,71580,4
372,51977,3
376,36133,2
380,61885,3
384,75978,4
388,18714,1
392,27874,2
396,37026,2
400,41868,2
404,64833,4
408,66402,4
412,42518,3
416,45216,3
420,72701,4
424,37963,2
428,51935,4
432,76099,4
436,11107,1
440,53938,4
444,56187,3
448,55796,3
452,27678,3
456,37934,4
460,35387,4
464,48804,4
468,57147,4
472,52888,4
476,58834,4
480,53567,4
484,46423,4
488,42982,4
492,28816,4
496,15823,4
500,15763,4
504,19624,4
508,59179,4
512,58834,4
516,52106,4
520,51610,4
524,37640,4
528,59418,4
532,48146,4
536,30877,4
540,28956,4
544,32547,4
548,32214,4
552,43029,4
556,44347,4
560,44722,3
564,58633,3
568,48133,4
572,61851,4
576,28016,3
580,54003,4
584,50596,3
588,50481,3
592,37219,4
596,55620,4
600,63389,4
604,64670,4
608,37738,2
612,69788,4
616,64755,4
620,43417,3
624,13726,2
628,57060,4
632,60029,4
636,64763,4
640,57137,4
644,43887,4
648,56431,4
652,57753,4
656,60916,4
660,62350,4
664,61835,4
668,77210,4
672,76756,4
676,77077,4
680,55023,3
684,77602,4
688,56327,3
692,39781,2
696,59456,3
700,18549,1
704,18780,1
708,78079,4
712,79369,4
716,87119,4
720,75552,4
724,57668,3
728,77076,4
732,77416,4
736,80789,4
740,82542,4
744,47070,2
748,41019,2
752,60217,3
756,39680,2
760,20896,1
764,63062,3
768,80504,4
772,83229,4
776,88670,4
780,67759,3
784,79383,4
788,81829,4
792,37263,2
796,78245,4
800,77735,4
804,59022,3
808,61412,3
812,41556,2
816,63113,3
820,19791,1
824,63334,3
828,57877,3
832,60060,3
836,80003,4
840,79079,4
844,40697,2
848,22444,1
852,54525,3
856,79518,4
860,55263,3
864,74964,4
868,77213,4
