index,duration,total_builds
4,590240,4
8,590240,4
12,590240,4
16,590255,4
20,442751,3
24,147592,1
28,295186,2
32,590366,4
36,589536,4
40,442791,3
44,442800,3
48,590470,4
52,442873,3
56,442905,3
60,442922,3
64,590692,4
68,590692,4
72,443019,3
76,590692,4
80,590692,4
84,590692,4
88,443019,3
92,590692,4
96,590704,4
100,443031,3
104,443031,3
108,590713,4
112,590728,4
116,590728,4
120,590728,4
124,590728,4
128,590728,4
132,443046,3
136,590728,4
140,590704,4
144,590585,4
148,590548,4
152,442911,3
156,442911,3
160,590548,4
164,590589,4
168,590604,4
172,590611,4
176,590632,4
180,590690,4
184,590708,4
188,590708,4
192,443031,3
196,590708,4
200,590708,4
204,443031,3
208,443031,3
212,443031,3
216,590708,4
220,590708,4
224,590708,4
228,590728,4
232,590708,4
236,590768,4
240,590788,4
244,590788,4
248,590788,4
252,590788,4
256,590788,4
260,590788,4
264,590788,4
268,443091,3
272,590788,4
276,590788,4
280,443091,3
284,443093,3
288,443094,3
292,590820,4
296,443115,3
300,590825,4
304,590828,4
308,590838,4
312,590919,4
316,443259,3
320,590965,4
324,591462,4
328,591625,4
332,591924,4
336,591924,4
340,592042,4
344,444042,3
348,729790,4
352,296028,2
356,592065,4
360,592112,4
364,592116,4
368,592104,4
372,592092,4
376,296048,2
380,592302,4
384,592096,4
388,444072,3
392,296267,2
396,592144,4
400,592188,4
404,592405,4
408,592816,4
412,593076,4
416,593136,4
420,592866,4
424,593136,4
428,593138,4
432,593140,4
436,444880,3
440,593172,4
444,593176,4
448,593180,4
452,593180,4
456,296590,2
460,593181,4
464,444888,3
468,444888,3
472,593206,4
476,593324,4
480,593281,4
484,444972,3
488,593319,4
492,593348,4
496,593390,4
500,445021,3
504,445041,3
508,296736,2
512,593510,4
516,593540,4
520,593540,4
524,445155,3
528,593540,4
532,445155,3
536,593512,4
540,593516,4
544,593516,4
548,445173,3
552,594458,4
556,594816,4
560,594816,4
564,594816,4
568,594816,4
572,594816,4
576,594816,4
580,446112,3
584,446112,3
588,446184,3
592,594912,4
596,594912,4
600,594936,4
604,594936,4
608,446202,3
612,594944,4
616,446217,3
620,594956,4
624,297476,2
628,446224,3
632,446229,3
636,594972,4
640,0,0
644,297514,2
648,296850,2
652,148425,1
656,445293,3
660,593724,4
664,445325,3
668,593788,4
672,593788,4
676,593788,4
680,445330,3
684,593916,4
688,593924,4
692,445443,3
696,593903,4
700,296948,2
704,296948,2
708,593896,4
712,593896,4
716,594117,4
720,594596,4
724,445947,3
728,0,0
732,0,0
736,445947,3
740,594596,4
744,445947,3
748,445947,3
752,594596,4
756,445947,3
760,445883,3
764,594412,4
768,297212,2
772,445827,3
776,445833,3
780,297228,2
784,594466,4
788,594472,4
792,445854,3
796,594490,4
800,594508,4
804,594508,4
808,594524,4
812,594540,4
816,445906,3
820,297272,2
824,601189,4
828,614479,4
832,621124,4
836,614328,4
840,621124,4
844,465853,3
848,310586,2
852,621288,4
856,621390,4
