index,duration,total_builds
4,8885,2
8,0,0
12,13733,2
16,19715,2
20,17223,2
24,15292,2
28,9605,1
32,0,0
36,0,0
40,0,0
44,7558,1
48,23952,2
52,0,0
56,0,0
60,9350,1
64,0,0
68,8363,1
72,0,0
76,7039,1
80,0,0
84,10866,1
88,0,0
92,0,0
96,7254,1
100,0,0
104,0,0
108,0,0
112,16682,2
116,0,0
120,0,0
124,0,0
128,0,0
132,0,0
136,7640,1
140,7724,1
144,7111,1
148,0,0
152,20405,3
156,3408,1
160,0,0
164,0,0
168,0,0
172,0,0
176,0,0
180,0,0
184,0,0
188,2979,1
192,2756,1
196,2917,1
200,0,0
204,0,0
208,0,0
212,2964,1
216,2989,1
220,3202,1
224,3180,1
228,0,0
232,7680,2
236,0,0
240,3421,1
244,4201,1
248,0,0
252,0,0
256,3393,1
260,0,0
264,3312,1
268,3568,1
272,0,0
276,0,0
280,963,3
284,1341,4
288,1122,4
292,1258,4
296,992,4
300,10014,4
304,12843,4
308,5650,4
312,12643,4
316,11733,4
320,13318,4
324,13122,4
328,12523,4
332,11649,4
336,13266,4
340,12727,4
344,13124,4
348,11039,4
352,10808,3
356,0,0
360,0,0
364,0,0
368,2300,1
372,0,0
376,0,0
380,0,0
384,4265,2
388,0,0
392,4152,2
396,0,0
400,2920,1
404,2317,1
408,0,0
412,3961,2
416,1896,1
420,0,0
424,2161,1
428,1993,1
432,2052,1
436,2041,1
440,2636,1
444,4123,2
448,10786,4
452,8541,4
456,6026,3
460,8152,4
464,4264,2
468,6704,3
472,8552,4
476,8548,4
480,9056,4
484,4132,2
488,4335,2
492,172,1
496,5192,3
500,0,0
504,1861,1
508,0,0
512,0,0
516,2191,1
520,2387,1
524,0,0
528,4856,2
532,0,0
536,7622,4
540,2370,1
544,1964,1
548,0,0
552,4524,2
556,4694,2
560,10092,4
564,4592,2
568,9516,4
572,7007,3
576,8587,4
580,10787,4
584,9747,4
588,8775,3
592,9606,4
596,9928,4
600,9028,4
604,10087,4
608,12512,4
612,11373,4
616,9984,4
620,9110,3
624,12381,4
628,13363,4
632,10937,4
636,8264,3
640,11578,4
644,8955,3
648,2953,1
652,2965,1
