index,duration,total_builds
4,0,0
8,0,0
12,0,0
16,0,0
20,0,0
24,0,0
28,1571,1
32,0,0
36,0,0
40,3224,2
44,0,0
48,1625,1
52,3178,2
56,0,0
60,1954,1
64,0,0
68,0,0
72,0,0
76,0,0
80,0,0
84,1716,1
88,0,0
92,0,0
96,1662,1
100,0,0
104,0,0
108,0,0
112,0,0
116,1824,1
120,1736,1
124,0,0
128,0,0
132,0,0
136,0,0
140,0,0
144,0,0
148,0,0
152,1828,1
156,0,0
160,0,0
164,0,0
168,0,0
172,0,0
176,0,0
180,0,0
184,1930,1
188,0,0
192,0,0
196,0,0
200,0,0
204,0,0
208,2576,1
212,0,0
216,2471,1
220,0,0
