project,method,batch,reqd_builds,delay
rails.csv,sbs,1,3.0467163168585000,7093
rails.csv,sbs,2,3.0467163168585000,7093
rails.csv,sbs,4,3.0467163168585000,7093
rails.csv,sbs,8,3.0467163168585000,7093
rails.csv,sbs,16,3.0467163168585000,7093
rails.csv,sbs,32,3.0467163168585000,7093
jruby.csv,sbs,1,9.443099273607750,807
jruby.csv,sbs,2,9.443099273607750,807
jruby.csv,sbs,4,9.443099273607750,807
jruby.csv,sbs,8,9.443099273607750,807
jruby.csv,sbs,16,9.443099273607750,807
jruby.csv,sbs,32,9.443099273607750,807
metasploit-framework.csv,sbs,1,0.7782101167315180,1691
metasploit-framework.csv,sbs,2,0.7782101167315180,1691
metasploit-framework.csv,sbs,4,0.7782101167315180,1691
metasploit-framework.csv,sbs,8,0.7782101167315180,1691
metasploit-framework.csv,sbs,16,0.7782101167315180,1691
metasploit-framework.csv,sbs,32,0.7782101167315180,1691
vagrant.csv,sbs,1,0.0,932
vagrant.csv,sbs,2,0.0,932
vagrant.csv,sbs,4,0.0,932
vagrant.csv,sbs,8,0.0,932
vagrant.csv,sbs,16,0.0,932
vagrant.csv,sbs,32,0.0,932
cloudify.csv,sbs,1,0.4098360655737710,3006
cloudify.csv,sbs,2,0.4098360655737710,3006
cloudify.csv,sbs,4,0.4098360655737710,3006
cloudify.csv,sbs,8,0.4098360655737710,3006
cloudify.csv,sbs,16,0.4098360655737710,3006
cloudify.csv,sbs,32,0.4098360655737710,3006
rubinius.csv,sbs,1,9.090909090909090,313
rubinius.csv,sbs,2,9.090909090909090,313
rubinius.csv,sbs,4,9.090909090909090,313
rubinius.csv,sbs,8,9.090909090909090,313
rubinius.csv,sbs,16,9.090909090909090,313
rubinius.csv,sbs,32,9.090909090909090,313
open-build-service.csv,sbs,1,3.648068669527900,1362
open-build-service.csv,sbs,2,3.648068669527900,1362
open-build-service.csv,sbs,4,3.648068669527900,1362
open-build-service.csv,sbs,8,3.648068669527900,1362
open-build-service.csv,sbs,16,3.648068669527900,1362
open-build-service.csv,sbs,32,3.648068669527900,1362
gradle.csv,sbs,1,1.2567324955116700,1093
gradle.csv,sbs,2,1.2567324955116700,1093
gradle.csv,sbs,4,1.2567324955116700,1093
gradle.csv,sbs,8,1.2567324955116700,1093
gradle.csv,sbs,16,1.2567324955116700,1093
gradle.csv,sbs,32,1.2567324955116700,1093
sonarqube.csv,sbs,1,2.0,1097
sonarqube.csv,sbs,2,2.0,1097
sonarqube.csv,sbs,4,2.0,1097
sonarqube.csv,sbs,8,2.0,1097
sonarqube.csv,sbs,16,2.0,1097
sonarqube.csv,sbs,32,2.0,1097
loomio.csv,sbs,1,3.902439024390240,862
loomio.csv,sbs,2,3.902439024390240,862
loomio.csv,sbs,4,3.902439024390240,862
loomio.csv,sbs,8,3.902439024390240,862
loomio.csv,sbs,16,3.902439024390240,862
loomio.csv,sbs,32,3.902439024390240,862
fog.csv,sbs,1,3.4188034188034200,1171
fog.csv,sbs,2,3.4188034188034200,1171
fog.csv,sbs,4,3.4188034188034200,1171
fog.csv,sbs,8,3.4188034188034200,1171
fog.csv,sbs,16,3.4188034188034200,1171
fog.csv,sbs,32,3.4188034188034200,1171
puppet.csv,sbs,1,0.0,72
puppet.csv,sbs,2,0.0,72
puppet.csv,sbs,4,0.0,72
puppet.csv,sbs,8,0.0,72
puppet.csv,sbs,16,0.0,72
puppet.csv,sbs,32,0.0,72
concerto.csv,sbs,1,1.0344827586206900,753
concerto.csv,sbs,2,1.0344827586206900,753
concerto.csv,sbs,4,1.0344827586206900,753
concerto.csv,sbs,8,1.0344827586206900,753
concerto.csv,sbs,16,1.0344827586206900,753
concerto.csv,sbs,32,1.0344827586206900,753
sufia.csv,sbs,1,0.0,5
sufia.csv,sbs,2,0.0,5
sufia.csv,sbs,4,0.0,5
sufia.csv,sbs,8,0.0,5
sufia.csv,sbs,16,0.0,5
sufia.csv,sbs,32,0.0,5
geoserver.csv,sbs,1,9.523809523809520,397
geoserver.csv,sbs,2,9.523809523809520,397
geoserver.csv,sbs,4,9.523809523809520,397
geoserver.csv,sbs,8,9.523809523809520,397
geoserver.csv,sbs,16,9.523809523809520,397
geoserver.csv,sbs,32,9.523809523809520,397
orbeon-forms.csv,sbs,1,1.7167381974248900,894
orbeon-forms.csv,sbs,2,1.7167381974248900,894
orbeon-forms.csv,sbs,4,1.7167381974248900,894
orbeon-forms.csv,sbs,8,1.7167381974248900,894
orbeon-forms.csv,sbs,16,1.7167381974248900,894
orbeon-forms.csv,sbs,32,1.7167381974248900,894
graylog2-server.csv,sbs,1,0.49875311720698300,1040
graylog2-server.csv,sbs,2,0.49875311720698300,1040
graylog2-server.csv,sbs,4,0.49875311720698300,1040
graylog2-server.csv,sbs,8,0.49875311720698300,1040
graylog2-server.csv,sbs,16,0.49875311720698300,1040
graylog2-server.csv,sbs,32,0.49875311720698300,1040
opal.csv,sbs,1,1.3392857142857100,360
opal.csv,sbs,2,1.3392857142857100,360
opal.csv,sbs,4,1.3392857142857100,360
opal.csv,sbs,8,1.3392857142857100,360
opal.csv,sbs,16,1.3392857142857100,360
opal.csv,sbs,32,1.3392857142857100,360
cloud_controller_ng.csv,sbs,1,5.138339920948620,616
cloud_controller_ng.csv,sbs,2,5.138339920948620,616
cloud_controller_ng.csv,sbs,4,5.138339920948620,616
cloud_controller_ng.csv,sbs,8,5.138339920948620,616
cloud_controller_ng.csv,sbs,16,5.138339920948620,616
cloud_controller_ng.csv,sbs,32,5.138339920948620,616
heroku.csv,sbs,1,0.0,117
heroku.csv,sbs,2,0.0,117
heroku.csv,sbs,4,0.0,117
heroku.csv,sbs,8,0.0,117
heroku.csv,sbs,16,0.0,117
heroku.csv,sbs,32,0.0,117
