index,duration,total_builds
4,0,0
8,0,0
12,0,0
16,0,0
20,0,0
24,0,0
28,0,0
32,0,0
36,0,0
40,0,0
44,0,0
48,0,0
52,1579,1
56,0,0
60,1954,1
64,0,0
68,3560,2
72,0,0
76,0,0
80,0,0
84,1716,1
88,2981,2
92,0,0
96,1662,1
100,0,0
104,1704,1
108,0,0
112,0,0
116,1725,1
120,2450,2
124,0,0
128,0,0
132,0,0
136,0,0
140,0,0
144,0,0
148,0,0
152,0,0
156,0,0
160,0,0
164,0,0
168,0,0
172,0,0
176,0,0
180,0,0
184,2041,1
188,0,0
192,0,0
196,0,0
200,0,0
204,5287,2
208,5279,2
212,0,0
216,0,0
220,0,0
