tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
11905123,geoserver/geoserver,0.0,,,java,,master,1,0a1454972b869687d6da6bf6b02e7d8ac7dc8208,build_found,010b2a69d953f93b0812d39ad140009017848388,11904988,2013-09-28 16:19:06,53,0a1454972b869687d6da6bf6b02e7d8ac7dc8208,1,0a1454972b869687d6da6bf6b02e7d8ac7dc8208,,0a1454972b869687d6da6bf6b02e7d8ac7dc8208,,0,,0,0,0,0,1,0,0,0,0,1,1,269253,442.620880732991,13.5894493283269,66.9259024040586,1.0,,2013-09-28 16:19:12,2013-09-28 16:19:56,failed,44,"[11905124, 11905125]",2,11905125,java,broken,,java-ant,,0.0,,,,,,,,,0
11905554,geoserver/geoserver,0.0,,,java,,master,1,7175797309f32aaa22392c171b482715a44bfb88,build_found,63c949ad930ceb627dc9e46ceb564371d1426b8f,11905258,2013-09-28 16:31:35,53,7175797309f32aaa22392c171b482715a44bfb88,1,7175797309f32aaa22392c171b482715a44bfb88,,7175797309f32aaa22392c171b482715a44bfb88,,0,,0,0,0,0,1,0,0,0,0,1,3,269253,442.620880732991,13.5894493283269,66.9259024040586,1.0,,2013-09-28 16:31:43,2013-09-28 16:32:24,failed,973,"[11905555, 11905556]",4,11905556,java,broken,,java-ant,junit,1.0,,4,0,4,0,,0.34,,0
11909050,geoserver/geoserver,0.0,,,java,,master,1,200dd3c4ab0074cc0dabd6625c545c8e7859eaf6,build_found,7175797309f32aaa22392c171b482715a44bfb88,11905554,2013-09-28 19:04:17,53,200dd3c4ab0074cc0dabd6625c545c8e7859eaf6,1,200dd3c4ab0074cc0dabd6625c545c8e7859eaf6,,200dd3c4ab0074cc0dabd6625c545c8e7859eaf6,,0,,0,31,0,0,2,0,0,2,0,0,10,269253,442.572599005396,13.5894493283269,66.9259024040586,1.0,,2013-09-28 19:04:24,2013-09-28 19:04:54,failed,1583,"[11909051, 11909052]",5,11909051,java,broken,,java-ant,junit,1.0,,1,0,1,16,,1.93,,0
11939345,geoserver/geoserver,0.0,,,java,,master,2,f4efd463a07090bbe302e6669961f319f35f42d5#1a2445df8e82f7610f21831785669bff0e9033ff,merge_found,,,2013-09-11 13:33:00,53,1a2445df8e82f7610f21831785669bff0e9033ff,1,1a2445df8e82f7610f21831785669bff0e9033ff,,1a2445df8e82f7610f21831785669bff0e9033ff,,0,,397,21,0,0,12,0,0,10,0,2,14,269354,442.399221841888,13.5843536758318,66.9008071162856,1.0,,2013-09-29 20:49:32,2013-09-29 20:50:28,failed,998,"[11939346, 11939347]",7,11939347,java,broken,,java-ant,,0.0,,,,,,,,0.0,0
11939991,geoserver/geoserver,0.0,,,java,,master,2,26873405104161ef7f960539b15cb0e91db0b819#86069528dd52c699afd75e8dacddf6838dccb33e,merge_found,,,2013-09-23 13:07:44,53,86069528dd52c699afd75e8dacddf6838dccb33e,1,86069528dd52c699afd75e8dacddf6838dccb33e,,86069528dd52c699afd75e8dacddf6838dccb33e,,0,,0,0,0,0,8,0,0,0,7,1,4,269354,442.399221841888,13.5843536758318,66.9008071162856,1.0,,2013-09-29 21:14:34,2013-09-29 21:15:03,failed,939,"[11939992, 11939993]",8,11939992,java,broken,,java-ant,junit,1.0,,2,0,2,16,,3.01,,0
11940402,geoserver/geoserver,0.0,,,java,,master,1,ff08a13b2d5af9c608af2c79f408a35f30a61664,build_found,86069528dd52c699afd75e8dacddf6838dccb33e,11939991,2013-09-29 21:27:59,53,ff08a13b2d5af9c608af2c79f408a35f30a61664,1,ff08a13b2d5af9c608af2c79f408a35f30a61664,,ff08a13b2d5af9c608af2c79f408a35f30a61664,,0,,2,0,0,0,1,0,0,1,0,0,5,269354,442.399221841888,13.5843536758318,66.9008071162856,1.0,,2013-09-29 21:28:30,2013-09-29 21:29:00,failed,1773,"[11940403, 11940404]",9,11940404,java,broken,,java-ant,junit,1.0,,3,0,3,16,,3.91,,0
11940428,geoserver/geoserver,1.0,2013-09-29 19:29:47,340,java,merge_button,master,3,836c363b1070aca13ad7e5f838db3db25c64de3c#e9f2aafa9ff9f4ef8599b9cd1e54882b1c162b84#9b85859b503c03d848ade734e0a36031d72a6661,build_found,ff08a13b2d5af9c608af2c79f408a35f30a61664,11940402,2013-09-29 21:12:21,53,836c363b1070aca13ad7e5f838db3db25c64de3c,1,836c363b1070aca13ad7e5f838db3db25c64de3c,ff08a13b2d5af9c608af2c79f408a35f30a61664,aa290e49ad6897dbf90a5937c89e31af51be4f0f,0,0,0,86,26,0,0,8,0,2,8,0,0,12,269385,442.370584850678,13.586502589231,66.9042448540193,1.0,11,2013-10-13 15:45:43,2013-09-29 21:30:20,failed,989,"[11940429, 11940430]",10,11940430,java,broken,,java-ant,junit,1.0,,2,0,2,16,,3.86,,0
11961149,geoserver/geoserver,0.0,,,java,,master,1,babca3a509c1901ae4c4fb203df8064b65cc0707,build_found,ff08a13b2d5af9c608af2c79f408a35f30a61664,11940402,2013-09-24 13:16:10,53,babca3a509c1901ae4c4fb203df8064b65cc0707,1,babca3a509c1901ae4c4fb203df8064b65cc0707,,babca3a509c1901ae4c4fb203df8064b65cc0707,,0,,2,0,0,0,1,0,0,1,0,2,3,269354,442.399221841888,13.5843536758318,66.9008071162856,1.0,,2013-09-30 13:14:38,2013-09-30 13:15:20,failed,1718,"[11961150, 11961151]",12,11961150,java,broken,,java-ant,junit,1.0,,1,0,1,16,,1.39,,0
11970184,geoserver/geoserver,1.0,2013-09-30 14:51:30,342,java,merge_button,master,,,build_found,babca3a509c1901ae4c4fb203df8064b65cc0707,11961149,,53,79c756c2ccf4a2c2ec051cefba393854df95a3c5,1,79c756c2ccf4a2c2ec051cefba393854df95a3c5,babca3a509c1901ae4c4fb203df8064b65cc0707,0aa87c4d0c0f8ee4db3bf068f6f16aac7b31be5e,0,0,0,200,23,3,0,2,0,1,3,0,1,8,269349,442.474262016937,13.5883185012753,66.9057616698039,1.0,13,,2013-09-30 16:52:19,failed,1612,"[11970185, 11970186]",13,11970186,java,broken,,java-ant,junit,1.0,,1,0,1,0,,0.92,,0
11970192,geoserver/geoserver,0.0,,,java,,master,,,merge_found,,,,53,b44b00e4c2835fc86d2bc505cc607bb9eef7c896,1,b44b00e4c2835fc86d2bc505cc607bb9eef7c896,,b44b00e4c2835fc86d2bc505cc607bb9eef7c896,,0,,200,23,3,0,2,0,0,3,0,1,9,269349,442.474262016937,13.5883185012753,66.9057616698039,1.0,,,2013-09-30 16:52:51,failed,2088,"[11970193, 11970194]",14,11970194,java,broken,,java-ant,junit,1.0,,1,0,1,16,,2.12,,0
