,version,project,algorithm,batch_size,confidence,builds_reqd,testall_size,zero_median,wo_zero_median
3420,1,orbeon-forms,BATCHBISECT,1,2,52.015810276679844,1265,0.0,1.0
3421,1,orbeon-forms,BATCHBISECT,1,3,35.65217391304348,1265,0.0,1.0
3422,1,orbeon-forms,BATCHBISECT,1,4,26.324110671936758,1265,0.0,2.0
3423,1,orbeon-forms,BATCHBISECT,1,5,21.58102766798419,1265,0.0,3.0
3424,1,orbeon-forms,BATCHBISECT,1,6,18.735177865612652,1265,0.0,3.0
3425,1,orbeon-forms,BATCHBISECT,1,7,15.968379446640316,1265,0.0,3.0
3426,1,orbeon-forms,BATCHBISECT,1,8,13.67588932806324,1265,0.0,4.0
3427,1,orbeon-forms,BATCHBISECT,1,9,12.569169960474309,1265,0.0,6.0
3428,1,orbeon-forms,BATCHBISECT,1,10,11.383399209486166,1265,0.0,8.0
3429,1,orbeon-forms,BATCHBISECT,1,11,10.513833992094861,1265,0.0,8.5
3430,1,orbeon-forms,BATCHBISECT,1,12,9.881422924901186,1265,0.0,8.0
3431,1,orbeon-forms,BATCHBISECT,1,13,9.011857707509881,1265,0.0,7.0
3432,1,orbeon-forms,BATCHBISECT,1,14,8.300395256916996,1265,0.0,11.0
3433,1,orbeon-forms,BATCHBISECT,1,15,8.063241106719367,1265,0.0,12.0
3434,1,orbeon-forms,BATCHBISECT,1,16,7.58893280632411,1265,0.0,15.0
3435,1,orbeon-forms,BATCHBISECT,1,17,7.2727272727272725,1265,0.0,20.5
3436,1,orbeon-forms,BATCHBISECT,1,18,7.351778656126482,1265,0.0,17.0
3437,1,orbeon-forms,BATCHBISECT,1,19,6.482213438735178,1265,0.0,15.0
3438,1,orbeon-forms,BATCHBISECT,1,20,6.16600790513834,1265,0.0,20.0
3439,1,orbeon-forms,BATCHBISECT,2,2,46.24505928853755,1265,0.0,1.0
3440,1,orbeon-forms,BATCHBISECT,2,3,38.41897233201581,1265,0.0,1.0
3441,1,orbeon-forms,BATCHBISECT,2,4,29.09090909090909,1265,0.0,1.0
3442,1,orbeon-forms,BATCHBISECT,2,5,25.92885375494071,1265,0.0,1.0
3443,1,orbeon-forms,BATCHBISECT,2,6,21.73913043478261,1265,0.0,1.0
3444,1,orbeon-forms,BATCHBISECT,2,7,19.604743083003953,1265,0.0,1.0
3445,1,orbeon-forms,BATCHBISECT,2,8,18.49802371541502,1265,0.0,1.0
3446,1,orbeon-forms,BATCHBISECT,2,9,16.442687747035574,1265,0.0,5.0
3447,1,orbeon-forms,BATCHBISECT,2,10,15.889328063241107,1265,0.0,1.0
3448,1,orbeon-forms,BATCHBISECT,2,11,13.91304347826087,1265,0.0,4.0
3449,1,orbeon-forms,BATCHBISECT,2,12,12.25296442687747,1265,0.0,8.0
3450,1,orbeon-forms,BATCHBISECT,2,13,11.699604743083004,1265,0.0,5.0
3451,1,orbeon-forms,BATCHBISECT,2,14,11.067193675889328,1265,0.0,10.0
3452,1,orbeon-forms,BATCHBISECT,2,15,11.146245059288537,1265,0.0,4.0
3453,1,orbeon-forms,BATCHBISECT,2,16,11.541501976284586,1265,0.0,8.0
3454,1,orbeon-forms,BATCHBISECT,2,17,11.383399209486164,1265,0.0,7.0
3455,1,orbeon-forms,BATCHBISECT,2,18,8.853754940711463,1265,0.0,9.0
3456,1,orbeon-forms,BATCHBISECT,2,19,8.537549407114627,1265,0.0,9.0
3457,1,orbeon-forms,BATCHBISECT,2,20,7.351778656126482,1265,0.0,9.5
3458,1,orbeon-forms,BATCHBISECT,4,2,49.249011857707515,1265,1.0,2.0
3459,1,orbeon-forms,BATCHBISECT,4,3,41.81818181818181,1265,1.0,2.0
3460,1,orbeon-forms,BATCHBISECT,4,4,35.652173913043484,1265,0.5,2.0
3461,1,orbeon-forms,BATCHBISECT,4,5,34.308300395256914,1265,0.0,2.0
3462,1,orbeon-forms,BATCHBISECT,4,6,33.04347826086956,1265,0.0,2.0
3463,1,orbeon-forms,BATCHBISECT,4,7,30.039525691699605,1265,0.0,2.0
3464,1,orbeon-forms,BATCHBISECT,4,8,26.798418972332016,1265,0.0,2.0
3465,1,orbeon-forms,BATCHBISECT,4,9,26.24505928853755,1265,0.0,2.0
3466,1,orbeon-forms,BATCHBISECT,4,10,25.533596837944664,1265,0.0,2.0
3467,1,orbeon-forms,BATCHBISECT,4,11,22.055335968379445,1265,0.0,2.0
3468,1,orbeon-forms,BATCHBISECT,4,12,21.818181818181817,1265,0.0,2.0
3469,1,orbeon-forms,BATCHBISECT,4,13,19.841897233201582,1265,0.0,2.0
3470,1,orbeon-forms,BATCHBISECT,4,14,19.209486166007906,1265,0.0,2.0
3471,1,orbeon-forms,BATCHBISECT,4,15,16.126482213438734,1265,0.0,2.0
3472,1,orbeon-forms,BATCHBISECT,4,16,14.387351778656127,1265,0.0,2.0
3473,1,orbeon-forms,BATCHBISECT,4,17,15.494071146245059,1265,0.0,2.0
3474,1,orbeon-forms,BATCHBISECT,4,18,12.25296442687747,1265,0.0,2.0
3475,1,orbeon-forms,BATCHBISECT,4,19,11.778656126482215,1265,0.0,2.0
3476,1,orbeon-forms,BATCHBISECT,4,20,12.964426877470355,1265,0.0,2.0
3477,1,orbeon-forms,BATCHBISECT,8,2,51.383399209486164,1265,3.0,4.0
3478,1,orbeon-forms,BATCHBISECT,8,3,48.616600790513836,1265,3.0,4.0
3479,1,orbeon-forms,BATCHBISECT,8,4,47.430830039525695,1265,3.0,4.0
3480,1,orbeon-forms,BATCHBISECT,8,5,43.241106719367586,1265,3.0,4.0
3481,1,orbeon-forms,BATCHBISECT,8,6,39.84189723320158,1265,2.5,4.0
3482,1,orbeon-forms,BATCHBISECT,8,7,40.0,1265,2.0,4.0
3483,1,orbeon-forms,BATCHBISECT,8,8,39.28853754940712,1265,3.0,4.0
3484,1,orbeon-forms,BATCHBISECT,8,9,35.8102766798419,1265,2.0,4.0
3485,1,orbeon-forms,BATCHBISECT,8,10,37.312252964426875,1265,2.0,4.0
3486,1,orbeon-forms,BATCHBISECT,8,11,36.99604743083004,1265,2.0,4.0
3487,1,orbeon-forms,BATCHBISECT,8,12,32.33201581027668,1265,2.0,4.0
3488,1,orbeon-forms,BATCHBISECT,8,13,30.67193675889328,1265,1.0,4.0
3489,1,orbeon-forms,BATCHBISECT,8,14,30.67193675889328,1265,1.0,4.0
3490,1,orbeon-forms,BATCHBISECT,8,15,30.67193675889328,1265,1.0,4.0
3491,1,orbeon-forms,BATCHBISECT,8,16,29.09090909090909,1265,1.0,4.0
3492,1,orbeon-forms,BATCHBISECT,8,17,30.67193675889328,1265,2.0,4.0
3493,1,orbeon-forms,BATCHBISECT,8,18,26.798418972332016,1265,1.0,4.0
3494,1,orbeon-forms,BATCHBISECT,8,19,26.798418972332016,1265,1.0,4.0
3495,1,orbeon-forms,BATCHBISECT,8,20,29.802371541501977,1265,1.0,4.0
3496,1,orbeon-forms,BATCHBISECT,16,2,53.280632411067195,1265,8.0,8.0
