project,algorithm,batch_size,time_reqd,builds_reqd,total_delay,failures_found,failures_not_found,bad_builds,testall_size
rubinius.csv,4,BATCH4,26.282430759746962,24.09090909090909,148,97.14285714285714,2.857142857142857,5,220
rubinius.csv,4,BATCHSTOP4,20.945512898917304,19.09090909090909,601,82.85714285714286,17.142857142857142,41,220
rubinius.csv,8,BATCHSTOP4,26.72984437149273,24.545454545454547,0,100.0,0.0,0,220
rubinius.csv,16,BATCHSTOP4,27.168696213740905,24.545454545454547,0,100.0,0.0,0,220
rubinius.csv,32,BATCHSTOP4,27.168696213740905,24.545454545454547,0,100.0,0.0,0,220
rubinius.csv,1,BATCHBISECT,23.448485056042898,17.272727272727273,1396,68.57142857142857,31.428571428571427,66,220
rubinius.csv,2,BATCHBISECT,21.962651115231633,17.272727272727273,584,82.85714285714286,17.142857142857142,54,220
rubinius.csv,4,BATCHBISECT,20.945512898917304,19.09090909090909,601,82.85714285714286,17.142857142857142,41,220
rubinius.csv,8,BATCHBISECT,26.72984437149273,24.545454545454547,0,100.0,0.0,0,220
rubinius.csv,16,BATCHBISECT,27.168696213740905,24.545454545454547,0,100.0,0.0,0,220
rubinius.csv,32,BATCHBISECT,27.168696213740905,24.545454545454547,0,100.0,0.0,0,220
