project,algorithm,batch_size,time_reqd,builds_reqd,total_delay,failures_found,failures_not_found,bad_builds,testall_size
open-build-service.csv,4,BATCH4,22.790984984057484,21.244635193133046,1057,89.58333333333333,10.416666666666666,54,466
open-build-service.csv,4,BATCHSTOP4,20.552128848232698,19.098712446351932,1519,81.25,18.75,81,466
open-build-service.csv,8,BATCHSTOP4,24.962346593025263,22.746781115879827,586,95.83333333333333,4.166666666666667,22,466
open-build-service.csv,16,BATCHSTOP4,26.443501721428376,24.248927038626608,88,97.91666666666667,2.0833333333333335,3,466
open-build-service.csv,32,BATCHSTOP4,26.899248748671457,24.463519313304722,0,100.0,0.0,0,466
open-build-service.csv,1,BATCHBISECT,18.419919515274838,10.300429184549357,5273,45.833333333333336,54.166666666666664,258,466
open-build-service.csv,2,BATCHBISECT,20.044148506127193,14.806866952789699,2682,68.75,31.25,148,466
open-build-service.csv,4,BATCHBISECT,20.552128848232698,19.098712446351932,1519,81.25,18.75,81,466
open-build-service.csv,8,BATCHBISECT,24.962346593025263,22.746781115879827,586,95.83333333333333,4.166666666666667,22,466
open-build-service.csv,16,BATCHBISECT,26.443501721428376,24.248927038626608,88,97.91666666666667,2.0833333333333335,3,466
open-build-service.csv,32,BATCHBISECT,26.899248748671457,24.463519313304722,0,100.0,0.0,0,466
