project,algorithm,batch_size,time_reqd,builds_reqd,total_delay,failures_found,failures_not_found,bad_builds,testall_size
vagrant.csv,4,BATCH4,24.644561420770405,20.774647887323944,188,88.88888888888889,11.11111111111111,28,284
vagrant.csv,4,BATCHSTOP4,21.279578885226545,18.661971830985916,187,88.88888888888889,11.11111111111111,54,284
vagrant.csv,8,BATCHSTOP4,25.15127662714616,21.12676056338028,188,88.88888888888889,11.11111111111111,31,284
vagrant.csv,16,BATCHSTOP4,28.083337432970925,24.295774647887324,0,100.0,0.0,0,284
vagrant.csv,32,BATCHSTOP4,28.52855807546613,24.64788732394366,0,100.0,0.0,0,284
vagrant.csv,1,BATCHBISECT,21.208245191125105,11.267605633802816,452,66.66666666666667,33.333333333333336,123,284
vagrant.csv,2,BATCHBISECT,22.438136468736165,16.197183098591548,187,88.88888888888889,11.11111111111111,68,284
vagrant.csv,4,BATCHBISECT,21.279578885226545,18.661971830985916,187,88.88888888888889,11.11111111111111,54,284
vagrant.csv,8,BATCHBISECT,25.15127662714616,21.12676056338028,188,88.88888888888889,11.11111111111111,31,284
vagrant.csv,16,BATCHBISECT,28.083337432970925,24.295774647887324,0,100.0,0.0,0,284
vagrant.csv,32,BATCHBISECT,28.52855807546613,24.64788732394366,0,100.0,0.0,0,284
