project,algorithm,batch_size,time_reqd,builds_reqd,total_delay,failures_found,failures_not_found,bad_builds,testall_size
orbeon-forms.csv,BATCH4,4,26.872572488246465,23.605150214592275,123,95.0,5.0,8,233
orbeon-forms.csv,BATCHSTOP4,4,27.180902971816536,24.034334763948497,0,100.0,0.0,0,233
orbeon-forms.csv,BATCHSTOP4,8,27.13697491374253,24.034334763948497,170,90.0,10.0,3,233
orbeon-forms.csv,BATCHSTOP4,16,27.842604099766735,24.892703862660944,0,100.0,0.0,0,233
orbeon-forms.csv,BATCHSTOP4,32,28.31969617353251,24.892703862660944,0,100.0,0.0,0,233
orbeon-forms.csv,BATCHBISECT,1,22.821182220813558,12.446351931330472,763,60.0,40.0,108,233
orbeon-forms.csv,BATCHBISECT,2,25.347879637120876,20.17167381974249,356,75.0,25.0,33,233
orbeon-forms.csv,BATCHBISECT,4,27.180902971816536,24.034334763948497,0,100.0,0.0,0,233
orbeon-forms.csv,BATCHBISECT,8,27.13697491374253,24.034334763948497,170,90.0,10.0,3,233
orbeon-forms.csv,BATCHBISECT,16,27.842604099766735,24.892703862660944,0,100.0,0.0,0,233
orbeon-forms.csv,BATCHBISECT,32,28.31969617353251,24.892703862660944,0,100.0,0.0,0,233
