project,algorithm,batch_size,time_reqd,builds_reqd,total_delay,failures_found,failures_not_found,bad_builds,testall_size
opal.csv,BATCH4,4,27.381732451547965,21.875,0,100.0,0.0,0,224
opal.csv,BATCHSTOP4,4,25.60037288982862,20.089285714285715,308,77.77777777777777,22.22222222222222,29,224
opal.csv,BATCHSTOP4,8,25.309897117534604,21.428571428571427,109,88.88888888888889,11.11111111111111,12,224
opal.csv,BATCHSTOP4,16,29.46099856113164,24.553571428571427,0,100.0,0.0,0,224
opal.csv,BATCHSTOP4,32,30.20069849290361,24.553571428571427,0,100.0,0.0,0,224
opal.csv,BATCHBISECT,1,23.58663271027406,12.5,496,55.55555555555556,44.44444444444444,103,224
opal.csv,BATCHBISECT,2,24.689089594887626,15.178571428571429,445,66.66666666666667,33.333333333333336,82,224
opal.csv,BATCHBISECT,4,25.60037288982862,20.089285714285715,308,77.77777777777777,22.22222222222222,29,224
opal.csv,BATCHBISECT,8,25.309897117534604,21.428571428571427,109,88.88888888888889,11.11111111111111,12,224
opal.csv,BATCHBISECT,16,29.46099856113164,24.553571428571427,0,100.0,0.0,0,224
opal.csv,BATCHBISECT,32,30.20069849290361,24.553571428571427,0,100.0,0.0,0,224
