project,algorithm,batch_size,time_reqd,builds_reqd,total_delay,failures_found,failures_not_found,bad_builds,testall_size
cloudify.csv,4,BATCH4,28.37451466500777,25.0,0,100.0,0.0,0,488
cloudify.csv,4,BATCHSTOP4,28.37451466500777,25.0,0,100.0,0.0,0,488
cloudify.csv,8,BATCHSTOP4,28.37451466500777,25.0,0,100.0,0.0,0,488
cloudify.csv,16,BATCHSTOP4,28.37451466500777,25.0,0,100.0,0.0,0,488
cloudify.csv,32,BATCHSTOP4,28.37451466500777,25.0,0,100.0,0.0,0,488
cloudify.csv,1,BATCHBISECT,28.37451466500777,25.0,0,100.0,0.0,0,488
cloudify.csv,2,BATCHBISECT,28.37451466500777,25.0,0,100.0,0.0,0,488
cloudify.csv,4,BATCHBISECT,28.37451466500777,25.0,0,100.0,0.0,0,488
cloudify.csv,8,BATCHBISECT,28.37451466500777,25.0,0,100.0,0.0,0,488
cloudify.csv,16,BATCHBISECT,28.37451466500777,25.0,0,100.0,0.0,0,488
cloudify.csv,32,BATCHBISECT,28.37451466500777,25.0,0,100.0,0.0,0,488
