project,algorithm,batch_size,time_reqd,builds_reqd,total_delay,failures_found,failures_not_found,bad_builds,testall_size
loomio.csv,BATCH4,4,28.257319086091563,24.390243902439025,128,96.0,4.0,2,205
loomio.csv,BATCHSTOP4,4,25.956042046737902,22.4390243902439,128,96.0,4.0,10,205
loomio.csv,BATCHSTOP4,8,28.08704717227,24.390243902439025,0,100.0,0.0,0,205
loomio.csv,BATCHSTOP4,16,28.08704717227,24.390243902439025,0,100.0,0.0,0,205
loomio.csv,BATCHSTOP4,32,27.989314568673443,24.878048780487806,0,100.0,0.0,0,205
loomio.csv,BATCHBISECT,1,21.209278081834768,12.195121951219512,753,68.0,32.0,70,205
loomio.csv,BATCHBISECT,2,23.908435409608202,18.048780487804876,213,92.0,8.0,28,205
loomio.csv,BATCHBISECT,4,25.956042046737902,22.4390243902439,128,96.0,4.0,10,205
loomio.csv,BATCHBISECT,8,28.08704717227,24.390243902439025,0,100.0,0.0,0,205
loomio.csv,BATCHBISECT,16,28.08704717227,24.390243902439025,0,100.0,0.0,0,205
loomio.csv,BATCHBISECT,32,27.989314568673443,24.878048780487806,0,100.0,0.0,0,205
