project,algorithm,batch_size,time_reqd,builds_reqd,total_delay,failures_found,failures_not_found,bad_builds,testall_size
puppet.csv,BATCH4,4,30.5498317032009,24.63768115942029,0,100.0,0.0,0,69
puppet.csv,BATCHSTOP4,4,28.675723303279224,24.63768115942029,38,50.0,50.0,1,69
puppet.csv,BATCHSTOP4,8,28.675723303279224,24.63768115942029,38,50.0,50.0,1,69
puppet.csv,BATCHSTOP4,16,28.675723303279224,24.63768115942029,38,50.0,50.0,1,69
puppet.csv,BATCHSTOP4,32,28.675723303279224,24.63768115942029,38,50.0,50.0,1,69
puppet.csv,BATCHBISECT,1,30.5498317032009,24.63768115942029,0,100.0,0.0,0,69
puppet.csv,BATCHBISECT,2,28.675723303279224,24.63768115942029,38,50.0,50.0,1,69
puppet.csv,BATCHBISECT,4,28.675723303279224,24.63768115942029,38,50.0,50.0,1,69
puppet.csv,BATCHBISECT,8,28.675723303279224,24.63768115942029,38,50.0,50.0,1,69
puppet.csv,BATCHBISECT,16,28.675723303279224,24.63768115942029,38,50.0,50.0,1,69
puppet.csv,BATCHBISECT,32,28.675723303279224,24.63768115942029,38,50.0,50.0,1,69
