project,algorithm,batch_size,time_reqd,builds_reqd,total_delay,failures_found,failures_not_found,bad_builds,testall_size
geoserver.csv,BATCH4,4,27.911908300622876,24.404761904761905,0,100.0,0.0,0,168
geoserver.csv,BATCHSTOP4,4,27.344672958930907,24.404761904761905,0,100.0,0.0,0,168
geoserver.csv,BATCHSTOP4,8,27.960010670596155,24.404761904761905,0,100.0,0.0,0,168
geoserver.csv,BATCHSTOP4,16,27.960010670596155,24.404761904761905,0,100.0,0.0,0,168
geoserver.csv,BATCHSTOP4,32,27.960010670596155,24.404761904761905,0,100.0,0.0,0,168
geoserver.csv,BATCHBISECT,1,17.569136570927707,8.333333333333334,2571,30.0,70.0,109,168
geoserver.csv,BATCHBISECT,2,24.21852703429411,19.047619047619047,642,77.5,22.5,39,168
geoserver.csv,BATCHBISECT,4,27.344672958930907,24.404761904761905,0,100.0,0.0,0,168
geoserver.csv,BATCHBISECT,8,27.960010670596155,24.404761904761905,0,100.0,0.0,0,168
geoserver.csv,BATCHBISECT,16,27.960010670596155,24.404761904761905,0,100.0,0.0,0,168
geoserver.csv,BATCHBISECT,32,27.960010670596155,24.404761904761905,0,100.0,0.0,0,168
