project,algorithm,batch_size,time_reqd,builds_reqd,total_delay,failures_found,failures_not_found,bad_builds,testall_size
gradle.csv,4,BATCH4,23.55366889023651,20.28725314183124,1406,80.0,20.0,81,557
gradle.csv,4,BATCHSTOP4,23.8956443455265,20.46678635547576,1792,70.0,30.0,65,557
gradle.csv,8,BATCHSTOP4,25.29805630403931,21.903052064631957,372,95.0,5.0,50,557
gradle.csv,16,BATCHSTOP4,28.278431789338118,24.236983842010773,286,95.0,5.0,11,557
gradle.csv,32,BATCHSTOP4,28.897613674016743,24.775583482944345,0,100.0,0.0,0,557
gradle.csv,1,BATCHBISECT,25.16576744418673,16.51705565529623,1702,75.0,25.0,114,557
gradle.csv,2,BATCHBISECT,25.03860509024526,17.414721723518852,1451,80.0,20.0,107,557
gradle.csv,4,BATCHBISECT,23.8956443455265,20.46678635547576,1792,70.0,30.0,65,557
gradle.csv,8,BATCHBISECT,25.29805630403931,21.903052064631957,372,95.0,5.0,50,557
gradle.csv,16,BATCHBISECT,28.278431789338118,24.236983842010773,286,95.0,5.0,11,557
gradle.csv,32,BATCHBISECT,28.897613674016743,24.775583482944345,0,100.0,0.0,0,557
