version,tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
1,2805805,12,0,0,0,0,1,2,21,2,passed
1,2812799,8,0,0,0,0,1,1,23,1,passed
1,2813510,16,0,0,0,0,1,1,56,1,passed
1,2814806,16,0,0,0,0,1,1,57,1,passed
1,2830242,2,0,0,0,0,1,1,8,1,passed
1,2831182,2,0,0,0,0,1,1,9,1,passed
1,2835855,2,0,0,0,0,1,1,61,1,passed
1,2840943,2,0,0,0,0,1,1,62,1,passed
1,2850694,6,0,0,0,0,2,1,87,1,passed
1,2855280,2,0,5,0,0,3,1,254,1,passed
1,2893938,15,0,0,0,0,1,1,7,1,passed
1,2894274,17,0,0,0,0,1,1,39,1,passed
1,2904183,6,0,4,0,0,3,1,60,1,passed
1,2907944,104,0,0,0,0,1,8,2,8,passed
1,2915401,30,0,0,0,0,1,1,10,1,passed
1,2915540,23,0,0,0,0,1,1,42,1,passed
1,2929547,139,0,10,0,0,22,2,530,2,passed
1,2929973,301,0,68,8,0,3,1,86,1,passed
1,2930083,33,0,0,0,0,1,1,19,1,passed
1,2931028,33,0,0,0,0,1,1,20,1,passed
1,2934609,6,0,6,0,0,2,1,27,1,passed
1,2934915,6,0,6,0,0,2,1,27,1,passed
1,2944308,6,0,6,0,0,2,1,28,1,passed
1,2976351,0,0,4,0,0,1,1,110,1,passed
1,3000478,0,0,4,0,0,1,1,111,1,passed
1,3001986,345,0,0,0,0,16,1,256,1,passed
1,3005658,345,0,0,0,0,16,1,257,1,passed
1,3005714,7,0,0,0,0,1,1,3,1,passed
1,3005778,7,0,0,0,0,1,1,4,1,passed
1,3005799,2,0,0,0,0,1,1,70,1,passed
1,3008423,16,0,0,0,0,1,1,19,1,passed
1,3009824,16,0,0,0,0,1,1,20,1,passed
1,3019297,2,0,0,0,0,1,1,34,1,passed
1,3030491,317,0,117,13,0,8,8,115,8,passed
1,3030505,315,0,117,13,0,7,1,119,1,passed
1,3037453,201,0,22,3,0,6,3,95,3,passed
1,3037575,201,0,22,3,0,6,1,98,1,passed
1,3038005,2,0,0,0,0,1,1,12,1,failed
1,3041544,4,0,6,0,0,2,1,30,1,passed
1,3043774,4,0,6,0,0,2,1,31,1,passed
1,3045832,2,0,8,0,0,2,1,33,1,passed
1,3056656,2,0,8,0,0,2,1,34,1,passed
1,3057888,0,0,4,0,0,2,1,5,1,passed
1,3077753,13,0,0,0,0,5,2,595,2,passed
1,3081431,60,0,8,1,0,7,2,688,2,passed
1,3081537,53,0,8,1,0,3,1,142,1,passed
1,3089757,39,0,0,0,0,3,1,519,1,passed
1,3125077,39,0,0,0,0,3,1,520,1,passed
1,3125115,3,0,0,0,0,1,1,45,1,passed
1,3128383,2,0,0,0,0,2,1,11,1,passed
1,3130370,0,0,20,0,0,1,1,21,1,passed
1,3135008,22,0,0,0,0,2,1,6,1,failed
1,3135679,0,0,0,0,0,1,1,21,1,failed
1,3135691,0,0,0,0,0,1,1,22,1,failed
1,3136722,6,0,82,1,0,1,1,43,1,failed
1,3136944,27,0,0,0,0,4,1,30,1,failed
1,3137470,0,0,38,0,0,1,1,5,1,failed
1,3165198,1,0,1,0,0,2,1,33,1,failed
1,3165363,0,0,3,0,0,2,2,39,2,passed
1,3165400,15,0,0,0,0,1,1,53,1,passed
1,3165502,2,0,0,0,0,1,1,14,1,passed
1,3165770,4,0,0,0,0,1,1,23,1,passed
1,3182692,1,0,0,0,0,1,1,18,1,passed
1,3184581,5,0,0,0,0,5,1,115,1,passed
1,3190099,24,0,6,0,0,3,2,18,2,passed
1,3199250,1913,0,77,34,5,12,2,97,2,passed
1,3199530,1911,0,77,34,5,11,1,99,1,passed
