version,tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
1,106537,0,0,0,6,0,2,1,1,1,passed
1,106718,0,0,0,0,0,6,1,2,1,passed
1,110689,0,0,0,2,0,3,1,2,1,passed
1,110693,0,0,0,0,0,8,1,3,1,passed
1,111036,0,0,0,0,0,6,1,4,1,passed
1,113794,0,0,0,0,0,2,1,4,1,passed
1,113888,0,0,0,6,0,1,1,5,1,passed
1,113909,159,0,9,4,0,12,1,67,1,passed
1,113919,0,0,0,0,0,4,1,6,1,passed
1,115475,0,0,0,0,0,5,1,7,1,passed
1,117183,0,0,0,0,0,6,1,21,1,passed
1,117255,0,0,0,0,0,1,1,34,1,passed
1,117305,0,0,0,0,0,2,1,28,1,passed
1,117323,0,0,0,0,0,1,1,2,1,passed
1,117377,0,0,0,0,0,3,1,5,1,passed
1,117398,0,0,0,0,0,2,1,17,1,passed
1,117440,1,0,0,0,0,1,1,6,1,passed
1,126229,0,0,0,0,0,4,1,15,1,passed
1,126240,0,0,0,0,0,3,1,13,1,passed
1,126388,0,0,0,1,0,3,1,11,1,passed
1,126567,0,0,0,0,0,5,1,20,1,passed
1,126607,0,0,0,0,16,4,1,14,1,passed
1,126731,0,0,0,0,0,2,1,26,1,passed
1,128674,7,0,0,0,0,3,1,29,1,passed
1,148315,8,0,16,1,0,3,1,30,1,passed
1,148573,0,0,27,1,0,1,1,14,1,passed
1,183033,20,0,0,0,0,1,1,29,1,passed
1,183083,2,0,8,0,0,3,1,14,1,passed
1,265287,35,0,6,3,0,6,3,72,3,passed
1,315559,19,0,52,0,0,3,3,44,3,passed
1,372517,0,0,0,5,3,0,1,3,1,passed
1,372673,0,0,0,0,0,5,1,6,1,passed
1,372773,0,0,0,4,0,9,1,24,1,passed
1,372825,0,0,0,1,0,10,1,8,1,passed
1,373323,0,0,0,1,0,12,1,46,1,passed
1,373369,0,0,0,0,0,3,1,12,1,passed
1,373437,0,0,0,0,0,7,1,65,1,passed
1,373486,0,0,0,0,0,2,1,22,1,passed
1,373716,0,0,0,0,0,6,1,37,1,passed
1,373840,0,0,0,0,0,4,1,33,1,passed
1,373863,0,0,0,0,0,2,1,16,1,passed
1,374385,103,0,0,0,0,2,1,38,1,passed
1,374517,0,0,0,0,0,15,1,74,1,passed
1,374537,0,0,0,0,0,3,1,38,1,passed
1,378163,0,0,0,0,0,1,1,1,1,passed
1,381541,0,0,0,5,2,3,2,47,2,passed
1,418552,26,0,0,1,0,12,3,100,3,passed
1,418562,5,0,0,1,0,10,1,88,1,passed
1,418566,6,0,0,0,0,3,1,33,1,passed
1,418651,26,0,0,0,0,4,1,8,1,passed
1,421529,0,0,0,0,0,4,1,10,1,passed
1,421562,0,0,0,0,0,2,1,10,1,passed
1,464204,34,0,0,8,0,9,1,66,1,passed
1,464256,29,0,0,4,4,4,1,48,1,passed
1,464389,0,0,0,0,0,6,1,47,1,passed
1,464401,0,0,0,0,0,2,1,5,1,passed
1,464514,0,0,0,1,0,4,1,4,1,passed
1,464559,81,0,0,1,0,3,1,15,1,passed
1,464586,2,0,0,0,0,1,1,9,1,passed
1,466683,0,0,0,0,0,1,1,1,1,passed
1,480410,54,0,41,13,0,2,2,36,2,passed
1,480457,4,0,2,0,0,3,1,37,1,passed
1,525380,54,0,41,13,0,3,1,40,1,passed
1,525478,0,0,0,0,0,2,1,10,1,passed
1,525505,0,0,0,0,0,2,1,11,1,passed
1,525532,0,0,0,0,0,3,1,18,1,passed
1,533535,88,0,0,1,0,2,3,12,3,passed
1,534850,72,0,0,1,0,1,1,15,1,passed
1,539317,28,0,0,0,0,2,1,12,1,passed
1,539540,1,0,0,0,0,1,1,2,1,passed
1,555505,20,0,0,0,0,1,1,3,1,passed
