version,tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
1,3437730,109,0,0,1,0,0,1,2,1,passed
1,3439139,138,0,0,1,0,1,5,1,5,failed
1,3439888,27,0,0,0,0,2,2,436,2,failed
1,3440327,60,0,0,0,0,3,1,88,1,passed
1,3441006,56,0,0,1,0,0,1,3,1,passed
1,3441409,2,0,0,0,0,1,1,4,1,passed
1,3441904,0,0,0,0,0,1,3,49,3,passed
1,3442875,0,0,0,0,0,1,1,52,1,passed
1,3443034,0,0,0,0,0,1,1,52,1,passed
1,3453404,7,0,0,0,0,1,1,299,1,passed
1,3454511,2,0,0,0,0,1,1,301,1,passed
1,3454518,7,0,0,0,0,1,1,302,1,passed
1,3458280,57,0,0,0,0,3,4,491,4,passed
1,3461558,57,0,0,0,0,3,1,495,1,passed
1,3497025,222,0,0,1,0,1,5,0,5,passed
1,3497481,222,0,0,1,0,1,5,0,5,passed
1,3497797,391,0,0,1,0,1,4,0,4,passed
1,3502259,208,0,0,1,0,0,1,5,1,passed
1,3502267,2,0,0,0,0,1,1,28,1,passed
1,3502279,4,0,0,0,0,1,1,6,1,passed
1,3503996,407,0,0,1,0,0,2,20,2,passed
1,3511210,320,0,0,1,1,0,1,3,1,passed
1,3513438,180,0,0,1,0,0,1,2,1,passed
1,3514854,4,0,0,0,0,1,1,6,1,passed
1,3529386,146,0,0,1,0,1,3,0,3,passed
1,3530043,3,0,0,0,0,1,1,3,1,passed
1,3532409,18,0,0,0,0,1,1,4,1,passed
1,3532411,18,0,0,0,0,1,1,4,1,passed
1,3533595,18,0,0,0,0,1,1,4,1,passed
1,3534653,139,0,0,0,0,1,4,7,4,passed
1,3534904,135,0,0,0,0,1,1,11,1,passed
1,3535766,346,0,0,1,0,1,4,0,4,passed
1,3536579,40,0,0,0,0,1,3,6,3,passed
1,3539340,67,0,0,0,0,1,2,1,2,passed
1,3539378,3,0,0,0,0,1,1,8,1,passed
1,3552278,2,0,0,0,0,1,1,4,1,passed
1,3552765,336,0,0,6,0,1,2,2,2,passed
1,3554452,2,0,0,0,0,1,1,3,1,passed
1,3555012,747,0,0,3,1,3,7,2,7,passed
1,3555030,747,0,0,3,1,3,7,2,7,passed
1,3555266,158,0,0,1,0,0,1,3,1,passed
1,3556743,141,0,0,1,0,0,1,8,1,passed
1,3561877,154,0,0,1,0,1,2,0,2,passed
1,3565345,155,0,0,1,0,1,2,2,2,passed
1,3571539,5,0,0,0,0,1,1,29,1,passed
1,3574589,2,0,0,0,0,1,1,4,1,passed
1,3583224,8,0,0,0,0,4,1,9,1,failed
1,3595774,2264,0,0,15,0,9,1,137,1,passed
1,3602606,147,0,0,1,0,0,1,0,1,passed
1,3605749,6,0,0,0,0,1,1,1,1,passed
1,3606188,4,0,0,0,0,2,1,17,1,passed
1,3608240,4,0,0,0,0,2,1,18,1,passed
1,3608475,40,0,0,0,0,22,2,189,2,passed
1,3613191,19,0,0,0,0,1,1,4,1,passed
1,3615490,73,0,0,0,0,1,1,8,1,passed
1,3615544,2,0,0,0,0,1,1,5,1,failed
1,3617423,16,0,0,0,0,1,2,42,2,passed
1,3617596,4,0,0,0,0,1,1,5,1,passed
1,3618911,400,0,0,0,0,11,1,674,1,passed
1,3619215,158,0,0,1,0,1,2,0,2,passed
1,3619281,160,0,0,1,0,1,2,2,2,failed
1,3622969,196,0,0,1,0,1,3,0,3,passed
1,3626270,128,0,0,1,0,1,2,3,2,passed
1,3632310,100,0,0,0,0,1,3,69,3,passed
1,3632478,72,0,0,0,0,1,1,72,1,passed
1,3634530,2,0,0,0,0,1,1,19,1,passed
