version,tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
1,857094,0,0,0,1,0,0,1,0,1,failed
1,857316,0,0,0,1,0,0,1,0,1,failed
1,867834,181,0,0,0,0,12,5,483,5,failed
1,867988,36,0,0,0,0,2,1,20,1,failed
1,870241,27,0,0,1,0,8,4,419,4,failed
1,874544,1,0,0,0,0,1,1,21,1,failed
1,874648,0,0,0,0,0,1,1,51,1,failed
1,876035,4,0,0,0,0,5,4,184,4,failed
1,883853,56,0,0,1,0,7,3,419,3,failed
1,884739,42,0,0,0,0,3,2,104,2,failed
1,911626,492,0,0,1,0,15,6,586,6,failed
1,911761,23,0,0,0,0,2,2,13,2,failed
1,916754,363,0,0,0,0,6,1,52,1,failed
1,918860,98,0,0,0,0,5,1,161,1,failed
1,926089,0,0,0,0,0,2,1,213,1,failed
1,933175,65,0,0,0,0,8,3,305,3,failed
1,933260,33,0,0,0,0,7,1,60,1,failed
1,966600,524,0,0,4,2,27,10,1254,10,failed
1,969515,119,0,0,2,0,7,4,91,4,failed
1,969792,4,0,0,0,0,2,1,10,1,failed
1,975762,10,0,0,0,0,4,1,127,1,failed
1,975863,0,0,0,0,0,1,1,77,1,failed
1,977546,0,0,0,0,0,1,1,75,1,failed
1,978331,22,0,6,0,0,5,4,491,4,failed
1,978425,0,0,2,2,2,2,1,465,1,failed
1,978598,2,0,0,0,0,2,2,432,2,failed
1,978620,2,0,0,0,0,2,2,432,2,failed
1,978627,2,0,0,0,0,2,2,432,2,passed
1,984025,0,0,0,0,0,1,2,25,2,passed
1,984239,0,0,0,0,0,2,2,163,2,passed
1,985203,0,0,0,0,0,2,2,94,2,passed
1,985819,5,0,0,0,0,1,2,835,2,passed
1,986590,0,0,0,0,0,1,1,139,1,passed
1,1001680,13,0,0,0,0,1,1,33,1,passed
1,1003050,30,0,0,0,0,16,3,111,3,passed
1,1004181,137,0,0,1,0,16,2,253,2,passed
1,1005162,38,0,0,0,0,2,1,262,1,passed
1,1013068,256,0,0,1,0,71,3,1183,3,passed
1,1021010,13,0,0,0,0,4,3,885,3,passed
1,1021521,132,0,2,0,0,14,1,231,1,failed
1,1027732,28,0,0,0,0,11,1,1046,1,passed
1,1028718,5,0,0,0,0,8,3,223,3,passed
1,1028724,5,0,0,0,0,20,5,330,5,passed
1,1028801,938,0,0,9,77,25,1,723,1,passed
1,1032589,54,0,5,0,2,61,4,849,4,passed
1,1032934,262,0,0,0,0,2,2,305,2,passed
1,1033134,2,0,0,0,0,7,4,315,4,passed
1,1033228,0,0,0,0,0,1,1,45,1,passed
1,1036908,204,0,0,1,2,11,7,478,7,failed
1,1051060,6,0,0,0,0,1,1,1,1,failed
1,1051176,0,0,0,0,0,1,1,80,1,failed
1,1053198,55,0,0,0,0,31,6,427,6,failed
1,1053410,28,0,0,0,0,4,1,18,1,failed
1,1054892,3,0,0,0,0,1,1,27,1,failed
1,1059982,12,0,0,0,0,2,2,77,2,failed
1,1061796,649,0,0,4,6,23,1,237,1,failed
1,1062533,0,0,0,0,0,1,1,77,1,passed
1,1062561,0,0,0,0,0,6,2,215,2,passed
1,1062593,0,0,0,0,0,2,1,221,1,passed
1,1063776,8,0,0,0,0,3,3,212,3,passed
1,1068793,61,0,0,0,0,8,3,449,3,passed
1,1070709,2,0,0,0,0,1,1,839,1,passed
1,1071031,0,0,0,0,0,1,1,69,1,failed
1,1071188,962,0,0,0,0,6,3,966,3,passed
1,1077611,2,0,0,0,0,4,2,45,2,passed
1,1108812,13,0,0,0,0,1,1,9,1,passed
1,1122429,18,0,0,0,0,4,2,49,2,failed
1,1130969,0,0,0,0,0,1,1,78,1,passed
1,1138570,2557,0,58,4,4,70,10,1531,10,passed
1,1139341,6,0,0,0,0,1,1,841,1,passed
1,1140859,422,0,0,0,0,28,7,843,7,passed
1,1144836,41,0,0,0,0,7,1,278,1,passed
1,1145180,2,0,0,0,0,1,1,34,1,passed
1,1145437,2,0,0,0,0,1,1,164,1,passed
1,1152886,53,0,0,0,0,2,1,75,1,passed
1,1186288,1059,0,0,4,1,37,9,1762,9,passed
1,1186930,79,0,0,1,0,8,5,211,5,passed
1,1192941,92,0,0,0,0,4,1,139,1,passed
1,1195589,262,0,0,0,0,26,7,695,7,passed
1,1212543,0,0,0,0,0,1,1,22,1,passed
1,1215957,631,0,2,1,1,19,3,887,3,passed
1,1220726,0,0,0,0,0,1,1,16,1,passed
1,1221331,77,0,0,0,0,5,1,469,1,passed
1,1241186,548,0,0,7,0,16,5,1041,5,passed
1,1248606,371,0,0,0,1,5,1,1062,1,passed
1,1251389,3338,0,70,10,19,35,2,806,2,passed
1,1255273,281,0,0,0,0,4,1,21,1,passed
1,1268396,121,0,12,0,0,19,4,302,4,passed
1,1272574,165,0,0,0,0,8,3,543,3,passed
1,1278882,49,0,0,0,0,1,2,3,2,passed
1,1280945,8,0,0,0,0,5,1,133,1,passed
1,1287248,6,0,0,0,0,3,3,875,3,passed
1,1301291,236,0,0,0,0,12,3,492,3,passed
1,1307655,92,0,0,1,0,4,1,61,1,passed
1,1310056,410,0,0,0,0,6,4,218,4,passed
1,1310605,0,0,0,0,0,1,1,33,1,passed
1,1331008,1802,0,0,4,2,41,12,2197,12,passed
1,1332228,482,0,0,1,1,7,1,119,1,passed
1,1333322,6,0,0,0,0,3,1,19,1,passed
1,1340793,0,0,0,0,0,4,2,101,2,passed
1,1348407,33,0,0,0,0,3,2,13,2,passed
1,1351673,17,0,0,0,0,1,1,7,1,passed
1,1353746,546,0,210,8,0,4,2,488,2,passed
1,1359037,1,0,0,0,0,2,1,1,1,passed
1,1361825,8,0,0,0,0,1,1,1,1,passed
1,1369031,68,0,0,0,0,2,2,158,2,passed
1,1369360,53,0,0,3,0,6,1,660,1,failed
1,1369395,0,0,0,1,0,0,1,0,1,passed
1,1369436,4,0,0,0,0,2,2,37,2,passed
1,1371968,0,0,0,2,0,2,1,1,1,passed
1,1372784,675,0,3,1,1,39,11,1247,11,passed
1,1374203,13,0,0,0,0,1,1,2,1,passed
1,1378627,2,0,0,0,0,1,1,8,1,passed
1,1378643,0,0,0,0,0,1,1,2,1,passed
1,1381630,4,0,0,0,0,1,1,3,1,passed
1,1383114,14,0,0,1,0,2,1,65,1,failed
1,1383644,4,0,0,0,0,3,1,9,1,passed
1,1391326,145,0,0,0,0,3,3,15,3,passed
1,1392696,49,0,0,1,0,4,3,96,3,failed
1,1394648,0,0,0,0,0,1,1,80,1,passed
1,1394883,4,0,0,0,0,1,1,5,1,passed
1,1395075,711,0,0,3,2,22,5,532,5,passed
1,1397151,3,0,0,0,0,1,1,9,1,passed
1,1401702,47,0,0,0,0,3,1,11,1,failed
1,1402306,6,0,0,0,0,1,1,38,1,passed
1,1405936,1,0,0,0,0,1,1,123,1,passed
1,1406826,0,0,0,0,0,1,2,433,2,passed
1,1407535,0,0,0,0,0,1,1,435,1,passed
1,1407729,0,0,0,0,0,1,1,436,1,passed
1,1408282,19,0,0,0,0,1,1,9,1,passed
1,1413342,0,0,0,0,0,1,1,437,1,passed
1,1413374,0,0,0,0,0,1,1,438,1,passed
1,1416626,17,0,0,0,0,7,4,361,4,passed
1,1416729,0,0,0,0,0,1,1,47,1,passed
1,1416818,0,0,0,0,0,1,1,5,1,passed
1,1418012,24,0,0,0,0,2,1,94,1,passed
1,1425553,1,0,0,0,0,3,2,240,2,passed
1,1428885,55,0,0,0,0,11,4,254,4,failed
1,1428973,12,0,0,0,0,1,1,30,1,passed
1,1443918,20,0,0,0,0,1,1,10,1,passed
1,1462490,24,0,0,0,0,1,1,2,1,passed
1,1463535,58,0,0,0,0,2,1,18,1,passed
1,1478253,3043,0,4,12,7,77,26,1897,26,passed
1,1481466,43,0,0,0,0,5,1,45,1,passed
1,1482796,41,0,0,0,0,5,1,206,1,passed
1,1483683,25,0,0,0,0,4,2,44,2,passed
1,1484549,87,0,0,1,1,2,2,131,2,passed
1,1493892,12,0,0,0,0,3,4,157,4,passed
1,1500567,5,0,0,0,0,3,2,33,2,passed
1,1501244,12,0,0,0,0,4,3,96,3,passed
1,1503288,81,0,0,0,0,2,1,2,1,failed
1,1503881,2,0,0,0,0,1,1,2,1,passed
1,1504001,67,0,0,0,0,1,1,2,1,passed
1,1504168,0,0,0,0,0,1,1,440,1,failed
1,1504293,45,0,0,0,0,7,1,126,1,passed
1,1504315,0,0,0,0,0,1,1,73,1,passed
1,1527696,0,0,0,0,0,1,1,16,1,passed
1,1527904,272,0,0,1,0,16,1,938,1,passed
1,1530934,898,0,0,1,0,44,2,1101,2,passed
1,1532095,10,0,0,0,0,1,1,2,1,passed
1,1537750,0,0,0,0,0,11,1,54,1,passed
1,1538006,12,0,0,0,0,1,1,2,1,passed
1,1541162,225,0,0,1,1,8,4,165,4,passed
1,1541516,3,0,0,0,0,1,1,14,1,failed
1,1542210,183,0,31,2,1,27,1,255,1,passed
1,1550250,0,0,0,0,0,2,2,31,2,passed
1,1550527,0,0,0,0,0,1,1,16,1,passed
1,1552583,670,0,0,0,3,16,5,549,5,passed
1,1553215,184,0,0,0,0,1,1,1,1,passed
1,1553510,41,0,0,0,0,4,2,191,2,passed
1,1560204,0,0,0,0,0,3,2,242,2,failed
1,1569114,2074,0,0,2,2,62,4,1233,4,passed
1,1570481,245,0,0,1,0,25,1,943,1,passed
1,1571128,0,0,0,0,0,1,1,441,1,passed
1,1572660,20,0,0,0,0,4,2,104,2,failed
1,1574132,1078,0,0,3,4,24,1,919,1,passed
1,1581087,250,0,0,0,1,7,2,14,2,passed
1,1594397,2,0,0,0,0,1,1,38,1,passed
1,1596461,0,0,0,0,0,2,1,97,1,passed
1,1597097,288,0,0,1,0,15,6,631,6,passed
1,1598537,26,0,0,0,0,1,1,10,1,passed
1,1604927,203,0,0,1,0,13,2,109,2,passed
1,1606568,318,0,0,1,1,3,1,89,1,passed
1,1613570,114,0,0,0,0,7,6,118,6,passed
1,1616871,904,0,14,1,4,16,1,228,1,passed
1,1626026,646,0,80,0,0,72,13,2094,13,passed
1,1630119,364,0,14,2,4,26,3,587,3,passed
1,1632673,428,0,2,2,1,16,2,709,2,failed
1,1632725,42,0,50,1,0,1,1,4,1,passed
1,1637412,1199,0,6,2,1,17,2,268,2,failed
1,1643924,13,0,0,0,0,6,5,501,5,failed
1,1643926,0,0,0,0,0,2,2,47,2,failed
1,1647842,0,0,0,0,0,2,2,21,2,failed
1,1651678,57,0,0,1,0,3,2,922,2,failed
1,1653001,511,0,0,0,0,58,6,1669,6,failed
1,1657593,0,0,0,0,0,1,1,85,1,failed
1,1657680,0,0,0,1,0,1,1,75,1,failed
