tr_build_id,gh_team_size,git_diff_src_churn,git_diff_test_churn,gh_diff_files_modified,gh_build_started_at,tr_status
11905123,53,0,0,1,2013-09-28 16:19:56,failed
11905554,53,0,0,1,2013-09-28 16:32:24,failed
11909050,53,0,31,2,2013-09-28 19:04:54,failed
11939345,53,397,21,12,2013-09-29 20:50:28,failed
11939991,53,0,0,8,2013-09-29 21:15:03,failed
11940402,53,2,0,1,2013-09-29 21:29:00,failed
11940428,53,86,26,8,2013-09-29 21:30:20,failed
11961149,53,2,0,1,2013-09-30 13:15:20,failed
11970184,53,200,23,2,2013-09-30 16:52:19,failed
11970192,53,200,23,2,2013-09-30 16:52:51,failed
11995231,53,28,0,5,2013-10-01 05:48:29,failed
11998744,53,0,0,1,2013-10-01 08:25:45,failed
12000630,53,0,0,1,2013-10-01 09:23:37,failed
12006951,53,585,495,54,2013-10-01 12:53:59,failed
12041894,53,0,0,1,2013-10-02 08:24:18,failed
12056896,53,0,0,4,2013-10-02 15:36:34,failed
12059401,53,18,34,2,2013-10-02 16:35:53,failed
12059404,53,18,34,2,2013-10-02 16:35:39,failed
12068911,53,304,164,12,2013-10-02 20:29:17,failed
12094010,53,0,0,4,2013-10-03 14:19:15,failed
12124273,54,0,0,1,2013-10-04 07:38:14,failed
12125788,54,0,0,2,2013-10-04 08:54:03,failed
12127956,54,0,0,1,2013-10-04 10:16:15,failed
12139472,54,2848,0,8,2013-10-04 15:55:42,failed
12139626,54,2848,0,8,2013-10-04 15:59:27,failed
12140499,54,0,0,1,2013-10-04 16:24:10,failed
12147849,54,23,0,3,2013-10-04 19:52:21,failed
12160818,54,0,26,1,2013-10-05 06:44:09,failed
12162991,54,0,25,1,2013-10-05 09:23:35,failed
12163510,54,0,5,1,2013-10-05 09:53:49,failed
12269130,54,0,0,1,2013-10-08 10:54:34,failed
12310844,54,0,4,2,2013-10-09 08:57:24,failed
12405369,53,0,10,3,2013-10-11 07:25:29,passed
12438807,54,9,6,5,2013-10-11 21:44:45,failed
12451541,54,45,0,1,2013-10-12 09:33:13,passed
12452015,54,73,49,2,2013-10-12 10:04:47,failed
12452701,54,24,110,1,2013-10-12 10:39:01,failed
12463123,54,22,0,1,2013-10-12 17:50:50,failed
12484325,54,87,0,12,2013-10-13 13:52:23,passed
12487011,54,104,291,7,2013-10-13 15:46:14,passed
12487016,54,86,40,8,2013-10-13 15:46:29,passed
12487436,54,0,0,1,2013-10-13 16:02:40,failed
12488718,54,0,0,2,2013-10-13 16:56:46,failed
12488771,54,0,0,1,2013-10-13 16:59:14,passed
12509899,54,0,0,0,2013-10-14 08:17:21,passed
12526291,54,0,0,12,2013-10-14 15:59:36,failed
12526710,54,9,6,5,2013-10-14 16:08:09,passed
12528174,54,1,23,5,2013-10-14 16:47:15,passed
12548620,54,0,0,1,2013-10-15 01:11:39,passed
12566949,54,12,49,2,2013-10-15 12:47:17,passed
12608210,54,0,0,1,2013-10-16 08:36:15,passed
12612656,54,45,0,4,2013-10-16 11:06:46,passed
12645160,54,48,11,3,2013-10-16 23:48:54,passed
12715715,54,582,188,17,2013-10-18 12:38:06,failed
12736238,54,123,30,11,2013-10-18 20:47:40,passed
12758011,54,35,0,2,2013-10-19 15:02:29,passed
12758018,54,88,30,9,2013-10-19 15:03:28,passed
12789761,54,19,5,2,2013-10-20 16:02:39,passed
12791457,54,6,34,1,2013-10-20 16:53:10,passed
12806475,54,0,0,3,2013-10-21 01:37:12,failed
12806627,54,0,0,2,2013-10-21 01:43:10,passed
12830961,54,4,0,3,2013-10-21 15:03:08,failed
12838386,54,16,0,1,2013-10-21 17:39:20,failed
12863623,54,0,0,1,2013-10-22 05:27:32,passed
12870262,54,0,0,1,2013-10-22 09:30:50,passed
12906930,54,2,0,4,2013-10-22 23:15:34,passed
12918795,54,594,188,17,2013-10-23 07:17:21,failed
12920361,54,5604,1750,127,2013-10-23 08:19:06,failed
12928221,54,0,17,2,2013-10-23 12:20:39,passed
12929679,54,0,0,1,2013-10-23 13:01:31,passed
12930510,54,0,0,1,2013-10-23 13:20:54,failed
12933737,54,0,0,1,2013-10-23 14:26:38,passed
12937673,54,2,0,4,2013-10-23 15:40:44,passed
12940289,54,280,421,14,2013-10-23 16:31:01,passed
12941860,54,58,39,2,2013-10-23 17:05:20,failed
12959419,54,86,29,7,2013-10-23 23:12:08,failed
12966597,54,1940,212,2,2013-10-24 03:58:47,passed
12973638,54,0,0,1,2013-10-24 08:31:04,passed
12981274,54,1940,212,2,2013-10-24 11:57:46,failed
12983507,54,0,0,1,2013-10-24 12:53:57,failed
12983596,54,0,0,1,2013-10-24 12:55:37,failed
12984367,54,0,0,1,2013-10-24 13:16:16,passed
12992190,54,0,0,1,2013-10-24 15:51:25,passed
13030999,54,54,0,1,2013-10-25 10:22:23,failed
13076963,54,134,83,1,2013-10-26 10:10:02,passed
13077637,54,0,3,1,2013-10-26 10:49:31,passed
13081436,54,0,2,1,2013-10-26 13:18:50,passed
13082063,54,0,6,1,2013-10-26 13:42:50,passed
13091564,54,0,0,1,2013-10-26 19:35:50,passed
13112327,54,14,7,2,2013-10-27 13:23:30,failed
13113145,54,0,3,1,2013-10-27 13:56:47,passed
13121515,54,15,0,2,2013-10-27 18:40:57,passed
13158895,54,4,39,2,2013-10-28 15:14:47,failed
13161891,54,17934,5505,321,2013-10-28 16:08:56,passed
13213073,54,0,0,1,2013-10-29 15:11:11,failed
13222728,54,29,21,2,2013-10-29 18:09:57,failed
13240992,53,0,0,1,2013-10-30 01:21:50,passed
13241114,53,0,0,1,2013-10-30 01:26:11,passed
13275217,53,2,34,2,2013-10-30 18:02:26,passed
13290373,53,0,0,1,2013-10-30 23:16:12,passed
13307011,53,0,0,1,2013-10-31 10:11:32,passed
13308304,53,0,0,1,2013-10-31 10:49:12,passed
13308842,53,25,11,2,2013-10-31 11:00:37,passed
13327312,53,0,0,3,2013-10-31 17:16:21,passed
13327940,53,0,0,3,2013-10-31 17:25:53,passed
13357182,53,0,0,1,2013-11-01 10:02:19,passed
13357715,53,0,72,2,2013-11-01 10:24:53,passed
13359994,53,0,0,2,2013-11-01 11:48:13,passed
13369226,53,1,0,4,2013-11-01 15:40:33,passed
13430049,53,0,0,2,2013-11-03 10:50:53,passed
13430186,53,0,0,5,2013-11-03 10:59:47,passed
13471043,53,0,0,2,2013-11-04 13:12:23,passed
13579837,53,16,0,5,2013-11-06 13:24:47,passed
13634475,54,55,19,2,2013-11-07 14:18:23,passed
13680527,54,0,0,1,2013-11-08 11:46:37,passed
13691328,54,1027,509,11,2013-11-08 15:47:49,failed
13728465,54,48,0,0,2013-11-09 13:43:53,passed
13740447,54,2,0,1,2013-11-09 19:57:19,passed
13765640,54,12,0,2,2013-11-10 15:23:03,passed
13796192,55,16,0,5,2013-11-11 09:20:43,passed
13798914,55,0,0,1,2013-11-11 10:40:45,passed
13806653,55,31,0,3,2013-11-11 14:18:52,failed
13810431,55,12,0,2,2013-11-11 15:37:35,failed
13887799,55,128,46,2,2013-11-13 00:16:16,failed
13889314,55,0,1,1,2013-11-13 00:53:26,passed
13906701,55,34,16,7,2013-11-13 10:42:02,passed
13947429,55,0,0,1,2013-11-14 01:49:38,passed
13947541,55,16,0,6,2013-11-14 01:53:17,passed
13993210,55,0,0,20,2013-11-14 21:27:19,passed
13993526,55,0,0,29,2013-11-14 21:35:10,passed
13994006,55,0,0,16,2013-11-14 21:44:06,failed
14023655,55,0,0,5,2013-11-15 14:08:38,failed
14025148,55,0,0,1,2013-11-15 14:40:30,failed
14025164,55,16,0,6,2013-11-15 14:40:36,passed
14033776,55,1087,0,2,2013-11-15 17:37:07,failed
14035074,55,0,0,2,2013-11-15 18:07:08,passed
14092972,55,0,0,1,2013-11-17 13:16:52,passed
14093569,55,0,0,1,2013-11-17 13:21:27,passed
14094009,55,0,0,1,2013-11-17 13:26:38,passed
14097763,55,128,47,2,2013-11-17 14:09:21,passed
14120705,55,0,0,1,2013-11-18 02:51:51,passed
14132761,55,89,0,2,2013-11-18 10:25:30,passed
14145361,55,3,157,6,2013-11-18 15:47:56,failed
14145763,55,29,3,2,2013-11-18 15:57:35,passed
14145814,55,7,5,2,2013-11-18 15:57:59,failed
14149432,55,0,0,1,2013-11-18 17:02:33,failed
14169338,55,93,198,2,2013-11-18 23:24:43,passed
14191776,55,0,0,2,2013-11-19 11:18:17,passed
14222146,55,16,275,5,2013-11-19 22:06:01,failed
14222180,55,0,8,1,2013-11-19 22:08:12,passed
14314774,55,23,22,4,2013-11-21 14:55:57,failed
14318587,55,79,40,4,2013-11-21 16:10:54,passed
14447755,55,181,198,11,2013-11-24 13:47:42,failed
14592580,56,0,0,1,2013-11-27 09:52:01,failed
14596733,56,0,0,1,2013-11-27 11:47:48,passed
14602290,56,2,20,3,2013-11-27 14:15:03,failed
14664537,56,1556,0,2,2013-11-28 16:23:49,passed
14731636,55,0,0,0,2013-11-30 10:19:48,failed
14742412,55,127,38,4,2013-11-30 18:32:50,passed
14765259,55,12,34,4,2013-12-01 14:10:08,passed
14827384,55,248,0,1,2013-12-02 20:57:34,failed
14857254,55,4,8,2,2013-12-03 10:55:30,failed
14858822,55,4,12,2,2013-12-03 11:32:17,failed
14865869,55,50,9,5,2013-12-03 14:16:16,passed
14877985,55,88,15,3,2013-12-03 17:59:56,passed
14879597,55,186,0,1,2013-12-03 18:31:47,passed
14896753,55,332,44,14,2013-12-03 23:55:12,passed
14902873,55,0,0,3,2013-12-04 02:56:31,failed
14920309,55,1556,0,2,2013-12-04 12:46:27,failed
14932363,55,33,0,1,2013-12-04 16:44:50,passed
14975082,55,16,267,5,2013-12-05 10:33:05,failed
15029318,53,0,0,1,2013-12-06 09:18:41,passed
15091383,52,505,0,3,2013-12-07 16:40:06,failed
15127279,52,62,0,0,2013-12-08 16:36:35,failed
15128787,52,0,0,156,2013-12-08 17:35:05,failed
15162332,52,93,155,3,2013-12-09 11:13:47,failed
15165635,52,181,198,11,2013-12-09 12:35:47,failed
15167076,52,0,0,1,2013-12-09 13:13:58,failed
15189124,52,39,26,5,2013-12-09 20:31:02,failed
15212515,52,157,186,4,2013-12-10 08:04:30,failed
15216256,52,1,0,1,2013-12-10 09:53:09,failed
15269765,52,2,0,1,2013-12-11 07:22:07,failed
15368882,52,0,0,1,2013-12-12 22:07:40,failed
15372102,52,0,0,1,2013-12-12 23:06:57,passed
15389769,52,0,0,6,2013-12-13 09:35:43,failed
15390645,52,157,186,4,2013-12-13 09:53:35,failed
15390941,52,0,0,0,2013-12-13 09:59:09,passed
15393057,52,18,19,3,2013-12-13 10:55:19,failed
15399505,52,12,7,2,2013-12-13 13:46:19,failed
15440436,52,0,0,3,2013-12-14 10:09:40,failed
15483320,51,146,54,5,2013-12-15 16:04:31,failed
15510051,51,333,266,24,2013-12-16 06:43:33,passed
15515759,51,0,0,2,2013-12-16 09:59:46,failed
15580537,51,1647,298,8,2013-12-17 12:07:39,failed
15646663,51,249,14,6,2013-12-18 13:48:43,failed
16187187,51,0,0,3,2013-12-31 14:17:09,failed
16187204,51,4010,5440,3,2013-12-31 14:18:18,passed
16306029,51,624,221,15,2014-01-03 09:21:09,passed
16307425,51,51,26,3,2014-01-03 10:00:59,failed
16511125,51,0,51,1,2014-01-07 07:09:33,failed
16532994,51,67,12,9,2014-01-07 16:07:14,failed
16556692,51,1604,117,3,2014-01-07 22:47:59,failed
16559719,51,335,193,15,2014-01-07 23:40:10,failed
16588352,51,152,46,5,2014-01-08 13:18:07,failed
16621179,51,553,9,4,2014-01-08 23:35:32,passed
16633366,51,5,63,2,2014-01-09 05:00:26,passed
16641195,51,4,0,1,2014-01-09 08:59:30,failed
16642156,51,0,0,6,2014-01-09 09:22:45,failed
16663060,51,553,9,4,2014-01-09 16:01:00,failed
16707006,52,0,0,6,2014-01-10 08:01:08,failed
16708313,52,333,193,15,2014-01-10 08:45:03,failed
16709859,52,0,0,1,2014-01-10 09:17:02,failed
16718445,52,0,0,1,2014-01-10 12:24:08,passed
16730674,52,0,0,1,2014-01-10 16:00:46,failed
16737367,52,4,0,1,2014-01-10 17:48:09,failed
16738321,52,0,23,1,2014-01-10 18:04:17,failed
16741769,52,0,23,1,2014-01-10 19:03:02,failed
16752306,52,0,0,1,2014-01-10 22:31:22,failed
16873475,50,0,23,1,2014-01-13 15:39:03,failed
16888703,50,6,0,1,2014-01-13 20:17:47,failed
16926917,50,0,12,9,2014-01-14 11:34:44,failed
16929908,50,60,0,1,2014-01-14 12:36:29,failed
16932513,50,1248,0,0,2014-01-14 13:36:24,failed
16985603,49,0,12,9,2014-01-15 09:48:50,failed
16985813,49,12,0,1,2014-01-15 09:56:17,failed
16987705,49,6,0,1,2014-01-15 10:41:06,failed
16987823,49,0,0,6,2014-01-15 10:43:43,failed
16990433,49,6,0,1,2014-01-15 11:43:06,failed
16990436,49,2238,6,2,2014-01-15 11:44:43,failed
17053913,49,6,2,2,2014-01-16 10:48:37,failed
17053924,49,0,45,0,2014-01-16 10:48:53,failed
17061287,49,62,0,1,2014-01-16 13:46:03,failed
17115083,49,62,0,1,2014-01-17 08:50:39,failed
17115935,49,990,6,2,2014-01-17 09:19:53,failed
17124646,49,2,0,1,2014-01-17 12:38:06,failed
17131886,49,25,52,3,2014-01-17 14:52:48,failed
17183247,48,0,0,6,2014-01-18 14:47:59,failed
17183833,48,0,0,1,2014-01-18 15:03:01,failed
17191010,48,3,489,18,2014-01-18 18:36:09,failed
17254498,48,7,12,3,2014-01-20 04:33:51,failed
17277130,48,0,0,1,2014-01-20 14:01:44,failed
17280716,48,0,0,1,2014-01-20 15:09:01,failed
17288007,48,0,0,1,2014-01-20 17:15:37,failed
17289714,48,0,0,1,2014-01-20 17:43:27,failed
17402312,47,0,6,2,2014-01-22 11:00:35,failed
17468971,47,2,0,1,2014-01-23 10:44:08,failed
17537694,46,12,8,4,2014-01-24 10:33:42,failed
17657154,46,4,19,2,2014-01-26 19:09:00,failed
17691677,46,174,0,1,2014-01-27 11:37:33,failed
17878787,45,0,0,1,2014-01-30 01:29:22,failed
18117677,43,4,0,2,2014-02-03 09:34:19,failed
18119582,43,0,0,3,2014-02-03 10:21:11,failed
18160715,43,37,6,3,2014-02-03 22:14:56,failed
18193251,43,32,115,9,2014-02-04 11:30:07,failed
18277172,43,32,115,9,2014-02-05 15:19:18,passed
18278054,43,20,0,2,2014-02-05 15:34:52,failed
