,Unnamed: 0,project,algorithm,batch_size,confidence,builds_reqd,median_delay,testall_size
113,113,rails.csv,BATCHBISECT,16,20,78.76048218029351,8.0,7632
114,114,rails.csv,BATCHSTOP4,4,2,65.33018867924528,1.0,7632
115,115,rails.csv,BATCHSTOP4,4,3,62.5,1.0,7632
116,116,rails.csv,BATCHSTOP4,4,4,60.91457023060797,2.0,7632
117,117,rails.csv,BATCHSTOP4,4,5,59.23742138364779,2.0,7632
118,118,rails.csv,BATCHSTOP4,4,6,58.38574423480083,2.0,7632
119,119,rails.csv,BATCHSTOP4,4,7,58.08438155136268,2.0,7632
120,120,rails.csv,BATCHSTOP4,4,8,57.38993710691825,2.0,7632
121,121,rails.csv,BATCHSTOP4,4,9,56.7479035639413,2.0,7632
122,122,rails.csv,BATCHSTOP4,4,10,56.09276729559748,2.0,7632
123,123,rails.csv,BATCHSTOP4,4,11,55.72589098532495,2.0,7632
124,124,rails.csv,BATCHSTOP4,4,12,55.38522012578616,2.0,7632
125,125,rails.csv,BATCHSTOP4,4,13,54.87421383647799,2.0,7632
126,126,rails.csv,BATCHSTOP4,4,14,54.87421383647799,2.0,7632
127,127,rails.csv,BATCHSTOP4,4,15,54.63836477987422,2.0,7632
128,128,rails.csv,BATCHSTOP4,4,16,54.50733752620544,2.0,7632
129,129,rails.csv,BATCHSTOP4,4,17,54.00943396226416,2.0,7632
130,130,rails.csv,BATCHSTOP4,4,18,53.97012578616352,2.0,7632
131,131,rails.csv,BATCHSTOP4,4,19,53.878406708595385,2.0,7632
132,132,rails.csv,BATCHSTOP4,4,20,53.85220125786164,2.0,7632
133,133,rails.csv,BATCHSTOP4,8,2,70.75471698113208,4.0,7632
134,134,rails.csv,BATCHSTOP4,8,3,70.38784067085953,3.0,7632
135,135,rails.csv,BATCHSTOP4,8,4,69.90303983228512,3.0,7632
136,136,rails.csv,BATCHSTOP4,8,5,68.23899371069183,3.0,7632
137,137,rails.csv,BATCHSTOP4,8,6,67.07285115303982,3.0,7632
138,138,rails.csv,BATCHSTOP4,8,7,67.79350104821803,3.0,7632
139,139,rails.csv,BATCHSTOP4,8,8,67.19077568134172,3.0,7632
140,140,rails.csv,BATCHSTOP4,8,9,67.02044025157232,3.0,7632
141,141,rails.csv,BATCHSTOP4,8,10,67.0335429769392,4.0,7632
142,142,rails.csv,BATCHSTOP4,8,11,66.95492662473795,4.0,7632
143,143,rails.csv,BATCHSTOP4,8,12,66.40461215932915,4.0,7632
144,144,rails.csv,BATCHSTOP4,8,13,66.1556603773585,4.0,7632
145,145,rails.csv,BATCHSTOP4,8,14,66.35220125786164,4.0,7632
