project,B4_builds,B4_delay,B4_Batch,BB_builds,BB_delay,BB_Batch,BS4_builds,BS4_delay,BS4_Batch
metasploit-framework,0,0,0,0,0,0,0,0,0
rails,0,0,0,0,0,0,0,0,0
fog,0,0,0,0,0,0,0,0,0
heroku,0,0,0,0,0,0,0,0,0
geoserver,0,0,0,0,0,0,0,0,0
graylog2-server,0,0,0,0,0,0,0,0,0
loomio,0,0,0,0,0,0,0,0,0
opal,0,0,0,0,0,0,0,0,0
gradle,0,0,0,0,0,0,0,0,0
rubinius,0,0,0,0,0,0,0,0,0
puppet,0,0,0,0,0,0,0,0,0
sufia,0,0,0,0,0,0,0,0,0
concerto,0,0,0,0,0,0,0,0,0
sonarqube,0,0,0,0,0,0,0,0,0
cloud_controller_ng,0,0,0,0,0,0,0,0,0
jruby,0,0,0,0,0,0,0,0,0
orbeon-forms,0,0,0,0,0,0,0,0,0
open-build-service,0,0,0,0,0,0,0,0,0
vagrant,0,0,0,0,0,0,0,0,0
cloudify,0,0,0,0,0,0,0,0,0
