project,B4_builds,B4_delay,B4_Batch,BB_builds,BB_delay,BB_Batch,BS4_builds,BS4_delay,BS4_Batch
metasploit-framework,9.064327239990234,2.0,4,7.33430814743042,1.0,2,10.380117416381836,4.0,8
rails,53.85219955444336,2.0,4,43.80241012573242,1.0,2,65.85430145263672,4.0,8
fog,56.2169303894043,2.0,4,49.007938385009766,1.0,2,65.54232788085938,4.0,8
heroku,35.911109924316406,2.0,4,28.35555648803711,1.0,2,43.022220611572266,4.0,8
geoserver,85.49618530273438,2.0,4,94.2323989868164,1.0,2,98.38846588134766,4.0,8
graylog2-server,9.098862648010254,2.0,4,7.436570644378662,1.0,2,9.448819160461426,4.0,8
loomio,42.6767692565918,2.0,4,34.5959587097168,1.0,2,51.641414642333984,4.0,8
opal,15.52706527709961,2.0,4,11.82336139678955,1.0,2,19.088319778442383,4.0,8
gradle,8.878504753112793,2.0,4,7.372793197631836,1.0,2,9.761162757873535,4.0,8
rubinius,69.84785461425781,2.0,4,61.77962112426758,1.0,2,81.83494567871094,4.0,8
puppet,11.505122184753418,2.0,4,8.510638236999512,1.0,2,13.159968376159668,4.0,8
sufia,18.21895408630371,2.0,4,14.379084587097168,1.0,2,22.95751571655273,4.0,8
concerto,16.66666603088379,2.0,4,12.3993558883667,1.0,2,20.692432403564453,4.0,8
sonarqube,28.47953224182129,2.0,4,22.163742065429688,1.0,2,35.32163619995117,4.0,8
cloud_controller_ng,38.81172943115234,2.0,4,30.24691390991211,1.0,2,48.456790924072266,4.0,8
jruby,110.66398620605467,2.0,4,118.7793426513672,1.0,2,123.4294662475586,4.0,8
orbeon-forms,95.04273223876952,2.0,4,101.88034057617188,1.0,2,109.82906341552734,4.0,8
open-build-service,43.0493278503418,2.0,4,34.47932052612305,1.0,2,54.06078720092773,4.0,8
vagrant,13.946044921875,2.0,4,11.156835556030272,1.0,2,17.786922454833984,4.0,8
cloudify,34.02537536621094,2.0,4,33.064205169677734,1.0,2,39.2156867980957,4.0,8
