,ml_project,ml_B4_builds,ml_B4_delay,ml_B4_Batch,ml_BB_builds,ml_BB_delay,ml_BB_Batch,ml_BS4_builds,ml_BS4_delay,ml_BS4_Batch,tr_project,tr_B4_builds,tr_B4_delay,tr_B4_Batch,tr_BB_builds,tr_BB_delay,tr_BB_Batch,tr_BS4_builds,tr_BS4_delay,tr_BS4_Batch,Unnamed: 0,project,B4_builds,B4_delay,B4_Batch,BB_builds,BB_delay,BB_Batch,BS4_builds,BS4_delay,BS4_Batch,SBS_builds,SBS_delay
0,metasploit-framework,34.039961013645225,2.0,4,28.53313840155945,8.0,16,27.997076023391813,8.0,16,metasploit-framework,9.064327239990234,2.0,4,7.33430814743042,1.0,2,10.380117416381836,4.0,8,14,cloud_controller_ng,74.69135802469135,1.5,4,80.40123456790123,1.5,4,80.0925925925926,3.5,8,11.265432098765432,7.0
1,rails,44.4706498951782,2.0,4,36.29454926624738,1.0,2,64.08542976939204,4.0,8,rails,53.85219955444336,2.0,4,43.80241012573242,1.0,2,65.85430145263672,4.0,8,19,cloudify,45.25182622068435,2.0,4,42.86812764321415,8.0,16,38.63898500576701,8.0,16,16.955017301038062,16.0
2,fog,69.77513227513228,2.0,4,64.08730158730158,1.0,2,86.3095238095238,4.0,8,fog,56.2169303894043,2.0,4,49.007938385009766,1.0,2,65.54232788085938,4.0,8,12,concerto,45.97423510466989,2.0,4,44.12238325281803,4.0,8,42.190016103059584,4.0,8,3.864734299516908,30.0
3,heroku,36.266666666666666,2.0,4,38.13333333333333,1.0,2,42.31111111111111,4.0,8,heroku,35.911109924316406,2.0,4,28.35555648803711,1.0,2,43.022220611572266,4.0,8,2,fog,83.73015873015873,1.5,4,93.91534391534393,0.5,2,89.74867724867725,3.5,8,26.58730158730159,7.0
4,geoserver,87.02290076335878,2.0,4,71.2468193384224,1.0,2,103.39270568278202,4.0,8,geoserver,85.49618530273438,2.0,4,94.2323989868164,1.0,2,98.38846588134766,4.0,8,4,geoserver,99.4910941475827,2.0,4,108.2273112807464,1.0,2,108.48176420695503,4.0,8,62.00169635284139,4.0
5,graylog2-server,30.70866141732283,2.0,4,23.009623797025373,8.0,16,21.95975503062117,8.0,16,graylog2-server,9.098862648010254,2.0,4,7.436570644378662,1.0,2,9.448819160461426,4.0,8,8,gradle,44.54828660436137,2.0,4,40.965732087227416,4.0,8,39.51194184839045,4.0,8,0.8826583592938733,53.0
6,loomio,54.10353535353536,2.0,4,57.26010101010101,1.0,2,73.86363636363636,4.0,8,loomio,42.6767692565918,2.0,4,34.5959587097168,1.0,2,51.641414642333984,4.0,8,5,graylog2-server,34.99562554680665,2.0,4,23.79702537182852,8.0,16,22.747156605424323,8.0,16,1.2248468941382329,12.0
7,opal,35.3988603988604,2.0,4,36.68091168091168,2.0,4,36.53846153846154,4.0,8,opal,15.52706527709961,2.0,4,11.82336139678955,1.0,2,19.088319778442383,4.0,8,3,heroku,53.333333333333336,2.0,4,55.644444444444446,4.0,8,51.37777777777778,4.0,8,14.577777777777778,11.0
8,gradle,37.59086188992731,2.0,4,38.62928348909657,2.0,4,37.85046728971962,4.0,8,gradle,8.878504753112793,2.0,4,7.372793197631836,1.0,2,9.761162757873535,4.0,8,15,jruby,108.40599150458306,2.0,4,121.37268052761011,1.0,2,119.27118265146434,4.0,8,79.32036664431031,3.0
9,rubinius,73.99723374827109,2.0,4,63.11664361456893,1.0,2,88.15122176118027,4.0,8,rubinius,69.84785461425781,2.0,4,61.77962112426758,1.0,2,81.83494567871094,4.0,8,6,loomio,73.4848484848485,1.5,4,82.82828282828282,1.5,4,78.03030303030302,3.5,8,17.2979797979798,10.0
10,puppet,31.20567375886525,2.0,4,23.48305752561072,4.0,8,23.01024428684003,4.0,8,puppet,11.505122184753418,2.0,4,8.510638236999512,1.0,2,13.159968376159668,4.0,8,0,metasploit-framework,37.4756335282651,1.5,4,28.971734892787524,8.0,16,28.435672514619885,8.0,16,1.023391812865497,80.0
11,sufia,47.22222222222222,2.0,4,49.83660130718954,2.0,4,47.87581699346405,4.0,8,sufia,18.21895408630371,2.0,4,14.379084587097168,1.0,2,22.95751571655273,4.0,8,7,opal,43.51851851851852,1.5,4,40.883190883190885,4.0,8,39.458689458689456,4.0,8,3.490028490028491,19.0
12,concerto,39.45249597423511,2.0,4,40.41867954911433,4.0,8,38.486312399355874,4.0,8,concerto,16.66666603088379,2.0,4,12.3993558883667,1.0,2,20.692432403564453,4.0,8,17,open-build-service,69.3572496263079,2.0,4,76.3328350772297,2.0,4,72.34678624813154,4.0,8,16.542102640757346,7.0
13,sonarqube,48.36257309941521,2.0,4,51.16959064327485,1.0,2,52.39766081871345,4.0,8,sonarqube,28.47953224182129,2.0,4,22.163742065429688,1.0,2,35.32163619995117,4.0,8,16,orbeon-forms,80.08547008547009,2.0,4,96.83760683760684,0.5,2,82.82051282051282,4.0,8,64.44444444444444,2.0
14,cloud_controller_ng,62.26851851851852,2.0,4,55.55555555555556,1.0,2,74.6141975308642,4.0,8,cloud_controller_ng,38.81172943115234,2.0,4,30.24691390991211,1.0,2,48.456790924072266,4.0,8,10,puppet,35.30338849487786,2.0,4,25.13790386130812,8.0,16,24.50748620961387,8.0,16,1.7336485421591803,22.0
15,jruby,73.06058573664207,2.0,4,62.620165437066845,1.0,2,103.59937402190924,4.0,8,jruby,110.66398620605467,2.0,4,118.7793426513672,1.0,2,123.4294662475586,4.0,8,1,rails,72.79874213836477,1.5,4,82.9664570230608,1.5,4,76.75576519916143,3.5,8,24.10901467505241,6.0
16,orbeon-forms,63.333333333333336,2.0,4,67.26495726495726,1.0,2,73.93162393162393,4.0,8,orbeon-forms,95.04273223876952,2.0,4,101.88034057617188,1.0,2,109.82906341552734,4.0,8,9,rubinius,84.87782388197326,2.0,4,92.07007837713232,1.0,2,90.96357768556938,4.0,8,30.751498386353152,5.0
17,open-build-service,51.96811160936721,2.0,4,45.889387144992526,1.0,2,60.488290981564525,4.0,8,open-build-service,43.0493278503418,2.0,4,34.47932052612305,1.0,2,54.06078720092773,4.0,8,13,sonarqube,56.60818713450293,2.0,4,60.23391812865496,2.0,4,56.72514619883041,4.0,8,8.187134502923977,17.0
18,vagrant,26.428898033836305,2.0,4,28.440786465477824,4.0,8,25.51440329218107,4.0,8,vagrant,13.946044921875,2.0,4,11.156835556030272,1.0,2,17.786922454833984,4.0,8,11,sufia,51.79738562091503,1.5,4,53.51307189542484,3.5,8,49.75490196078432,3.5,8,4.411764705882353,23.5
19,cloudify,21.10726643598616,2.0,4,23.9523260284506,2.0,4,28.489042675893888,4.0,8,cloudify,34.02537536621094,2.0,4,33.064205169677734,1.0,2,39.2156867980957,4.0,8,18,vagrant,39.551897576588935,2.0,4,33.83630544124371,8.0,16,30.818472793781435,8.0,16,2.377686328303612,27.0
