,project,algorithm,batch_size,builds_reqd,median_delay,testall_size,method
33,metasploit-framework.csv,BATCHBISECT,2,56.92105263157895,0.5,7600,gr
34,metasploit-framework.csv,BATCHBISECT,4,37.97368421052632,1.5,7600,gr
35,metasploit-framework.csv,BATCHBISECT,8,30.63157894736842,3.5,7600,gr
36,metasploit-framework.csv,BATCHBISECT,16,28.67105263157895,7.5,7600,gr
38,metasploit-framework.csv,BATCHSTOP4,8,29.76315789473684,3.5,7600,gr
39,metasploit-framework.csv,BATCHSTOP4,16,27.80263157894737,7.5,7600,gr
101,opal.csv,BATCH4,4,45.39143848823756,2.0,2593,gr
96,opal.csv,BATCHBISECT,1,100.0,0.0,2593,gr
97,opal.csv,BATCHBISECT,2,61.97454685692249,1.0,2593,gr
98,opal.csv,BATCHBISECT,4,47.16544543000386,2.0,2593,gr
99,opal.csv,BATCHBISECT,8,43.30890860007713,4.0,2593,gr
100,opal.csv,BATCHBISECT,16,43.84882375626688,8.0,2593,gr
102,opal.csv,BATCHSTOP4,8,41.53490165831084,4.0,2593,gr
103,opal.csv,BATCHSTOP4,16,42.07481681450058,8.0,2593,gr
69,open-build-service.csv,BATCH4,4,69.24111948331539,1.5,3716,gr
64,open-build-service.csv,BATCHBISECT,1,100.0,0.0,3716,gr
65,open-build-service.csv,BATCHBISECT,2,80.57050592034446,0.5,3716,gr
66,open-build-service.csv,BATCHBISECT,4,77.69106566200216,1.5,3716,gr
67,open-build-service.csv,BATCHBISECT,8,81.67384284176534,4.0,3716,gr
68,open-build-service.csv,BATCHBISECT,16,86.03336921420883,8.0,3716,gr
70,open-build-service.csv,BATCHSTOP4,8,73.22389666307858,4.0,3716,gr
71,open-build-service.csv,BATCHSTOP4,16,77.58342303552206,8.0,3716,gr
149,orbeon-forms.csv,BATCH4,4,83.59519408502773,1.5,2164,gr
144,orbeon-forms.csv,BATCHBISECT,1,100.0,0.0,2164,gr
145,orbeon-forms.csv,BATCHBISECT,2,101.29390018484288,0.5,2164,gr
146,orbeon-forms.csv,BATCHBISECT,4,105.59149722735674,1.5,2164,gr
147,orbeon-forms.csv,BATCHBISECT,8,110.39741219963032,4.0,2164,gr
148,orbeon-forms.csv,BATCHBISECT,16,114.04805914972272,8.0,2164,gr
150,orbeon-forms.csv,BATCHSTOP4,8,88.4011090573013,4.0,2164,gr
151,orbeon-forms.csv,BATCHSTOP4,16,92.05175600739372,8.0,2164,gr
117,puppet.csv,BATCH4,4,37.3134328358209,2.0,2345,gr
112,puppet.csv,BATCHBISECT,1,100.0,0.0,2345,gr
113,puppet.csv,BATCHBISECT,2,57.10021321961621,1.0,2345,gr
