,project,method,algorithm,batch_size,builds_reqd,batch_delays,sbs_delays
308.0,loomio.csv,ssr,BATCHBISECT,1,38.53658676147461,0.0,3.0
309.0,loomio.csv,ssr,BATCHBISECT,2,32.19512176513672,40.0,4.0
310.0,loomio.csv,ssr,BATCHBISECT,4,40.4878044128418,150.0,7.0
311.0,loomio.csv,ssr,BATCHBISECT,8,36.58536529541016,364.0,9.5
312.0,loomio.csv,ssr,BATCHBISECT,16,63.41463470458984,1171.0,14.0
313.0,puppet.csv,ssr,BATCHSTOP4,4,4.34782600402832,18.0,3.0
314.0,puppet.csv,ssr,BATCHSTOP4,8,4.34782600402832,57.0,11.0
315.0,puppet.csv,ssr,BATCHSTOP4,16,14.492753982543944,240.0,[0]
316.0,puppet.csv,ssr,BATCH4,4,4.34782600402832,18.0,3.0
317.0,puppet.csv,ssr,BATCHBISECT,1,5.7971014976501465,0.0,3
318.0,puppet.csv,ssr,BATCHBISECT,2,4.34782600402832,3.0,3.0
319.0,puppet.csv,ssr,BATCHBISECT,4,4.34782600402832,18.0,3.0
320.0,puppet.csv,ssr,BATCHBISECT,8,4.34782600402832,57.0,11.0
321.0,puppet.csv,ssr,BATCHBISECT,16,17.39130401611328,240.0,[0]
322.0,orbeon-forms.csv,ssr,BATCHSTOP4,4,22.317596435546875,144.0,5
323.0,orbeon-forms.csv,ssr,BATCHSTOP4,8,38.19742584228516,476.0,12.5
324.0,orbeon-forms.csv,ssr,BATCHSTOP4,16,54.93562316894531,1440.0,5
325.0,orbeon-forms.csv,ssr,BATCH4,4,22.317596435546875,144.0,5
326.0,orbeon-forms.csv,ssr,BATCHBISECT,1,35.19313430786133,0.0,2
327.0,orbeon-forms.csv,ssr,BATCHBISECT,2,25.321887969970703,41.0,3
328.0,orbeon-forms.csv,ssr,BATCHBISECT,4,22.317596435546875,144.0,5
329.0,orbeon-forms.csv,ssr,BATCHBISECT,8,39.05579376220703,476.0,12.5
330.0,orbeon-forms.csv,ssr,BATCHBISECT,16,54.93562316894531,1440.0,5
331.0,rubinius.csv,ssr,BATCHSTOP4,4,48.18181991577149,204.0,4.5
332.0,rubinius.csv,ssr,BATCHSTOP4,8,73.63636016845703,616.0,5
333.0,rubinius.csv,ssr,BATCHSTOP4,16,80.90908813476562,1518.0,5
334.0,rubinius.csv,ssr,BATCH4,4,48.18181991577149,204.0,4.5
335.0,rubinius.csv,ssr,BATCHBISECT,1,39.09090805053711,0.0,2.0
336.0,rubinius.csv,ssr,BATCHBISECT,2,50.90909194946289,64.0,3
337.0,rubinius.csv,ssr,BATCHBISECT,4,52.727272033691406,204.0,4.5
338.0,rubinius.csv,ssr,BATCHBISECT,8,78.18181610107422,616.0,5
339.0,rubinius.csv,ssr,BATCHBISECT,16,87.2727279663086,1518.0,5
340.0,metasploit-framework.csv,ssr,BATCHSTOP4,4,10.635538101196287,276.0,8.0
341.0,metasploit-framework.csv,ssr,BATCHSTOP4,8,11.15434455871582,952.0,10.5
342.0,metasploit-framework.csv,ssr,BATCHSTOP4,16,14.007781982421877,3175.0,11
343.0,metasploit-framework.csv,ssr,BATCH4,4,10.635538101196287,276.0,8.0
344.0,metasploit-framework.csv,ssr,BATCHBISECT,1,34.37094497680664,0.0,2.0
345.0,metasploit-framework.csv,ssr,BATCHBISECT,2,12.71076488494873,80.0,5
346.0,metasploit-framework.csv,ssr,BATCHBISECT,4,10.894941329956056,276.0,8.0
347.0,metasploit-framework.csv,ssr,BATCHBISECT,8,11.413748741149902,952.0,10.5
348.0,metasploit-framework.csv,ssr,BATCHBISECT,16,14.26718521118164,3175.0,11
349.0,sufia.csv,ssr,BATCHSTOP4,4,0.0,0.0,6
350.0,sufia.csv,ssr,BATCHSTOP4,8,0.0,0.0,6
351.0,sufia.csv,ssr,BATCHSTOP4,16,0.0,0.0,6
352.0,sufia.csv,ssr,BATCH4,4,0.0,0.0,6
353.0,sufia.csv,ssr,BATCHBISECT,1,5.263157844543457,0.0,2
354.0,sufia.csv,ssr,BATCHBISECT,2,0.0,0.0,6
355.0,sufia.csv,ssr,BATCHBISECT,4,0.0,0.0,6
356.0,sufia.csv,ssr,BATCHBISECT,8,0.0,0.0,6
357.0,sufia.csv,ssr,BATCHBISECT,16,0.0,0.0,6
358.0,jruby.csv,ssr,BATCHSTOP4,4,55.93220520019531,390.0,6
359.0,jruby.csv,ssr,BATCHSTOP4,8,78.93462371826172,1235.0,4.0
360.0,jruby.csv,ssr,BATCHSTOP4,16,87.65132904052734,2766.0,4.5
361.0,jruby.csv,ssr,BATCH4,4,55.93220520019531,390.0,6
362.0,jruby.csv,ssr,BATCHBISECT,1,55.447940826416016,0.0,2
363.0,jruby.csv,ssr,BATCHBISECT,2,56.17433547973633,134.0,3
364.0,jruby.csv,ssr,BATCHBISECT,4,60.77481842041016,390.0,6
365.0,jruby.csv,ssr,BATCHBISECT,8,84.74576568603516,1235.0,4.0
366.0,jruby.csv,ssr,BATCHBISECT,16,92.97821044921876,2766.0,4.5
367.0,vagrant.csv,ssr,BATCHSTOP4,4,13.380281448364258,108.0,8.0
368.0,vagrant.csv,ssr,BATCHSTOP4,8,10.563380241394045,336.0,7.0
369.0,vagrant.csv,ssr,BATCHSTOP4,16,15.845070838928224,1101.0,9
370.0,vagrant.csv,ssr,BATCH4,4,13.380281448364258,108.0,8.0
371.0,vagrant.csv,ssr,BATCHBISECT,1,14.788732528686523,0.0,3
372.0,vagrant.csv,ssr,BATCHBISECT,2,9.507041931152344,23.0,5
373.0,vagrant.csv,ssr,BATCHBISECT,4,13.380281448364258,108.0,8.0
374.0,vagrant.csv,ssr,BATCHBISECT,8,10.563380241394045,336.0,7.0
375.0,vagrant.csv,ssr,BATCHBISECT,16,15.845070838928224,1101.0,9
376.0,rails.csv,ssr,BATCHSTOP4,4,28.0297908782959,1020.0,5
377.0,rails.csv,ssr,BATCHSTOP4,8,37.576168060302734,2996.0,9
378.0,rails.csv,ssr,BATCHSTOP4,16,58.70006942749024,9480.0,11.5
379.0,rails.csv,ssr,BATCH4,4,28.0297908782959,1020.0,5
380.0,rails.csv,ssr,BATCHBISECT,1,52.60663604736328,0.0,2
381.0,rails.csv,ssr,BATCHBISECT,2,40.21665573120117,418.0,3.0
382.0,rails.csv,ssr,BATCHBISECT,4,29.383886337280277,1020.0,5
383.0,rails.csv,ssr,BATCHBISECT,8,39.20108413696289,2996.0,9
384.0,rails.csv,ssr,BATCHBISECT,16,60.7312126159668,9480.0,11.5
385.0,concerto.csv,ssr,BATCHSTOP4,4,14.137930870056152,126.0,9
