tr_build_id,patch_size,num_of_comments,test_file_changes,files_added,files_deleted,num_commits,frequency_file_change,num_of_reviewers,developer_experience,reviewer_experience
9581027,8,0,0,0,0,1,3659,0,333,333
9582427,4,0,0,0,0,1,3660,0,333,333
9584291,4,0,0,0,0,1,3661,0,333,333
9588181,4,0,0,0,0,1,3662,0,333,333
9595405,0,0,0,0,0,1,300,0,333,333
9602849,6,0,0,0,0,1,17,0,333,333
9616172,4,0,0,0,0,1,3663,0,334,334
9618676,4,0,0,0,0,1,3664,0,334,334
9624291,4,0,0,0,0,1,3665,0,334,334
9626042,4,0,0,0,0,1,3666,0,334,334
9632300,4,0,0,0,0,1,3667,0,334,334
9636853,5,0,0,0,0,2,352,0,334,334
9636886,4,0,0,0,0,1,3668,0,334,334
9638018,4,0,0,0,0,1,3669,0,334,334
9638894,4,0,0,0,0,1,3670,0,334,334
9640991,4,0,0,0,0,1,3671,0,335,335
9642902,4,0,0,0,0,1,3672,0,335,335
9652242,0,0,0,0,0,1,208,0,48,48
9660539,4,0,0,0,0,1,3673,0,335,335
9662216,4,0,0,0,0,1,3674,0,335,335
9664572,4,0,0,0,0,1,3675,0,335,335
9675598,4,0,0,0,0,1,3676,0,335,335
9681035,4,0,0,0,0,1,3677,0,335,335
9691293,3,0,0,0,0,1,1,0,264,264
9695795,4,0,0,0,0,1,3678,0,336,336
9705158,4,0,0,0,0,1,3679,0,336,336
9706489,4,0,0,0,0,1,3680,0,336,336
9711724,4,0,0,0,0,1,3681,0,336,336
9725067,4,0,0,0,0,1,3682,0,336,336
9725624,4,0,0,0,0,1,3683,0,336,336
9727877,4,0,0,0,0,1,3684,0,337,337
9730625,4,0,0,0,0,1,3685,0,337,337
9744497,4,0,0,0,0,1,3686,0,337,337
9744526,14,0,0,0,0,1,948,0,337,337
9747458,4,0,0,0,0,1,3687,0,337,337
9749787,4,0,0,0,0,1,3688,0,337,337
9752659,4,0,0,0,0,1,3689,0,337,337
9812192,4,0,0,0,0,1,3690,0,339,339
9813803,4,0,0,0,0,1,3691,0,339,339
9815344,4,0,0,0,0,1,3692,0,339,339
9823592,4,0,0,0,0,1,3693,0,339,339
9824381,4,0,0,0,0,1,3694,0,339,339
9824734,4,0,0,0,0,1,3695,0,339,339
9828928,4,0,0,0,0,1,3696,0,340,340
9835565,4,0,0,0,0,1,3697,0,340,340
9836843,4,0,0,0,0,1,3698,0,340,340
9837708,4,0,0,0,0,1,3699,0,340,340
9855178,4,0,0,0,0,1,3700,0,341,341
9856428,4,0,0,0,0,1,3701,0,341,341
9858253,0,0,0,0,0,1,132,0,334,334
9859469,0,0,0,0,0,1,198,0,334,334
9860648,4,0,0,0,0,1,3702,0,341,341
9861211,6,0,0,0,0,1,3703,0,341,341
9865419,0,0,0,0,0,1,199,0,334,334
9869626,6,0,0,0,0,1,3704,0,341,341
9870477,6,0,0,0,0,1,3705,0,341,341
9872420,6,0,0,0,0,1,3706,0,341,341
9875413,4,0,0,0,0,1,3707,0,341,341
9882194,4,0,0,0,0,1,3708,0,341,341
9891223,6,0,0,0,0,1,3709,0,341,341
9896322,0,0,0,0,0,1,148,0,335,335
9903683,57,0,0,0,0,2,922,0,329,329
9916799,4,0,0,0,0,1,3710,0,342,342
9935291,0,0,0,0,0,1,17,0,336,336
9938138,0,0,0,0,0,1,200,0,0,0
9938298,2149,0,191,13,0,10,481,0,342,342
9938453,4213,0,95,19,2,12,742,0,331,331
9939897,0,0,10,0,0,1,14,0,331,331
9941035,0,0,9,0,0,1,15,0,331,331
9942854,0,0,15,0,0,1,16,0,331,331
9944954,0,0,24,0,0,1,17,0,331,331
9946612,0,0,6,0,0,1,10,0,336,336
9954318,4,0,0,0,0,1,3711,0,343,343
9956119,4,0,0,0,0,1,3712,0,343,343
9958155,4,0,0,0,0,1,3713,0,343,343
9971916,4,0,0,0,0,1,3714,0,343,343
9974624,6,0,0,0,0,1,8,0,336,336
9977268,24,0,2,0,0,1,25,0,332,332
9977940,3,0,0,0,0,1,8,0,332,332
9978718,4,0,0,0,0,1,3715,0,344,344
9983861,10,0,0,0,0,1,41,0,342,342
9992632,31,0,0,0,0,2,81,0,337,337
9997868,4,0,0,0,0,1,3716,0,344,344
10000688,4,0,0,0,0,1,3717,0,344,344
10004567,4,0,0,0,0,1,3718,0,344,344
10005162,5,0,0,0,0,1,110,0,344,344
10006909,0,0,0,0,0,1,73,0,344,344
10015887,4,0,0,0,0,1,3719,0,344,344
10039236,4,0,0,0,0,1,3720,0,345,345
10041162,4,0,0,0,0,1,3721,0,345,345
10047717,4,0,0,0,0,1,3722,0,345,345
10050833,4,0,0,0,0,1,3723,0,345,345
10065188,4,0,0,0,0,1,3724,0,346,346
10067381,4,0,0,0,0,1,3725,0,346,346
10070018,4,0,0,0,0,1,3726,0,346,346
10071960,4,0,0,0,0,1,3727,0,346,346
10074325,4,0,0,0,0,1,3728,0,346,346
10077975,54,0,64,0,0,1,27,0,335,335
10080469,2,0,0,0,0,1,1,0,340,340
10081207,32,0,0,0,0,1,69,0,335,335
10082863,16,0,0,0,0,1,16,0,335,335
10089346,4,0,0,0,0,1,3729,0,347,347
10092560,4,0,0,0,0,1,3730,0,347,347
10095525,4,0,0,0,0,1,3731,0,347,347
10099023,4,0,0,0,0,1,3732,0,347,347
10101666,4,0,0,0,0,1,3733,0,347,347
10105013,71,0,0,0,0,1,4,0,340,340
10107407,76,0,0,0,0,1,5,0,340,340
10110207,13,0,0,0,0,1,80,0,336,336
10112477,74,0,0,0,0,1,3,0,336,336
10112836,275,0,0,0,0,2,117,0,347,347
10113532,5,0,0,0,0,1,68,0,347,347
10115693,78,0,0,0,0,2,119,0,341,341
10115762,59,0,0,0,0,1,127,0,341,341
10124533,4,0,0,0,0,1,3734,0,348,348
10129917,4,0,0,0,0,1,3735,0,348,348
10138642,4,0,0,0,0,1,3736,0,348,348
10141857,4,0,0,0,0,1,3737,0,348,348
10146168,0,0,29,0,0,1,12,0,341,341
10147746,4,0,0,0,0,1,3738,0,349,349
10155833,105,0,0,0,0,2,227,0,342,342
10159502,4,0,0,0,0,1,78,0,342,342
10166086,4,0,0,0,0,1,3739,0,349,349
10169809,4,0,0,0,0,1,3740,0,349,349
10173956,4,0,0,0,0,1,3741,0,349,349
10179684,4,0,0,0,0,1,3742,0,349,349
10188644,0,0,0,0,0,1,10,0,342,342
10200402,22,0,0,0,0,1,7,0,343,343
10207162,22,0,0,0,0,1,17,0,343,343
10211329,4,0,0,0,0,1,3744,0,350,350
10223634,4,0,0,0,0,1,3745,0,350,350
10228719,4,0,0,0,0,1,3746,0,350,350
10233362,3,0,0,0,0,1,8,0,339,339
10233481,130,0,0,0,0,1,41,0,343,343
10243659,4,0,0,0,0,1,3747,0,351,351
10250459,4,0,0,0,0,1,3748,0,351,351
10250852,0,0,2,0,0,1,13,0,344,344
10253041,4,0,0,0,0,1,3749,0,351,351
10256727,4,0,0,0,0,1,3750,0,351,351
10263113,4,0,0,0,0,1,3751,0,351,351
10268157,4,0,0,0,0,1,3752,0,351,351
10288232,4,0,0,0,0,1,3753,0,352,352
10291274,4,0,0,0,0,1,3754,0,352,352
10298817,4,0,0,0,0,1,3755,0,352,352
10301474,4,0,0,0,0,1,3756,0,352,352
10314538,4,0,0,0,0,1,3757,0,353,353
10316406,4,0,0,0,0,1,3758,0,353,353
10322474,4,0,0,0,0,1,3759,0,353,353
10334055,43,0,0,0,0,1,9,0,347,347
10334417,4,0,0,0,0,1,3760,0,354,354
10338941,4,0,0,0,0,1,3761,0,354,354
10344167,4,0,0,0,0,1,3763,0,354,354
10348460,4,0,0,0,0,1,3764,0,354,354
10359232,0,0,0,0,0,1,8,0,75,75
10361831,4,0,0,0,0,1,3765,0,355,355
10361843,14,0,0,0,0,1,952,0,355,355
10362635,2,0,0,0,0,1,199,0,347,347
10373516,4,0,0,0,0,1,3766,0,355,355
10376742,4,0,0,0,0,1,3767,0,355,355
10381844,4,0,0,0,0,1,3768,0,355,355
10385040,4,0,0,0,0,1,3769,0,355,355
10388633,4,0,0,0,0,1,3770,0,355,355
10397150,4,0,0,0,0,1,3771,0,355,355
10407493,186,0,0,0,0,1,23,0,356,356
10411952,112,0,0,2,0,2,0,0,349,349
10419830,6,0,0,0,0,1,3772,0,356,356
10422847,4,0,0,0,0,1,3773,0,356,356
10426589,4,0,0,0,0,1,3774,0,356,356
10433562,4,0,0,0,0,1,3775,0,356,356
10441218,0,0,0,0,0,1,125,0,349,349
10441476,0,0,0,0,0,2,235,0,356,356
10446829,4,0,0,0,0,1,3776,0,357,357
10447247,3,0,0,0,0,1,9,0,356,356
10448218,0,0,6,0,0,1,11,0,350,350
10450951,4,0,0,0,0,1,3777,0,357,357
10456419,4,0,0,0,0,1,3778,0,357,357
10463441,4,0,0,0,0,1,3779,0,357,357
10465508,4,0,0,0,0,1,3780,0,357,357
10468653,4,0,0,0,0,1,3781,0,357,357
10476519,4,0,0,0,0,1,3782,0,357,357
