project,algorithm,batch_size,builds_reqd,total_delay,failures_found,failures_not_found,bad_builds,batch_delays,testall_size,ci
gradle.csv,BATCH4,4,66.66666666666667,0,100.0,0.0,0,36.0,21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gradle.csv,BATCHSTOP4,4,66.66666666666667,0,100.0,0.0,0,36.0,21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gradle.csv,BATCHSTOP4,8,61.904761904761905,0,100.0,0.0,0,84.0,21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gradle.csv,BATCHSTOP4,16,66.66666666666667,0,100.0,0.0,0,240.0,21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gradle.csv,BATCHBISECT,2,71.42857142857143,0,100.0,0.0,0,11.0,21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gradle.csv,BATCHBISECT,4,66.66666666666667,0,100.0,0.0,0,36.0,21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gradle.csv,BATCHBISECT,8,61.904761904761905,0,100.0,0.0,0,84.0,21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gradle.csv,BATCHBISECT,16,66.66666666666667,0,100.0,0.0,0,240.0,21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
